algo,boundary_hit_ratio_ci95_high,boundary_hit_ratio_ci95_low,boundary_hit_ratio_mean,boundary_hit_ratio_std,collision_agent_ratio_ci95_high,collision_agent_ratio_ci95_low,collision_agent_ratio_mean,collision_agent_ratio_std,completed_mean_ci95_high,completed_mean_ci95_low,completed_mean_mean,completed_mean_std,completed_value_mean_ci95_high,completed_value_mean_ci95_low,completed_value_mean_mean,completed_value_mean_std,coverage_overlap_ratio_mean_ci95_high,coverage_overlap_ratio_mean_ci95_low,coverage_overlap_ratio_mean_mean,coverage_overlap_ratio_mean_std,detected_mean_ci95_high,detected_mean_ci95_low,detected_mean_mean,detected_mean_std,detected_to_completed_ratio_ci95_high,detected_to_completed_ratio_ci95_low,detected_to_completed_ratio_mean,detected_to_completed_ratio_std,detected_value_mean_ci95_high,detected_value_mean_ci95_low,detected_value_mean_mean,detected_value_mean_std,detection_probability,episode_length_mean_ci95_high,episode_length_mean_ci95_low,episode_length_mean_mean,episode_length_mean_std,first_completion_step_mean_ci95_high,first_completion_step_mean_ci95_low,first_completion_step_mean_mean,first_completion_step_mean_std,first_detection_step_mean_ci95_high,first_detection_step_mean_ci95_low,first_detection_step_mean_mean,first_detection_step_mean_std,global_state_mode,had_completion_mean_ci95_high,had_completion_mean_ci95_low,had_completion_mean_mean,had_completion_mean_std,had_detection_mean_ci95_high,had_detection_mean_ci95_low,had_detection_mean_mean,had_detection_mean_std,is_baseline,knowledge_overlap_ratio_mean_ci95_high,knowledge_overlap_ratio_mean_ci95_low,knowledge_overlap_ratio_mean_mean,knowledge_overlap_ratio_mean_std,local_new_observed_cells_per_decision_ci95_high,local_new_observed_cells_per_decision_ci95_low,local_new_observed_cells_per_decision_mean,local_new_observed_cells_per_decision_std,local_sensor_revisit_ratio_ci95_high,local_sensor_revisit_ratio_ci95_low,local_sensor_revisit_ratio_mean,local_sensor_revisit_ratio_std,mean_local_coverage_ratio_mean_ci95_high,mean_local_coverage_ratio_mean_ci95_low,mean_local_coverage_ratio_mean_mean,mean_local_coverage_ratio_mean_std,n_training_seeds,new_observed_cells_per_step_ci95_high,new_observed_cells_per_step_ci95_low,new_observed_cells_per_step_mean,new_observed_cells_per_step_std,policy_mode,revisit_ratio_ci95_high,revisit_ratio_ci95_low,revisit_ratio_mean,revisit_ratio_std,reward_mean_ci95_high,reward_mean_ci95_low,reward_mean_mean,reward_mean_std,reward_mode,scope,sensor_coverage_ratio_mean_ci95_high,sensor_coverage_ratio_mean_ci95_low,sensor_coverage_ratio_mean_mean,sensor_coverage_ratio_mean_std,sensor_revisit_ratio_ci95_high,sensor_revisit_ratio_ci95_low,sensor_revisit_ratio_mean,sensor_revisit_ratio_std,simultaneous_sensor_overlap_ratio_mean_ci95_high,simultaneous_sensor_overlap_ratio_mean_ci95_low,simultaneous_sensor_overlap_ratio_mean_mean,simultaneous_sensor_overlap_ratio_mean_std,stay_ratio_ci95_high,stay_ratio_ci95_low,stay_ratio_mean,stay_ratio_std,team_coverage_ratio_mean_ci95_high,team_coverage_ratio_mean_ci95_low,team_coverage_ratio_mean_mean,team_coverage_ratio_mean_std,team_new_observed_cells_per_env_step_ci95_high,team_new_observed_cells_per_env_step_ci95_low,team_new_observed_cells_per_env_step_mean,team_new_observed_cells_per_env_step_std,tracking_progress_ratio_ci95_high,tracking_progress_ratio_ci95_low,tracking_progress_ratio_mean,tracking_progress_ratio_std,training_seeds,uncertainty_unit
baseline_local_frontier,nan,nan,0.0,nan,nan,nan,0.26229508196721313,nan,4.0,4.0,4.0,0.0,5.0,5.0,5.0,0.0,0.858123701387191,-0.0024986835627640036,0.42781250891221345,0.23423031063237315,4.0,4.0,4.0,0.0,nan,nan,1.0,nan,5.0,5.0,5.0,0.0,1.0,134.26665845162222,-12.26665845162222,61.0,39.881073205218534,29.225705608447655,-0.22570560844765453,14.5,8.0156097709407,25.225705608447655,-4.2257056084476545,10.5,8.0156097709407,memory_union,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,True,0.261375,-0.136375,0.0625,0.10825317547305482,nan,nan,2.6174863387978142,nan,nan,nan,0.3551912568306011,nan,0.7797640559862713,0.02356930844081845,0.40166668221354485,0.20580888170418682,1,,,,,deterministic,,,,,27.54884420260268,6.481030809996213,17.014937506299447,5.733897423063237,task_potential,multi,,,,,,,,,nan,nan,0.12884287760055935,nan,nan,nan,0.0,nan,1.1882821769827707,0.3154678343421119,0.7518750056624413,0.2375485209032765,nan,nan,4.881147540983607,nan,nan,nan,0.06557377049180328,nan,999,evaluation_episode
baseline_random,nan,nan,0.0,nan,nan,nan,0.0077777777777777776,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7229436070358177,0.04380091592193297,0.3833722614788754,0.18483809657421507,2.2990460602560123,-0.2990460602560121,1.0,0.7071067811865476,nan,nan,0.0,nan,3.7519644310859603,-0.25196443108596034,1.75,1.0897247358851685,1.0,150.0,150.0,150.0,0.0,,,,,126.48831541004398,-33.15498207671066,46.666666666666664,26.233989826601334,memory_union,0.0,0.0,0.0,0.0,1.5455,-0.045499999999999985,0.75,0.4330127018922193,True,1.0455,-0.5455,0.25,0.4330127018922193,nan,nan,0.6483333333333333,nan,nan,nan,0.7444444444444445,nan,0.2803907395548957,0.2108592464380128,0.24562499299645424,0.018923959585884165,1,,,,,deterministic,,,,,-4.43500056029077,-9.221270275046784,-6.828135417668777,1.302649642471027,task_potential,multi,,,,,,,,,nan,nan,0.04336204800193841,nan,nan,nan,0.0,nan,0.6481394094673237,0.3556105869563976,0.5018749982118607,0.07961577361207141,nan,nan,1.3183333333333334,nan,nan,nan,0.011666666666666667,nan,999,evaluation_episode
qmix_ddqn,nan,nan,0.0,0.0,nan,nan,0.12944444444444445,0.0,nan,nan,0.25,0.0,nan,nan,0.25,0.0,nan,nan,0.3726094579886831,0.0,nan,nan,1.75,0.0,nan,nan,0.14285714285714285,0.0,nan,nan,2.5,0.0,1.0,nan,nan,150.0,0.0,nan,nan,85.0,0.0,nan,nan,40.0,0.0,memory_union,nan,nan,0.25,0.0,nan,nan,1.0,0.0,False,nan,nan,0.0,0.0,nan,nan,0.6522222222222223,0.0,nan,nan,0.8211111111111111,0.0,nan,nan,0.24708334729075432,0.0,1,,,,,deterministic,,,,,nan,nan,-6.4964687515795285,0.0,task_potential,multi,,,,,,,,,nan,nan,0.1425232375203819,0.0,nan,nan,0.0,0.0,nan,nan,0.5193749964237213,0.0,nan,nan,1.365,0.0,nan,nan,0.0016666666666666668,0.0,42,training_seed
shared_ddqn,nan,nan,0.0,0.0,nan,nan,0.17944444444444443,0.0,nan,nan,0.75,0.0,nan,nan,1.0,0.0,nan,nan,0.4384678049756924,0.0,nan,nan,1.5,0.0,nan,nan,0.5,0.0,nan,nan,2.0,0.0,1.0,nan,nan,150.0,0.0,nan,nan,17.5,0.0,nan,nan,4.333333333333333,0.0,memory_union,nan,nan,0.5,0.0,nan,nan,0.75,0.0,False,nan,nan,0.5416666666666666,0.0,nan,nan,0.53,0.0,nan,nan,0.8533333333333334,0.0,nan,nan,0.20125000551342964,0.0,1,,,,,deterministic,,,,,nan,nan,-4.850250008441517,0.0,task_potential,multi,,,,,,,,,nan,nan,0.2557876264612015,0.0,nan,nan,0.0,0.0,nan,nan,0.39375000447034836,0.0,nan,nan,1.03,0.0,nan,nan,0.005,0.0,42,training_seed
baseline_frontier,nan,nan,0.0,nan,,,,,4.5455,2.9545,3.75,0.4330127018922193,5.5455,3.9545,4.75,0.4330127018922193,,,,,4.5455,2.9545,3.75,0.4330127018922193,nan,nan,1.0,nan,5.5455,3.9545,4.75,0.4330127018922193,1.0,166.41809501722867,94.58190498277133,130.5,19.551214796017153,56.303831305486,0.19616869451399666,28.25,15.270478054075452,52.303831305486,-3.8038313054860033,24.25,15.270478054075452,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,True,,,,,,,,,,,,,,,,,1,nan,nan,2.8409961685823757,nan,deterministic,nan,nan,0.9923371647509579,nan,19.488759317073033,5.041803208355742,12.265281262714387,3.931939345539897,task_potential,single,0.9968265777605242,0.8619234377366835,0.9293750077486038,0.03671575936861575,nan,nan,0.22988505747126436,nan,,,,,nan,nan,0.0,nan,,,,,,,,,nan,nan,0.08620689655172414,nan,999,evaluation_episode
baseline_oracle,nan,nan,0.0,nan,,,,,4.0,4.0,4.0,0.0,5.0,5.0,5.0,0.0,,,,,4.0,4.0,4.0,0.0,nan,nan,1.0,nan,5.0,5.0,5.0,0.0,1.0,61.32383168330501,33.17616831669499,47.25,7.660776723022281,17.169783155321173,3.3302168446788265,10.25,3.766629793329841,10.006724352357338,-0.5067243523573373,4.75,2.8613807855648994,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,True,,,,,,,,,,,,,,,,,1,nan,nan,2.8253968253968256,nan,deterministic,nan,nan,0.9788359788359788,nan,21.82260089314172,19.5693991107158,20.69600000192876,0.6132400953592775,task_potential,single,0.4389742853073182,0.23352571409663536,0.3362499997019768,0.055915676253823876,nan,nan,0.291005291005291,nan,,,,,nan,nan,0.0,nan,,,,,,,,,nan,nan,0.25396825396825395,nan,999,evaluation_episode
baseline_random,nan,nan,0.0,nan,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.2990460602560123,-0.2990460602560121,1.0,0.7071067811865476,nan,nan,0.0,nan,3.553972167938667,-0.5539721679386669,1.5,1.118033988749895,1.0,150.0,150.0,150.0,0.0,,,,,180.51343113856888,-100.51343113856888,40.0,46.180804092898455,,0.0,0.0,0.0,0.0,1.5455,-0.045499999999999985,0.75,0.4330127018922193,True,,,,,,,,,,,,,,,,,1,nan,nan,0.6583333333333333,nan,deterministic,nan,nan,0.9933333333333333,nan,-1.6114114637454928,-5.025213504492677,-3.318312484119085,0.9291135420421813,task_potential,single,0.39124690593693223,0.10750309525516066,0.24937500059604645,0.07722481087901212,nan,nan,0.76,nan,,,,,nan,nan,0.0,nan,,,,,,,,,nan,nan,0.0,nan,999,evaluation_episode
ddqn,nan,nan,0.0,0.0,,,,,nan,nan,0.0,0.0,nan,nan,0.0,0.0,,,,,nan,nan,1.5,0.0,nan,nan,0.0,0.0,nan,nan,1.75,0.0,1.0,nan,nan,150.0,0.0,,,,,nan,nan,49.25,0.0,,nan,nan,0.0,0.0,nan,nan,1.0,0.0,False,,,,,,,,,,,,,,,,,1,nan,nan,0.5633333333333334,0.0,deterministic,nan,nan,0.9933333333333333,0.0,nan,nan,-3.5344687408255426,0.0,task_potential,single,nan,nan,0.21374999731779099,0.0,nan,nan,0.83,0.0,,,,,nan,nan,0.0,0.0,,,,,,,,,nan,nan,0.0,0.0,42,training_seed
