episode=50 train_reward=-1.816 val_reward=-4.914 val_completed=2.000 coverage=0.485 collision=0.280 loss=0.0410
episode=100 train_reward=-5.719 val_reward=-4.224 val_completed=2.000 coverage=0.683 collision=0.000 loss=0.0119
episode=150 train_reward=-5.544 val_reward=-6.597 val_completed=2.000 coverage=0.390 collision=0.427 loss=0.0067
episode=200 train_reward=-3.281 val_reward=-5.634 val_completed=2.000 coverage=0.630 collision=0.000 loss=0.0080
episode=250 train_reward=-5.996 val_reward=-6.164 val_completed=3.000 coverage=0.637 collision=0.076 loss=0.0107
episode=300 train_reward=-4.701 val_reward=-5.542 val_completed=3.000 coverage=0.683 collision=0.000 loss=0.0068
episode=350 train_reward=-6.729 val_reward=-5.473 val_completed=2.000 coverage=0.495 collision=0.000 loss=0.0240
episode=400 train_reward=-5.395 val_reward=-4.962 val_completed=3.000 coverage=0.655 collision=0.000 loss=0.0120
episode=450 train_reward=-6.826 val_reward=-4.628 val_completed=3.000 coverage=0.572 collision=0.000 loss=0.0208
episode=500 train_reward=19.060 val_reward=14.869 val_completed=4.000 coverage=0.375 collision=0.234 loss=0.0793
episode=550 train_reward=13.591 val_reward=20.652 val_completed=4.000 coverage=0.455 collision=0.000 loss=0.0800
episode=600 train_reward=22.818 val_reward=22.820 val_completed=4.000 coverage=0.330 collision=0.000 loss=0.1700
episode=650 train_reward=22.820 val_reward=22.820 val_completed=4.000 coverage=0.325 collision=0.000 loss=0.0728
episode=700 train_reward=22.925 val_reward=22.904 val_completed=4.000 coverage=0.322 collision=0.000 loss=0.0649
episode=750 train_reward=0.049 val_reward=20.427 val_completed=4.000 coverage=0.357 collision=0.000 loss=0.0384
episode=800 train_reward=22.277 val_reward=23.002 val_completed=4.000 coverage=0.320 collision=0.000 loss=0.0483
episode=850 train_reward=22.833 val_reward=22.947 val_completed=4.000 coverage=0.317 collision=0.000 loss=0.0612
episode=900 train_reward=22.945 val_reward=23.020 val_completed=4.000 coverage=0.308 collision=0.000 loss=0.0477
episode=950 train_reward=22.894 val_reward=22.999 val_completed=4.000 coverage=0.310 collision=0.000 loss=0.0530
episode=1000 train_reward=22.661 val_reward=22.821 val_completed=4.000 coverage=0.320 collision=0.000 loss=0.1001
episode=1050 train_reward=22.895 val_reward=22.813 val_completed=4.000 coverage=0.322 collision=0.000 loss=0.0770
episode=1100 train_reward=22.813 val_reward=22.821 val_completed=4.000 coverage=0.330 collision=0.000 loss=0.0481
episode=1150 train_reward=22.720 val_reward=22.821 val_completed=4.000 coverage=0.325 collision=0.000 loss=0.0928
episode=1200 train_reward=22.932 val_reward=22.932 val_completed=4.000 coverage=0.310 collision=0.000 loss=0.0470
episode=1250 train_reward=22.974 val_reward=22.893 val_completed=4.000 coverage=0.335 collision=0.000 loss=0.0697
episode=1300 train_reward=22.821 val_reward=22.895 val_completed=4.000 coverage=0.320 collision=0.000 loss=0.0570
episode=1350 train_reward=22.924 val_reward=23.006 val_completed=4.000 coverage=0.308 collision=0.000 loss=0.0875
episode=1400 train_reward=23.005 val_reward=22.924 val_completed=4.000 coverage=0.325 collision=0.000 loss=0.0578
episode=1450 train_reward=22.818 val_reward=23.006 val_completed=4.000 coverage=0.308 collision=0.000 loss=0.1147
episode=1500 train_reward=22.924 val_reward=22.592 val_completed=4.000 coverage=0.330 collision=0.000 loss=0.1336
episode=1550 train_reward=22.924 val_reward=22.924 val_completed=4.000 coverage=0.315 collision=0.000 loss=0.0404
episode=1600 train_reward=23.030 val_reward=22.923 val_completed=4.000 coverage=0.322 collision=0.000 loss=0.1958
episode=1650 train_reward=23.006 val_reward=22.923 val_completed=4.000 coverage=0.335 collision=0.000 loss=0.0702
episode=1700 train_reward=22.127 val_reward=22.965 val_completed=4.000 coverage=0.320 collision=0.000 loss=0.0441
episode=1750 train_reward=22.895 val_reward=23.005 val_completed=4.000 coverage=0.312 collision=0.000 loss=0.0898
episode=1800 train_reward=22.893 val_reward=22.894 val_completed=4.000 coverage=0.317 collision=0.000 loss=0.0676
episode=1850 train_reward=22.714 val_reward=23.006 val_completed=4.000 coverage=0.315 collision=0.000 loss=0.0320
episode=1900 train_reward=22.930 val_reward=22.922 val_completed=4.000 coverage=0.308 collision=0.000 loss=0.0783
episode=1950 train_reward=22.773 val_reward=22.942 val_completed=4.000 coverage=0.303 collision=0.000 loss=0.1084
episode=2000 train_reward=22.272 val_reward=22.853 val_completed=4.000 coverage=0.338 collision=0.042 loss=0.1138
episode=2050 train_reward=23.008 val_reward=23.029 val_completed=4.000 coverage=0.315 collision=0.000 loss=0.0509
episode=2100 train_reward=22.923 val_reward=23.007 val_completed=4.000 coverage=0.317 collision=0.000 loss=0.0761
episode=2150 train_reward=22.932 val_reward=22.923 val_completed=4.000 coverage=0.310 collision=0.000 loss=0.0372
episode=2200 train_reward=22.854 val_reward=22.925 val_completed=4.000 coverage=0.303 collision=0.000 loss=0.0952
episode=2250 train_reward=19.127 val_reward=22.923 val_completed=4.000 coverage=0.330 collision=0.000 loss=0.0472
episode=2300 train_reward=22.718 val_reward=22.922 val_completed=4.000 coverage=0.327 collision=0.000 loss=0.0345
episode=2350 train_reward=22.480 val_reward=22.931 val_completed=4.000 coverage=0.330 collision=0.000 loss=0.0907
episode=2400 train_reward=22.810 val_reward=22.087 val_completed=4.000 coverage=0.395 collision=0.000 loss=0.0484
episode=2450 train_reward=21.875 val_reward=22.923 val_completed=4.000 coverage=0.320 collision=0.000 loss=0.0418
episode=2500 train_reward=22.135 val_reward=22.922 val_completed=4.000 coverage=0.327 collision=0.000 loss=0.0875
episode=2550 train_reward=22.813 val_reward=22.923 val_completed=4.000 coverage=0.310 collision=0.000 loss=0.0224
episode=2600 train_reward=22.924 val_reward=22.966 val_completed=4.000 coverage=0.320 collision=0.000 loss=0.0585
episode=2650 train_reward=22.272 val_reward=22.923 val_completed=4.000 coverage=0.325 collision=0.000 loss=0.0814
episode=2700 train_reward=22.813 val_reward=22.966 val_completed=4.000 coverage=0.317 collision=0.000 loss=0.0547
episode=2750 train_reward=22.041 val_reward=22.924 val_completed=4.000 coverage=0.317 collision=0.000 loss=0.0929
episode=2800 train_reward=22.038 val_reward=22.923 val_completed=4.000 coverage=0.343 collision=0.000 loss=0.0749
episode=2850 train_reward=22.813 val_reward=22.924 val_completed=4.000 coverage=0.317 collision=0.000 loss=0.0524
episode=2900 train_reward=22.958 val_reward=22.923 val_completed=4.000 coverage=0.325 collision=0.000 loss=0.0431
episode=2950 train_reward=22.958 val_reward=22.924 val_completed=4.000 coverage=0.310 collision=0.000 loss=0.0449
episode=3000 train_reward=22.258 val_reward=22.924 val_completed=4.000 coverage=0.310 collision=0.000 loss=0.0635
episode=3050 train_reward=22.855 val_reward=22.923 val_completed=4.000 coverage=0.327 collision=0.000 loss=0.0367
