episode=2900 train_reward=22.862 val_reward=22.880 val_completed=4.000 coverage=0.290 collision=0.000 loss=0.0173
episode=2950 train_reward=22.862 val_reward=22.870 val_completed=4.000 coverage=0.308 collision=0.000 loss=0.0140
episode=3000 train_reward=22.880 val_reward=22.870 val_completed=4.000 coverage=0.308 collision=0.000 loss=0.0181
episode=3050 train_reward=22.868 val_reward=22.870 val_completed=4.000 coverage=0.305 collision=0.000 loss=0.0175
episode=3100 train_reward=17.805 val_reward=22.870 val_completed=4.000 coverage=0.308 collision=0.000 loss=0.0093
episode=3150 train_reward=22.870 val_reward=22.868 val_completed=4.000 coverage=0.333 collision=0.000 loss=0.0212
episode=3200 train_reward=22.871 val_reward=22.871 val_completed=4.000 coverage=0.298 collision=0.000 loss=0.0113
episode=3250 train_reward=22.877 val_reward=22.754 val_completed=4.000 coverage=0.340 collision=0.000 loss=0.0157
episode=3300 train_reward=22.878 val_reward=22.737 val_completed=4.000 coverage=0.368 collision=0.000 loss=0.0081
episode=3350 train_reward=22.870 val_reward=22.862 val_completed=4.000 coverage=0.352 collision=0.000 loss=0.0161
episode=3400 train_reward=22.606 val_reward=22.628 val_completed=4.000 coverage=0.347 collision=0.000 loss=0.0121
episode=3450 train_reward=22.870 val_reward=22.868 val_completed=4.000 coverage=0.333 collision=0.000 loss=0.0086
episode=3500 train_reward=22.878 val_reward=22.870 val_completed=4.000 coverage=0.338 collision=0.000 loss=0.0088
episode=3550 train_reward=22.415 val_reward=22.867 val_completed=4.000 coverage=0.333 collision=0.000 loss=0.0144
episode=3600 train_reward=22.869 val_reward=22.872 val_completed=4.000 coverage=0.322 collision=0.000 loss=0.0250
episode=3650 train_reward=22.854 val_reward=22.872 val_completed=4.000 coverage=0.308 collision=0.000 loss=0.0186
episode=3700 train_reward=22.856 val_reward=22.867 val_completed=4.000 coverage=0.352 collision=0.000 loss=0.0108
episode=3750 train_reward=22.849 val_reward=22.849 val_completed=4.000 coverage=0.338 collision=0.000 loss=0.0130
episode=3800 train_reward=21.408 val_reward=22.881 val_completed=4.000 coverage=0.273 collision=0.000 loss=0.0534
episode=3850 train_reward=22.856 val_reward=22.850 val_completed=4.000 coverage=0.300 collision=0.000 loss=0.0078
episode=3900 train_reward=22.850 val_reward=22.856 val_completed=4.000 coverage=0.312 collision=0.000 loss=0.0130
episode=3950 train_reward=22.862 val_reward=22.854 val_completed=4.000 coverage=0.315 collision=0.000 loss=0.0104
episode=4000 train_reward=22.859 val_reward=22.855 val_completed=4.000 coverage=0.280 collision=0.000 loss=0.0085
