episode=50 train_reward=-9.450 val_reward=-9.014 val_completed=1.000 coverage=0.743 collision=0.120 loss=0.0150
episode=100 train_reward=-6.174 val_reward=-2.514 val_completed=2.000 coverage=0.423 collision=0.000 loss=0.0074
episode=150 train_reward=-3.228 val_reward=-4.900 val_completed=2.000 coverage=0.632 collision=0.000 loss=0.0063
episode=200 train_reward=-7.430 val_reward=-7.136 val_completed=2.000 coverage=0.582 collision=0.000 loss=0.0073
episode=250 train_reward=2.310 val_reward=1.419 val_completed=3.000 coverage=0.582 collision=0.000 loss=0.0106
episode=300 train_reward=1.598 val_reward=18.933 val_completed=4.000 coverage=0.373 collision=0.000 loss=0.0146
episode=350 train_reward=21.728 val_reward=22.333 val_completed=4.000 coverage=0.243 collision=0.000 loss=0.1508
episode=400 train_reward=22.780 val_reward=22.824 val_completed=4.000 coverage=0.243 collision=0.000 loss=0.0274
episode=450 train_reward=22.800 val_reward=22.611 val_completed=4.000 coverage=0.243 collision=0.000 loss=0.1351
episode=500 train_reward=16.115 val_reward=22.823 val_completed=4.000 coverage=0.243 collision=0.000 loss=0.0161
episode=550 train_reward=22.758 val_reward=22.803 val_completed=4.000 coverage=0.243 collision=0.000 loss=0.0191
episode=600 train_reward=22.759 val_reward=22.757 val_completed=4.000 coverage=0.243 collision=0.000 loss=0.0599
episode=650 train_reward=22.715 val_reward=22.803 val_completed=4.000 coverage=0.243 collision=0.000 loss=0.1061
episode=700 train_reward=22.759 val_reward=22.737 val_completed=4.000 coverage=0.243 collision=0.000 loss=0.0596
episode=750 train_reward=22.693 val_reward=22.751 val_completed=4.000 coverage=0.252 collision=0.000 loss=0.1272
episode=800 train_reward=22.730 val_reward=22.799 val_completed=4.000 coverage=0.243 collision=0.000 loss=0.0245
episode=850 train_reward=22.475 val_reward=22.750 val_completed=4.000 coverage=0.252 collision=0.000 loss=0.0129
episode=900 train_reward=22.793 val_reward=22.772 val_completed=4.000 coverage=0.252 collision=0.000 loss=0.1004
episode=950 train_reward=22.799 val_reward=22.708 val_completed=4.000 coverage=0.260 collision=0.000 loss=0.0410
episode=1000 train_reward=22.666 val_reward=22.730 val_completed=4.000 coverage=0.252 collision=0.000 loss=0.0221
episode=1050 train_reward=22.708 val_reward=22.730 val_completed=4.000 coverage=0.252 collision=0.000 loss=0.0700
