group,metric,early,late,raw_delta_late_minus_early,improvement_positive_is_better,last_available_seed_count
DDQN Qmix,validation_completed,1.1433333333333333,2.4341666666666666,1.2908333333333333,1.2908333333333333,4
Bayesian QMIX Independent,validation_completed,0.3094444444444444,3.203333333333333,2.8938888888888887,2.8938888888888887,3
DDQN Qmix,validation_completed_value,1.4455555555555557,3.1125000000000003,1.6669444444444446,1.6669444444444446,4
Bayesian QMIX Independent,validation_completed_value,0.39666666666666667,4.068888888888889,3.6722222222222225,3.6722222222222225,3
DDQN Qmix,validation_coverage,0.5120638884438409,0.7208958326776823,0.20883194423384144,0.20883194423384144,4
Bayesian QMIX Independent,validation_coverage,0.8315416665540801,0.8231194435556729,-0.008422222998407225,-0.008422222998407225,3
DDQN Qmix,validation_reward,6.003906666666662,22.49383583333332,16.48992916666666,16.48992916666666,4
Bayesian QMIX Independent,validation_reward,5.966331111111117,31.026818888888872,25.060487777777755,25.060487777777755,3
DDQN Qmix,validation_first_completion,63.26078291845121,40.14596773669994,-23.114815181751275,23.114815181751275,4
Bayesian QMIX Independent,validation_first_completion,66.26605458987038,23.534021622116864,-42.73203296775351,42.73203296775351,3
DDQN Qmix,validation_first_detection,22.879049535525144,13.9190860990861,-8.959963436439045,8.959963436439045,4
Bayesian QMIX Independent,validation_first_detection,9.469966609782515,9.366509539842873,-0.10345706993964221,0.10345706993964221,3
DDQN Qmix,validation_tracking_progress,0.007964675152441711,0.019891373753430138,0.011926698600988427,0.011926698600988427,4
Bayesian QMIX Independent,validation_tracking_progress,0.002116335845456446,0.026695208712761025,0.02457887286730458,0.02457887286730458,3
DDQN Qmix,validation_stay,0.0,0.0,0.0,0.0,4
Bayesian QMIX Independent,validation_stay,0.0,0.0,0.0,0.0,3
DDQN Qmix,validation_collision,0.07604765971993958,0.07432672483699483,-0.0017209348829447524,0.0017209348829447524,4
Bayesian QMIX Independent,validation_collision,0.11429693833931136,0.06758851868987585,-0.046708419649435506,0.046708419649435506,3
DDQN Qmix,validation_overlap,0.3122394730394971,0.48501788798574436,0.17277841494624724,-0.17277841494624724,4
Bayesian QMIX Independent,validation_overlap,0.6709624683632013,0.5759483407195934,-0.09501412764360784,0.09501412764360784,3
DDQN Qmix,loss,0.20350970700383186,0.42967843636870384,0.22616872936487198,-0.22616872936487198,4
Bayesian QMIX Independent,loss,0.025744363846671253,0.450798640648524,0.4250542768018527,-0.4250542768018527,3
DDQN Qmix,q_mean,7.492697874704997,8.882829189300537,1.39013131459554,1.39013131459554,4
Bayesian QMIX Independent,q_mean,1.7095262010892232,9.040765232510038,7.331239031420815,7.331239031420815,3
DDQN Qmix,target_mean,7.551245715883044,9.011020302772522,1.4597745868894778,1.4597745868894778,4
Bayesian QMIX Independent,target_mean,1.7020684878031414,9.079800605773926,7.377732117970784,7.377732117970784,3
DDQN Qmix,epsilon,0.3279963888888889,0.050000000000000044,-0.27799638888888883,-0.27799638888888883,4
