ablation,algo,boundary_hit_ratio_ci95_high,boundary_hit_ratio_ci95_low,boundary_hit_ratio_mean,boundary_hit_ratio_std,completed_mean_ci95_high,completed_mean_ci95_low,completed_mean_mean,completed_mean_std,completed_value_mean_ci95_high,completed_value_mean_ci95_low,completed_value_mean_mean,completed_value_mean_std,detected_mean_ci95_high,detected_mean_ci95_low,detected_mean_mean,detected_mean_std,detected_to_completed_ratio_ci95_high,detected_to_completed_ratio_ci95_low,detected_to_completed_ratio_mean,detected_to_completed_ratio_std,detected_value_mean_ci95_high,detected_value_mean_ci95_low,detected_value_mean_mean,detected_value_mean_std,n_seeds,new_observed_cells_per_step_ci95_high,new_observed_cells_per_step_ci95_low,new_observed_cells_per_step_mean,new_observed_cells_per_step_std,reward_mean_ci95_high,reward_mean_ci95_low,reward_mean_mean,reward_mean_std,seeds,sensor_coverage_ratio_mean_ci95_high,sensor_coverage_ratio_mean_ci95_low,sensor_coverage_ratio_mean_mean,sensor_coverage_ratio_mean_std,sensor_revisit_ratio_ci95_high,sensor_revisit_ratio_ci95_low,sensor_revisit_ratio_mean,sensor_revisit_ratio_std,stay_ratio_ci95_high,stay_ratio_ci95_low,stay_ratio_mean,stay_ratio_std,tracking_progress_ratio_ci95_high,tracking_progress_ratio_ci95_low,tracking_progress_ratio_mean,tracking_progress_ratio_std
A,ddqn,0.0,0.0,0.0,0.0,0.6977749282767625,0.11778062727879296,0.40777777777777774,0.11673014146280265,0.8456199607318415,0.1654911503792696,0.5055555555555555,0.13688329714408923,1.9019473305903563,0.6247193360763106,1.2633333333333334,0.2570559817973077,0.44294138274090206,0.19820363304213168,0.32057250789151687,0.04925612561100917,2.3718309523250762,0.7837246032304793,1.5777777777777777,0.3196236212473341,3,1.1589110170526515,0.4684815755399411,0.8136962962962963,0.13895641084608631,8.805615484199455,-0.5824288175327847,4.111593333333335,1.8894457023364768,"42,43,44",0.4370916283448755,0.17818059206967024,0.3076361102072729,0.05210865320345854,0.8683132668141248,0.6787089554080975,0.7735111111111111,0.03815992338942024,0.5437169979358812,-0.14219107200995537,0.20076296296296295,0.1380464357968506,0.019029925111724744,0.003221926740127109,0.011125925925925926,0.0031815310650212853
B,ddqn,0.37907246083882923,0.09501642805005972,0.23704444444444447,0.057169356377713185,0.4212112518322383,0.1810109703899839,0.3011111111111111,0.04834291092846019,0.4977706229066592,0.22445159931556302,0.3611111111111111,0.05500841686438475,1.5386139386024378,0.741386061397562,1.14,0.16045075395411648,0.28858658013862903,0.23898975500379607,0.26378816757121254,0.009981898794752475,1.9094657195447202,0.9260898360108349,1.4177777777777776,0.1979150584729984,3,0.9668243810047074,0.4847015449212183,0.7257629629629628,0.09703244801136468,-0.2874257391576034,-8.964058705286838,-4.625742222222221,1.746266457815813,"42,43,44",0.3650591415933182,0.18426307966099084,0.27466111062715454,0.036387167682449505,0.8909055024096195,0.7408722753681583,0.8158888888888889,0.03019581362529954,0.4154271942444569,0.19160984279258014,0.3035185185185185,0.04504566864166283,0.01162660548077711,0.0054548760007043715,0.008540740740740741,0.0012421274727000505
C,ddqn,0.0,0.0,0.0,0.0,0.5205550189516797,0.2105560921594315,0.3655555555555556,0.062390645072739795,0.5970055233405909,0.3096611433260759,0.45333333333333337,0.057831171909658245,1.7437067947989502,0.769626538534383,1.2566666666666666,0.19604421270043487,0.32315029090795633,0.2583282348312409,0.2907392628695986,0.013046141596089937,2.1141684654362263,1.036942645674885,1.5755555555555556,0.2168033756741433,3,1.1102890644580519,0.4862590836900964,0.7982740740740741,0.12559279945809065,5.118442644349766,2.173981800094686,3.646212222222226,0.5926046692013652,"42,43,44",0.418858399084615,0.18484715593383647,0.30185277750922573,0.04709729986980047,0.8690699203209558,0.6858782278271924,0.7774740740740741,0.03686931430673158,0.41646483446374527,0.043312943314032515,0.2298888888888889,0.07510086386378269,0.014067837073010297,0.005991422186248962,0.01002962962962963,0.0016254660616867617
D,ddqn,0.0,0.0,0.0,0.0,0.62212,0.27788,0.45,0.06928203230275509,0.7590062052330646,0.34099379476693525,0.5499999999999999,0.08412952976082642,1.6047777198004767,1.2285556135328568,1.4166666666666667,0.07571877794400358,0.39906770619509746,0.23390553149683346,0.31648661884596546,0.033240678371596576,2.0098605089348904,1.5212506021762207,1.7655555555555555,0.09833804131855775,3,1.053366932026339,0.7801145494551421,0.9167407407407406,0.054995004636597886,7.379182594021656,2.190510739311679,4.784846666666668,1.0442764671345943,"42,43,44",0.39751259968103986,0.2950429564755291,0.34627777807828447,0.020623126686660425,0.7831483680936431,0.6824812615359863,0.7328148148148147,0.020260346642901658,0.4404485213787223,0.03959592306572213,0.24002222222222222,0.08067593151570006,0.01642841979012471,0.008134543172838257,0.012281481481481482,0.0016692325927082992
v3,ddqn,0.30733973419653626,0.023608413951611923,0.16547407407407408,0.057104004457681254,0.30380444444444443,0.22730666666666666,0.26555555555555554,0.015396007178390023,0.3803721312205837,0.2796278687794163,0.33,0.02027587510099407,1.2302732228641213,1.1452823326914343,1.1877777777777778,0.01710533813148967,0.24795032445508092,0.19902170106822464,0.22348601276165278,0.009847415948226574,1.5580466666666666,1.424175555555555,1.4911111111111108,0.026943012562182598,3,0.8469395791797355,0.6805567171165608,0.7637481481481482,0.033486354938664045,2.0379768655508026,-7.416487976661912,-2.689255555555555,1.9028135562498363,"42,43,44",0.3201023415454949,0.25770876777466223,0.28890555466007856,0.012557383202054273,0.8299472814032726,0.7906897556337643,0.8103185185185184,0.007901002697215052,0.5719259509617194,0.13537775274198438,0.3536518518518519,0.08786005801408672,0.008602830534438546,0.007323095391487376,0.007962962962962962,0.000257560572603166
