group,metric,early,late,raw_delta_late_minus_early,improvement_positive_is_better,last_available_seed_count
DDQN-QMIX,validation_completed,1.1577777777777778,2.2488888888888887,1.091111111111111,1.091111111111111,1
Bayes_QMIX_Indep,validation_completed,0.4847222222222222,2.952777777777778,2.468055555555556,2.468055555555556,2
DDQN-QMIX,validation_completed_value,1.4272222222222222,2.8288888888888892,1.401666666666667,1.401666666666667,1
Bayes_QMIX_Indep,validation_completed_value,0.6125925925925926,3.7644444444444445,3.151851851851852,3.151851851851852,2
DDQN-QMIX,validation_coverage,0.4902736107591126,0.6613361120886272,0.17106250132951462,0.17106250132951462,1
Bayes_QMIX_Indep,validation_coverage,0.6685731467328689,0.7952763887080881,0.1267032419752192,0.1267032419752192,2
DDQN-QMIX,validation_reward,4.667346388888885,18.51569555555555,13.848349166666665,13.848349166666665,1
Bayes_QMIX_Indep,validation_reward,-13.625398953643602,0.03287690063997676,13.658275854283579,13.658275854283579,2
DDQN-QMIX,validation_first_completion,55.795002527983144,57.59549924016739,1.8004967121842483,-1.8004967121842483,1
Bayes_QMIX_Indep,validation_first_completion,54.4513527258789,20.907059598250072,-33.544293127628826,33.544293127628826,2
DDQN-QMIX,validation_first_detection,21.292429548465684,17.97875283446712,-3.3136767139985643,3.3136767139985643,1
Bayes_QMIX_Indep,validation_first_detection,13.308930876886139,9.831111111111111,-3.4778197657750276,3.4778197657750276,2
DDQN-QMIX,validation_tracking_progress,0.007986851892254065,0.0165769894644246,0.008590137572170534,0.008590137572170534,1
Bayes_QMIX_Indep,validation_tracking_progress,0.0034908446517909163,0.026065865869308803,0.022575021217517886,0.022575021217517886,2
DDQN-QMIX,validation_stay,0.0,0.0,0.0,0.0,1
Bayes_QMIX_Indep,validation_stay,0.0,0.0,0.0,0.0,2
DDQN-QMIX,validation_collision,0.07497557144025452,0.06714933366170572,-0.007826237778548795,0.007826237778548795,1
Bayes_QMIX_Indep,validation_collision,0.15361967598628137,0.05245985885010703,-0.10115981713617433,0.10115981713617433,2
DDQN-QMIX,validation_overlap,0.2889581516619188,0.44343831169800846,0.15448016003608966,-0.15448016003608966,1
Bayes_QMIX_Indep,validation_overlap,0.5604846020918602,0.5390363438634933,-0.021448258228366934,0.021448258228366934,2
DDQN-QMIX,loss,0.24398592114448547,0.32943721612294513,0.08545129497845966,-0.08545129497845966,1
Bayes_QMIX_Indep,loss,0.037843842852722714,0.2969873878690932,0.2591435450163705,-0.2591435450163705,2
DDQN-QMIX,q_mean,6.580101913876003,10.44518788655599,3.865085972679987,3.865085972679987,1
Bayes_QMIX_Indep,q_mean,-5.177795860502456,-9.175097200605604,-3.9973013401031485,-3.9973013401031485,2
DDQN-QMIX,target_mean,6.635723392168681,10.570348421732584,3.934625029563903,3.934625029563903,1
Bayes_QMIX_Indep,target_mean,-5.19621717709082,-9.11803823047214,-3.9218210533813194,-3.9218210533813194,2
DDQN-QMIX,epsilon,0.4804621527777779,0.050000000000000044,-0.43046215277777783,-0.43046215277777783,1
