episode,global_step,train_reward,train_detected,train_completed,train_completed_value,validation_reward,validation_reward_std,validation_detected,validation_completed,validation_completed_value,validation_coverage,validation_episode_length,validation_first_detection,validation_first_completion,validation_stay,validation_boundary,validation_revisit,validation_sensor_revisit,validation_new_observed_per_step,validation_tracking_progress,best_score,loss,q_mean,target_mean,epsilon,posterior_rebuilds,predictive_epistemic_std_mean,predictive_selected_std_mean,predictive_max_std_mean,td_residual_variance
50,7500,1.92200000000001,1,0,0,3.5726000000000098,1.229643094560368,1.92,0.0,0.0,0.462949997484684,150.0,12.956043956043956,nan,0.0,0.0,0.9933333333333333,0.6859333333333333,1.2278666666666667,0.0,-2.642739999999999,0.0017010252922773361,0.1910659819841385,,,3.0,0.11966341733932495,0.09571678936481476,0.14183060824871063,0.011330852285027504
100,15000,1.2770000000000143,1,0,0,5.064010000000008,1.0673361653668454,2.43,0.0,0.0,0.6460000020265579,150.0,19.34375,nan,0.0,0.0,0.9934666666666667,0.5331333333333333,1.716,0.0,-2.4935989999999992,0.00794379785656929,0.7946760058403015,,,7.0,0.14761880040168762,0.125649094581604,0.1791761815547943,0.054662398993968964
150,22500,-0.027999999999995057,2,0,0,6.063000000000005,1.8169239114503406,2.9,0.04,0.05,0.7424999994039535,150.0,16.73,110.5,0.0,0.0,0.9933333333333333,0.43593333333333334,1.9733333333333334,0.0012,-1.0536999999999994,0.00926052127033472,1.8181421756744385,,,10.0,0.15050368010997772,0.13373303413391113,0.17290836572647095,0.024789556860923767
200,30000,2.402000000000009,1,0,0,5.341299999999999,3.4048218763982336,2.71,0.14,0.17,0.6781000006198883,150.0,22.03,90.75,0.0,0.0,0.9933333333333333,0.5130666666666667,1.8016,0.003,0.6291300000000001,0.028816644102334976,1.8583496809005737,,,14.0,0.15154936909675598,0.13790908455848694,0.17473648488521576,0.020249567925930023
250,37500,5.042000000000008,3,0,0,5.049419999999997,2.767663889203312,2.81,0.13,0.14,0.6912500011920929,150.0,17.34,68.81818181818181,0.0,0.0,0.9936,0.5058666666666667,1.8366666666666667,0.0026,0.8485783636363636,0.02576516568660736,2.3081321716308594,,,18.0,0.1602725237607956,0.14819267392158508,0.18342582881450653,0.02915981039404869
300,45000,3.4119999999999995,3,0,0,6.593260000000002,3.8583512012775576,3.04,0.16,0.21,0.7383250007033348,150.0,20.373737373737374,68.71428571428571,0.0,0.0,0.9954666666666667,0.46166666666666667,1.9622,0.003533333333333333,1.515040285714286,0.021250413730740547,2.0049681663513184,,,22.0,0.15672627091407776,0.14335455000400543,0.17954513430595398,0.043352581560611725
350,52500,5.806999999999998,4,0,0,6.229750000000005,2.0294379240321696,3.01,0.04,0.05,0.7599750006198883,150.0,19.05,79.5,0.0,0.0,0.9963333333333333,0.4518666666666667,2.0199333333333334,0.0009333333333333333,1.515040285714286,0.012449488043785095,2.110100030899048,,,25.0,0.16045619547367096,0.14898745715618134,0.1807769536972046,0.04013091325759888
400,60000,7.841999999999979,3,1,1,6.188480000000002,2.4187683331811645,3.0,0.08,0.09,0.7393750011920929,150.0,20.78,54.375,0.0,0.0,0.9940666666666667,0.4666,1.965,0.0016,1.515040285714286,0.019457075744867325,2.054332733154297,,,29.0,0.15976791083812714,0.14946910738945007,0.1811133176088333,0.07740539312362671
450,67500,1.0800000000000072,1,0,0,6.913419999999995,4.600948635183836,2.8,0.35,0.43,0.6866000002622604,150.0,26.02,46.45161290322581,0.0,0.0,0.9969333333333333,0.5138,1.8242666666666667,0.007066666666666666,4.552309741935483,0.010223540477454662,2.3583855628967285,,,33.0,0.16446731984615326,0.1501936912536621,0.18834063410758972,0.4037596583366394
500,75000,1.232,3,0,0,11.425309999999994,8.658135779363823,2.32,1.24,1.58,0.5880749997496605,150.0,31.144329896907216,56.171052631578945,0.0,0.0,0.9998,0.6027333333333333,1.5615333333333334,0.025,17.15910994736842,0.011142045259475708,2.403189182281494,,,37.0,0.1653020828962326,0.1555892527103424,0.18928055465221405,0.23105129599571228
550,82500,4.662,1,1,1,14.222789999999998,9.512801703278598,2.56,1.48,1.87,0.6012999960780143,149.05,25.636363636363637,46.5125,0.0,0.0,0.9938275746393828,0.5690036900369003,1.6069775243206978,0.030057027843005703,20.902029,0.034357063472270966,2.9007151126861572,,,40.0,0.16086971759796143,0.1509309709072113,0.18400947749614716,0.6115641593933105
600,90000,20.456999999999997,2,2,3,16.278149999999997,10.122616604786545,2.36,1.72,2.17,0.5884249992668629,146.29,22.642857142857142,40.45454545454545,0.0,0.0,0.9931642627657393,0.5676396199330098,1.6020917355936837,0.03554583361815572,24.52872409090909,0.29588955640792847,3.8339972496032715,,,44.0,0.1661430150270462,0.15049152076244354,0.18869172036647797,0.49280187487602234
650,97384,10.716999999999938,2,2,2,21.197590000000005,10.658087981523714,2.6,2.21,2.81,0.590075002014637,142.57,24.979591836734695,44.79381443298969,0.0,0.0,0.9942484393631199,0.5368590867643964,1.6485235322999228,0.04692431787893666,31.75388271134021,0.11610448360443115,5.107952117919922,,,48.0,0.1570112258195877,0.14415112137794495,0.18089309334754944,1.0135853290557861
700,104758,24.604999999999997,3,3,4,22.118410000000004,9.782295862521247,2.77,2.32,2.95,0.6559999957680702,145.08,22.7,34.58762886597938,0.0,0.0,0.993245106148332,0.4790460435621726,1.8017645437000276,0.049076371657016817,33.57008842268041,0.25420135259628296,5.727119445800781,,,51.0,0.15249821543693542,0.13887421786785126,0.17683956027030945,1.3262038230895996
750,111914,1.0820000000000034,0,0,0,22.364,9.75907628825598,2.61,2.44,3.08,0.6394750010967255,143.8,23.8265306122449,32.02061855670103,0.0,0.0,0.9930458970792768,0.5066759388038943,1.771835883171071,0.05159944367176634,35.235987628865985,0.3612282872200012,5.789816856384277,,,55.0,0.15854838490486145,0.14239847660064697,0.18398058414459229,1.885838508605957
800,119305,7.287000000000005,1,1,1,22.199090000000005,10.840231552042615,2.59,2.41,3.05,0.6215000003576279,141.57,15.377551020408163,26.8265306122449,0.0,0.0,0.9931482658755386,0.5133149678604224,1.7489581125944762,0.05191777919050646,35.235987628865985,0.36130160093307495,7.263760089874268,,,59.0,0.1522315889596939,0.13516251742839813,0.17637479305267334,1.1109707355499268
850,126479,20.561999999999998,2,2,3,22.4642,9.656186677980095,2.7,2.49,3.14,0.6174250021576881,144.15,20.515151515151516,30.1010101010101,0.0,0.0,0.9930627818244884,0.5315990287894554,1.706347554630593,0.05265348595213319,35.9643997979798,0.35108500719070435,6.425343990325928,,,62.0,0.14420922100543976,0.12874838709831238,0.16864971816539764,2.9309206008911133
900,133760,29.347000000000033,3,3,4,24.529700000000002,10.77763377138044,2.78,2.67,3.32,0.6620749980211258,138.08,17.214285714285715,24.166666666666668,0.0,0.0,0.9927578215527231,0.47878041714947855,1.9107039397450754,0.0589513325608343,38.62963666666666,0.430924654006958,8.083267211914062,,,66.0,0.1412828415632248,0.12624993920326233,0.1640157252550125,2.2427523136138916
950,141060,7.912000000000002,1,1,1,26.498650000000012,9.963073297306408,2.87,2.78,3.54,0.6571999989449978,139.4,23.858585858585858,30.70408163265306,0.0,0.0,0.9928263988522238,0.46872309899569586,1.878622668579627,0.061406025824964135,40.45578336734694,0.575872540473938,7.00920295715332,,,70.0,0.13530156016349792,0.11996149271726608,0.15689119696617126,1.7420527935028076
1000,148421,12.786999999999994,2,2,2,23.420100000000012,9.880397101837568,2.7,2.56,3.2,0.6425999974831939,143.49,29.857142857142858,41.09183673469388,0.0,0.0,0.9930308732315841,0.49348386647153114,1.7843752177852115,0.05428949752596,40.45578336734694,0.24650655686855316,6.880903244018555,,,73.0,0.13265976309776306,0.11874823272228241,0.15060928463935852,3.513690710067749
1050,155611,15.644999999999982,3,3,3,23.374700000000008,10.581207644215288,2.8,2.54,3.22,0.65779999807477,144.62,25.292929292929294,35.38775510204081,0.0,0.0,0.9930853270640299,0.5042870972203015,1.81247406997649,0.052897247960171485,40.45578336734694,0.3253783583641052,5.907462120056152,,,77.0,0.13504888117313385,0.1212826520204544,0.15520167350769043,2.276695728302002
1100,163012,19.487,3,3,3,24.19200000000001,10.475944993173659,2.72,2.58,3.24,0.676100004017353,143.29,21.34020618556701,31.237113402061855,0.0,0.0,0.9930211459278386,0.47909833205387675,1.8803824412031545,0.055621466955125966,40.45578336734694,0.26005786657333374,6.8429856300354,,,81.0,0.1264273077249527,0.11723120510578156,0.14285825192928314,2.5870962142944336
