metric,n_training_seeds,mean,std,ci95_low,ci95_high
reward_mean,3,25.153741333333343,1.9798676852608956,20.235080395415764,30.072402271250922
detected_mean,3,2.842333333333334,0.18186350192749862,2.390522886795433,3.2941437798712347
completed_mean,3,2.707333333333333,0.17700376643826918,2.267596113353668,3.1470705533129983
detected_value_mean,3,3.5500000000000003,0.23412176319172023,2.96836235830287,4.1316376416971305
completed_value_mean,3,3.3960000000000004,0.2284994529533932,2.8283300784469914,3.9636699215530093
sensor_coverage_ratio_mean,3,0.6591991665015619,0.0383190619901623,0.5640016566923056,0.7543966763108181
first_detection_step_mean,3,21.36181274299497,2.2783299178593865,15.701670676891586,27.021954809098354
first_completion_step_mean,3,27.971544452873616,2.8043044171514246,21.004703841575484,34.93838506417175
had_detection_mean,3,0.9896666666666666,0.008326663997864539,0.9689804171489045,1.0103529161844287
had_completion_mean,3,0.9806666666666667,0.010263202878893778,0.9551693996148607,1.0061639337184727
detected_to_completed_ratio,3,0.9524446050813576,0.0022515543630012127,0.9468509825492375,0.9580382276134778
stay_ratio,3,0.0,0.0,0.0,0.0
tracking_progress_ratio,3,0.05960068988480527,0.0048104523001751675,0.04764989943616503,0.07155148033344551
