episode=3300 train_reward=19.599 val_reward=19.474 val_completed=4.000 coverage=0.320 loss=0.0000
episode=3350 train_reward=20.115 val_reward=20.133 val_completed=4.000 coverage=0.303 loss=0.0000
episode=3400 train_reward=19.755 val_reward=20.301 val_completed=4.000 coverage=0.305 loss=0.0000
episode=3450 train_reward=19.398 val_reward=19.101 val_completed=4.000 coverage=0.320 loss=0.0000
episode=3500 train_reward=17.807 val_reward=15.773 val_completed=4.000 coverage=0.298 loss=0.0000
episode=3550 train_reward=12.993 val_reward=14.401 val_completed=4.000 coverage=0.290 loss=0.0000
episode=3600 train_reward=20.590 val_reward=15.723 val_completed=4.000 coverage=0.290 loss=0.0000
episode=3650 train_reward=17.666 val_reward=20.694 val_completed=4.000 coverage=0.303 loss=0.0000
episode=3700 train_reward=16.953 val_reward=20.134 val_completed=4.000 coverage=0.308 loss=0.0000
episode=3750 train_reward=20.618 val_reward=20.575 val_completed=4.000 coverage=0.290 loss=0.0000
episode=3800 train_reward=20.322 val_reward=20.545 val_completed=4.000 coverage=0.290 loss=0.0000
episode=3850 train_reward=16.983 val_reward=20.086 val_completed=4.000 coverage=0.320 loss=0.0000
episode=3900 train_reward=18.845 val_reward=19.935 val_completed=4.000 coverage=0.303 loss=0.0000
episode=3950 train_reward=19.853 val_reward=21.122 val_completed=4.000 coverage=0.308 loss=0.0000
episode=4000 train_reward=19.406 val_reward=20.332 val_completed=4.000 coverage=0.308 loss=0.0000
