episode=3300 train_reward=20.220 val_reward=20.890 val_completed=4.000 coverage=0.333 loss=0.0000
episode=3350 train_reward=20.580 val_reward=20.890 val_completed=4.000 coverage=0.333 loss=0.0000
episode=3400 train_reward=20.672 val_reward=20.890 val_completed=4.000 coverage=0.333 loss=0.0000
episode=3450 train_reward=20.936 val_reward=20.890 val_completed=4.000 coverage=0.333 loss=0.0000
episode=3500 train_reward=19.536 val_reward=20.890 val_completed=4.000 coverage=0.333 loss=0.0000
episode=3550 train_reward=17.202 val_reward=20.890 val_completed=4.000 coverage=0.333 loss=0.0000
episode=3600 train_reward=19.739 val_reward=20.149 val_completed=4.000 coverage=0.322 loss=0.0000
episode=3650 train_reward=18.267 val_reward=20.937 val_completed=4.000 coverage=0.327 loss=0.0000
episode=3700 train_reward=20.164 val_reward=20.886 val_completed=4.000 coverage=0.340 loss=0.0000
episode=3750 train_reward=19.514 val_reward=20.526 val_completed=4.000 coverage=0.335 loss=0.0000
episode=3800 train_reward=20.820 val_reward=20.886 val_completed=4.000 coverage=0.340 loss=0.0000
episode=3850 train_reward=20.890 val_reward=20.886 val_completed=4.000 coverage=0.340 loss=0.0000
episode=3900 train_reward=6.011 val_reward=20.795 val_completed=4.000 coverage=0.343 loss=0.0000
episode=3950 train_reward=20.444 val_reward=20.890 val_completed=4.000 coverage=0.333 loss=0.0000
episode=4000 train_reward=20.886 val_reward=20.890 val_completed=4.000 coverage=0.333 loss=0.0000
