episode=2900 train_reward=21.891 val_reward=22.887 val_completed=4.000 coverage=0.248 collision=0.000 loss=0.5360
episode=2950 train_reward=22.589 val_reward=22.886 val_completed=4.000 coverage=0.255 collision=0.000 loss=0.4583
episode=3000 train_reward=22.584 val_reward=22.880 val_completed=4.000 coverage=0.257 collision=0.000 loss=0.4381
episode=3050 train_reward=21.817 val_reward=21.652 val_completed=4.000 coverage=0.417 collision=0.000 loss=0.3930
episode=3100 train_reward=22.102 val_reward=22.873 val_completed=4.000 coverage=0.248 collision=0.000 loss=0.5212
episode=3150 train_reward=22.705 val_reward=22.833 val_completed=4.000 coverage=0.273 collision=0.000 loss=0.5054
episode=3200 train_reward=22.675 val_reward=22.818 val_completed=4.000 coverage=0.325 collision=0.000 loss=0.4684
episode=3250 train_reward=22.844 val_reward=22.848 val_completed=4.000 coverage=0.233 collision=0.000 loss=0.4539
episode=3300 train_reward=22.843 val_reward=22.843 val_completed=4.000 coverage=0.265 collision=0.000 loss=0.4691
episode=3350 train_reward=22.256 val_reward=22.776 val_completed=4.000 coverage=0.280 collision=0.000 loss=0.3883
episode=3400 train_reward=22.617 val_reward=22.693 val_completed=4.000 coverage=0.303 collision=0.000 loss=0.5332
episode=3450 train_reward=22.608 val_reward=22.532 val_completed=4.000 coverage=0.347 collision=0.000 loss=0.4194
episode=3500 train_reward=22.636 val_reward=22.581 val_completed=4.000 coverage=0.295 collision=0.000 loss=0.6056
episode=3550 train_reward=22.573 val_reward=22.663 val_completed=4.000 coverage=0.252 collision=0.000 loss=0.4896
episode=3600 train_reward=22.330 val_reward=22.648 val_completed=4.000 coverage=0.257 collision=0.000 loss=0.6965
episode=3650 train_reward=22.727 val_reward=22.667 val_completed=4.000 coverage=0.275 collision=0.000 loss=0.5256
episode=3700 train_reward=22.489 val_reward=22.788 val_completed=4.000 coverage=0.252 collision=0.000 loss=0.6149
episode=3750 train_reward=12.405 val_reward=22.586 val_completed=4.000 coverage=0.312 collision=0.000 loss=0.5554
episode=3800 train_reward=22.622 val_reward=1.523 val_completed=3.000 coverage=0.463 collision=0.080 loss=0.4092
episode=3850 train_reward=22.805 val_reward=22.789 val_completed=4.000 coverage=0.305 collision=0.000 loss=0.7095
episode=3900 train_reward=22.804 val_reward=22.958 val_completed=4.000 coverage=0.268 collision=0.000 loss=0.3600
episode=3950 train_reward=22.754 val_reward=22.712 val_completed=4.000 coverage=0.287 collision=0.000 loss=0.7686
episode=4000 train_reward=22.782 val_reward=22.708 val_completed=4.000 coverage=0.252 collision=0.000 loss=0.5905
