episode,global_step,train_reward,train_detected,train_completed,train_completed_value,validation_reward,validation_reward_std,validation_detected,validation_completed,validation_completed_value,validation_coverage,validation_episode_length,validation_first_detection,validation_first_completion,validation_stay,validation_boundary,validation_revisit,validation_sensor_revisit,validation_new_observed_per_step,validation_tracking_progress,best_score,loss,q_mean,target_mean,epsilon,posterior_rebuilds,predictive_epistemic_std_mean,predictive_selected_std_mean,predictive_max_std_mean,td_residual_variance
50,7500,2.492000000000008,1,0,0,-0.4091000000000027,4.850194201266586,1.09,0.18,0.25,0.2649249999970198,150.0,9.072463768115941,57.1764705882353,0.0,0.0,0.9933333333333333,0.8464666666666667,0.6998,0.0036,1.3655605882352937,0.002914212644100189,0.4047834873199463,,,3.0,0.12188627570867538,0.0878152847290039,0.14954641461372375,0.04196559637784958
100,15000,-0.6150000000000047,1,0,0,9.901630000000008,8.66078526192055,1.97,1.09,1.4,0.43700000151991847,149.72,29.4468085106383,50.50704225352113,0.0,0.0,0.993387656959658,0.7151349185145605,1.1608335559711462,0.021907560780122896,15.080022154929578,0.108748659491539,1.323020100593567,,,7.0,0.1233547180891037,0.10332739353179932,0.1457006186246872,0.37326717376708984
150,22500,5.547000000000001,2,1,1,11.982130000000009,8.688204145454925,1.97,1.17,1.54,0.5023500013351441,149.68,23.108695652173914,43.93333333333333,0.0,0.0,0.9940539818278995,0.6477151256012827,1.3357830037413148,0.023650454302512027,16.639546333333335,0.025393180549144745,2.093499183654785,,,10.0,0.12037036567926407,0.10178156942129135,0.14258623123168945,0.6062149405479431
200,30000,2.8969999999999976,1,0,0,13.429240000000004,9.495092522055815,2.07,1.41,1.79,0.48717499725520613,149.23,29.278350515463917,44.2962962962963,0.0,0.0,0.9934999664946726,0.639080613817597,1.299135562554446,0.030087783957649265,19.926998074074074,0.17665834724903107,3.4565329551696777,,,14.0,0.13003811240196228,0.10619395971298218,0.15702956914901733,0.7998926639556885
250,37388,8.591999999999983,1,1,1,20.799680000000002,10.07582894146185,2.6,2.21,2.81,0.614424998164177,145.36,28.14,43.07368421052632,0.0,0.0,0.993189323059989,0.550357732526142,1.6838882773802972,0.04739955971381398,31.748494315789475,0.06845119595527649,4.279439449310303,,,18.0,0.1291012167930603,0.10953311622142792,0.15224799513816833,0.9876308441162109
300,44608,20.952000000000016,3,2,3,23.087260000000004,10.233855212597064,2.65,2.51,3.19,0.6180499984323978,141.74,23.50515463917526,38.41237113402062,0.0,0.0,0.9930859319881473,0.5195428248906448,1.7371243121207844,0.054959785522788206,36.21047857731959,0.09314817190170288,4.230666160583496,,,21.0,0.12140150368213654,0.10706710070371628,0.14174917340278625,1.1536293029785156
350,51810,38.136999999999986,4,4,5,22.156300000000005,10.192758017828162,2.55,2.44,3.04,0.6138250011205674,144.31,22.587628865979383,29.90625,0.0,0.0,0.9930704732866745,0.5192294366294782,1.6944771672094796,0.05107061187720879,36.21047857731959,0.34293222427368164,5.3702239990234375,,,25.0,0.1250225007534027,0.10938982665538788,0.14513355493545532,1.9130502939224243
400,59075,18.092000000000045,1,1,2,22.550950000000007,9.743720883086711,2.5,2.46,3.12,0.6311250013113022,143.98,19.959183673469386,28.90721649484536,0.0,0.0,0.9930545909154049,0.5122239199888874,1.7464231143214335,0.051812751771079316,36.21047857731959,0.3713556230068207,6.295974254608154,,,29.0,0.1193000078201294,0.10729672759771347,0.13660287857055664,2.30269193649292
450,66075,21.987000000000016,2,2,3,24.672380000000008,9.83576138362456,2.71,2.63,3.35,0.6437999983131886,142.47,25.61855670103093,31.520833333333332,0.0,0.0,0.9930511686670878,0.5078262090264617,1.8005194075945814,0.05545027023232961,38.18682133333333,0.08576388657093048,6.514362335205078,,,32.0,0.11899471282958984,0.10707268863916397,0.1366707980632782,3.1714859008789062
500,73275,11.256999999999998,2,2,2,21.918600000000012,10.226096344157929,2.55,2.46,3.05,0.6214500007033348,143.08,27.663265306122447,35.8041237113402,0.0,0.0,0.9930109029913335,0.5204780542353928,1.7303606374056473,0.05192899077439195,38.18682133333333,0.10460975021123886,5.396883964538574,,,36.0,0.11288459599018097,0.10087031126022339,0.12680763006210327,1.8421367406845093
550,80533,23.02200000000002,2,2,3,28.169500000000006,9.099725146948124,2.97,2.92,3.72,0.6965500029921532,138.02,20.35,25.67,0.0,0.0,0.9927546732357629,0.44225474568903056,2.0114476162874944,0.06441095493406752,42.66355,0.35082244873046875,4.881280899047852,,,39.0,0.1044558733701706,0.09437194466590881,0.11748629063367844,1.8045414686203003
600,87483,29.19700000000005,3,3,4,28.972300000000008,9.341291929385363,3.11,3.04,3.84,0.6974499982595443,132.7,19.29,26.51,0.0,0.0,0.9924642049736248,0.4353428786737001,2.094800301431801,0.06925395629238884,44.28703,0.3177824020385742,5.496486663818359,,,43.0,0.10751450061798096,0.09359690546989441,0.12196891009807587,3.435460090637207
650,94258,0.2720000000000004,1,0,0,26.96750000000001,10.230420995736202,2.95,2.89,3.58,0.7023000004887581,136.14,23.0,28.387755102040817,0.0,0.0,0.9926546202438666,0.42735419421184073,2.056118701336859,0.06478624944909651,44.28703,0.323742151260376,6.004639625549316,,,46.0,0.11040349304676056,0.09481126815080643,0.1266808807849884,3.0404324531555176
700,101131,21.087000000000014,2,2,3,24.810950000000002,10.433485019278086,2.81,2.69,3.34,0.6515500020980834,136.01,22.591836734693878,30.306122448979593,0.0,0.0,0.9926475994412176,0.4723182118961841,1.9088302330710978,0.06425998088375855,44.28703,0.4074111580848694,6.40735387802124,,,50.0,0.10639755427837372,0.09197744727134705,0.11992821842432022,3.5239980220794678
750,108251,29.287000000000003,3,3,4,26.348950000000006,9.501082409257382,2.97,2.79,3.54,0.6700500011444092,136.32,28.01,33.22222222222222,0.0,0.0,0.9926643192488263,0.4597271126760563,1.9587734741784038,0.062426643192488265,44.28703,0.21114817261695862,7.171109199523926,,,53.0,0.10809795558452606,0.09510870277881622,0.1217915341258049,3.7083678245544434
800,115447,7.841999999999961,2,1,1,26.645750000000003,10.45647042206404,2.98,2.9,3.59,0.6810749983787536,134.62,27.07070707070707,31.928571428571427,0.0,0.0,0.9925716832565741,0.4520873570049027,2.016268013668103,0.06529490417471401,44.28703,0.4240836501121521,5.791845321655273,,,57.0,0.09775545448064804,0.0896633043885231,0.10858207195997238,4.5705485343933105
850,122707,29.302000000000007,3,3,4,25.603350000000006,10.09046435638619,2.83,2.73,3.41,0.6662499994039536,137.85,20.474747474747474,25.96969696969697,0.0,0.0,0.9927457381211462,0.47986942328618065,1.926006528835691,0.060790714544795066,44.28703,0.4048817753791809,6.393728256225586,,,60.0,0.1003626361489296,0.08897939324378967,0.11286434531211853,3.527857780456543
900,129454,18.046999999999976,3,3,3,29.391550000000006,9.74947368053784,3.19,3.11,3.88,0.7059250003099442,132.53,20.66,25.38,0.0,0.0,0.9924545385950351,0.4081340073945522,2.1230664755149777,0.07138006489096808,45.171555,0.3902130126953125,6.1657185554504395,,,64.0,0.10143580287694931,0.0920487567782402,0.11304034292697906,2.810436725616455
950,136568,13.197000000000003,2,2,2,27.923700000000007,10.267323195945483,3.02,2.91,3.65,0.7065500013530255,131.6,23.52,31.397959183673468,0.0,0.0,0.9924012158054711,0.3985562310030395,2.139969604863222,0.067629179331307,45.171555,0.3200415074825287,7.101071357727051,,,67.0,0.1049797311425209,0.09369455277919769,0.117344930768013,4.001378059387207
1000,143650,28.70200000000003,3,3,4,27.199050000000007,10.302020144005745,2.98,2.92,3.61,0.706149999499321,135.56,26.632653061224488,32.154639175257735,0.0,0.0,0.9926231926822071,0.4114783121864857,2.0762761876659783,0.06521097668928888,45.171555,0.5132699012756348,7.07607889175415,,,71.0,0.10720391571521759,0.0975230485200882,0.11904249340295792,2.6698880195617676
1050,150749,29.16700000000001,4,3,4,26.743500000000008,10.124831986260322,2.93,2.9,3.59,0.6903999975323677,135.97,21.1010101010101,31.98989898989899,0.0,0.0,0.9926454364933441,0.44097962785908656,2.0236816944914318,0.06413179377803928,45.171555,0.5224652886390686,6.5614423751831055,,,74.0,0.10808070749044418,0.09824779629707336,0.12129510194063187,2.5333361625671387
1100,157469,39.43200000000003,4,4,5,29.67270000000001,9.416560067774224,3.16,3.11,3.9,0.7226250004768372,131.76,21.53,27.0,0.0,0.0,0.9924104432301154,0.3976168791742562,2.1861718275652704,0.071645415907711,45.22727,0.6374711990356445,6.76962423324585,,,78.0,0.10642053186893463,0.09475289285182953,0.1197337657213211,3.030449390411377
1150,164272,14.616999999999944,2,2,2,30.223000000000006,8.840330112614575,3.27,3.14,3.96,0.734725003540516,132.96,24.19,28.565656565656564,0.0,0.0,0.9924789410348978,0.3771811070998797,2.202842960288809,0.0713748495788207,45.73098686868687,0.5551623702049255,6.831150531768799,,,81.0,0.10553614795207977,0.09472320973873138,0.11928904056549072,2.482837200164795
1200,171429,18.04700000000009,3,3,3,28.520300000000017,8.901700742554764,3.08,3.08,3.83,0.6828000006079674,132.92,18.43,25.2,0.0,0.0,0.9924766777008727,0.4182967198314776,2.0472464640385195,0.06966596448991874,45.73098686868687,0.524979829788208,7.949203014373779,,,85.0,0.10394773632287979,0.09515553712844849,0.11740589141845703,3.4942896366119385
1250,178637,29.932000000000016,4,3,4,26.5863,10.296491028986534,2.9,2.85,3.53,0.6958000019192696,137.73,21.48,28.05,0.0,0.0,0.9927394177012997,0.4243810353590358,2.0135046830755825,0.06258621941479707,45.73098686868687,0.19269835948944092,6.82475471496582,,,88.0,0.10786344856023788,0.0987195074558258,0.1226239800453186,3.654040813446045
1300,185748,38.566999999999986,4,4,5,27.179000000000016,9.674432463974316,3.05,2.9,3.61,0.6824749997258186,138.55,24.33,29.85,0.0,0.0,0.9927823890292313,0.4483579935041501,1.963118007939372,0.06344280043305665,45.73098686868687,0.2875160276889801,7.850552558898926,,,92.0,0.1124722957611084,0.10081522911787033,0.13075587153434753,3.6502294540405273
1350,192754,11.63199999999997,2,2,2,25.987250000000014,10.056126922801852,2.84,2.79,3.48,0.6743000024557113,139.5,18.98989898989899,24.848484848484848,0.0,0.0,0.992831541218638,0.4546236559139785,1.9263082437275985,0.06043010752688172,45.73098686868687,0.20190958678722382,7.654405117034912,,,95.0,0.11021095514297485,0.09845443069934845,0.1290905773639679,3.809741973876953
1400,199750,28.4170000000001,3,3,4,26.56180000000001,10.15194429456743,2.95,2.88,3.54,0.6905000007152557,136.69,22.67,27.66,0.0,0.0,0.992684175872412,0.43360889604213915,2.01331479991221,0.06452556880532592,45.73098686868687,0.2055353969335556,8.05012035369873,,,99.0,0.12228181213140488,0.10751742124557495,0.14449965953826904,2.236860990524292
1450,206702,14.361999999999977,2,2,2,25.83315000000001,9.989621710930813,2.88,2.77,3.44,0.7010749995708465,138.32,21.252525252525253,26.68686868686869,0.0,0.0,0.9927703875072296,0.44107865818392133,2.0201706188548294,0.06080104106419896,45.73098686868687,0.14245864748954773,6.830165863037109,,,102.0,0.11663202941417694,0.10396231710910797,0.1376974880695343,2.5288734436035156
