episode=3300 train_reward=21.006 val_reward=20.864 val_completed=4.000 coverage=0.315 loss=0.0102
episode=3350 train_reward=21.023 val_reward=21.023 val_completed=4.000 coverage=0.310 loss=0.0023
episode=3400 train_reward=20.894 val_reward=21.019 val_completed=4.000 coverage=0.312 loss=0.0035
episode=3450 train_reward=20.835 val_reward=21.016 val_completed=4.000 coverage=0.310 loss=0.1353
episode=3500 train_reward=21.033 val_reward=21.011 val_completed=4.000 coverage=0.312 loss=0.0237
episode=3550 train_reward=21.017 val_reward=21.022 val_completed=4.000 coverage=0.310 loss=0.0099
episode=3600 train_reward=20.933 val_reward=21.004 val_completed=4.000 coverage=0.322 loss=0.0065
episode=3650 train_reward=20.722 val_reward=21.013 val_completed=4.000 coverage=0.305 loss=0.0813
episode=3700 train_reward=20.660 val_reward=21.023 val_completed=4.000 coverage=0.305 loss=0.0082
episode=3750 train_reward=20.634 val_reward=21.047 val_completed=4.000 coverage=0.287 loss=0.0022
episode=3800 train_reward=21.002 val_reward=21.046 val_completed=4.000 coverage=0.287 loss=0.0091
episode=3850 train_reward=20.983 val_reward=21.054 val_completed=4.000 coverage=0.295 loss=0.0054
episode=3900 train_reward=20.934 val_reward=21.012 val_completed=4.000 coverage=0.305 loss=0.0064
episode=3950 train_reward=20.964 val_reward=21.031 val_completed=4.000 coverage=0.287 loss=0.0154
episode=4000 train_reward=20.309 val_reward=21.003 val_completed=4.000 coverage=0.320 loss=0.0043
