algo,best_score,detection_probability,episode,epsilon,global_state_mode,global_step,kl_loss,loss,posterior_kl_per_parameter,posterior_rebuilds,posterior_std_max,posterior_std_mean,posterior_std_min,predictive_epistemic_std_mean,predictive_max_std_mean,predictive_selected_std_mean,q_mean,q_tot_mean,reward_mode,run_dir,scope,target_mean,td_loss,td_residual_variance,train_completed,train_completed_value,train_detected,train_reward,training_seed,validation_boundary,validation_collision,validation_completed,validation_completed_value,validation_coverage,validation_detected,validation_episode_length,validation_first_completion,validation_first_detection,validation_knowledge_overlap,validation_local_coverage,validation_local_new_observed,validation_local_sensor_revisit,validation_new_observed_per_step,validation_overlap,validation_revisit,validation_reward,validation_reward_std,validation_sensor_revisit,validation_simultaneous_overlap,validation_stay,validation_team_new_observed,validation_tracking_progress
bayes_qmix_independent,25.326826793897375,1.0,50.0,,memory_union,7500.0,0.0025383031461387873,0.18110103905200958,2.5383095741271973,,0.05069280043244362,0.048256974667310715,0.03502381965517998,,,,-3.9683542251586914,-3.9683542251586914,task_potential,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed42,multi,-3.8602919578552246,0.178562730550766,,3.0,4.0,3.0,3.8838749703952367,42,,0.04888888888888889,2.0,2.0,0.6524999737739563,3.0,150.0,3.0,1.0,0.0,0.29999998211860657,0.7933333333333333,0.7755555555555556,,0.36015325670498083,,-4.286999997999507,0.0,,0.2151982205040639,0.0,1.72,0.013333333333333334
bayes_qmix_independent,41.03189112895961,1.0,100.0,,memory_union,14821.0,0.002587839961051941,0.03848973661661148,2.587848663330078,,0.049760255962610245,0.04612854868173599,0.024953877553343773,,,,-5.045048713684082,-5.045048713684082,task_potential,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed42,multi,-5.0612287521362305,0.03590189665555954,,3.0,4.0,4.0,1.292499976325809,42,,0.18666666666666668,3.0,4.0,0.4650000035762787,4.0,150.0,3.0,1.0,0.0,0.2566666603088379,0.6777777777777778,0.8,,0.46774193548387094,,0.9237499635107547,0.0,,0.23283802233657644,0.0,1.22,0.02
bayes_qmix_independent,57.207357137055,1.0,150.0,,memory_union,18724.0,0.002611466683447361,0.06816694885492325,2.6114726066589355,,0.049397993832826614,0.045141227543354034,0.021463114768266678,,,,-2.8039393424987793,-2.8039393424987793,task_potential,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed42,multi,-2.8935861587524414,0.06555548310279846,,4.0,5.0,4.0,21.707125000897804,42,,0.0,4.0,5.0,0.3499999940395355,4.0,30.0,3.0,1.0,0.0,0.1316666603088379,1.7222222222222223,0.6444444444444445,,0.12857142857142856,,21.445000001583253,0.0,,0.22045841992711043,0.0,4.566666666666666,0.13333333333333333
bayes_qmix_independent,57.207357137055,1.0,200.0,,memory_union,20930.0,0.002624843968078494,0.03057793900370598,2.6248514652252197,,0.04891347512602806,0.0445932000875473,0.019650015980005264,,,,-3.1586978435516357,-3.1586978435516357,task_potential,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed42,multi,-3.232285976409912,0.027953095734119415,,4.0,5.0,4.0,20.614374998379503,42,,0.0,4.0,5.0,0.3774999976158142,4.0,37.0,3.0,1.0,0.0,0.14416666328907013,1.5315315315315314,0.6666666666666666,,0.1456953642384106,,20.428249997440723,0.0,,0.16319490831824798,0.0,4.0,0.10810810810810811
bayes_qmix_independent,57.308487060548224,1.0,250.0,,memory_union,22085.0,0.0026317895390093327,0.036874301731586456,2.63179874420166,,0.04867332801222801,0.04430868849158287,0.018851956352591515,,,,-3.468735694885254,-3.468735694885254,task_potential,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed42,multi,-3.362809658050537,0.03424251079559326,,4.0,5.0,4.0,22.72624999927357,42,,0.0,4.0,5.0,0.28999999165534973,4.0,17.0,3.0,1.0,0.0,0.10749999433755875,2.4705882352941178,0.49019607843137253,,0.11206896551724138,,22.72624999927357,0.0,,0.10414870565557026,0.0,6.647058823529412,0.23529411764705882
bayes_qmix_independent,57.308487060548224,1.0,300.0,,memory_union,23276.0,0.002639052225276828,0.04022878780961037,2.639055013656616,,0.048529334366321564,0.04401356354355812,0.018008653074502945,,,,-0.8983083963394165,-0.8983083963394165,task_potential,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed42,multi,-0.9018692970275879,0.03758973628282547,,4.0,5.0,4.0,22.72624999927357,42,,0.0,4.0,5.0,0.2824999988079071,4.0,17.0,3.0,1.0,0.0,0.10499999672174454,2.411764705882353,0.5098039215686274,,0.11504424778761062,,22.72624999927357,0.0,,0.10414870565557026,0.0,6.470588235294118,0.23529411764705882
bayes_qmix_independent,57.308487060548224,1.0,350.0,,memory_union,24151.0,0.002644424792379141,0.023095019161701202,2.6444268226623535,,0.048495061695575714,0.04379585385322571,0.017392877489328384,,,,-2.880728244781494,-2.880728244781494,task_potential,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed42,multi,-2.9623701572418213,0.020450593903660774,,4.0,5.0,4.0,22.7245000009425,42,,0.0,4.0,5.0,0.2800000011920929,4.0,17.0,3.0,1.0,0.0,0.1041666641831398,2.392156862745098,0.5294117647058824,,0.11607142857142858,,22.725749999750406,0.0,,0.11222252341796934,0.0,6.411764705882353,0.23529411764705882
bayes_qmix_independent,57.308487060548224,1.0,400.0,,memory_union,25028.0,0.0026498909574002028,0.02884133718907833,2.6498959064483643,,0.048299308866262436,0.04357672110199928,0.016805464401841164,,,,-1.991440773010254,-1.991440773010254,task_potential,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed42,multi,-1.9681649208068848,0.02619144693017006,,4.0,5.0,4.0,22.72624999927357,42,,0.0,4.0,5.0,0.2849999964237213,4.0,17.0,3.0,1.0,0.0,0.10583332926034927,2.4313725490196076,0.5294117647058824,,0.11403508771929824,,22.725000000465663,0.0,,0.11222252341796934,0.0,6.529411764705882,0.23529411764705882
bayes_qmix_independent,57.308487060548224,1.0,450.0,,memory_union,25933.0,0.0026550714392215014,0.058308109641075134,2.6550748348236084,,0.04816203936934471,0.04336848855018616,0.016312943771481514,,,,-0.7547332048416138,-0.7547332048416138,task_potential,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed42,multi,-0.8643176555633545,0.05565303936600685,,4.0,5.0,4.0,22.73625000076369,42,,0.0,4.0,5.0,0.2849999964237213,4.0,17.0,3.0,1.0,0.0,0.10583332926034927,2.4313725490196076,0.5294117647058824,,0.11403508771929824,,22.725000000465663,0.0,,0.11222252341796934,0.0,6.529411764705882,0.23529411764705882
bayes_qmix_independent,57.30941206061975,1.0,500.0,,memory_union,26968.0,0.0026611422654241323,0.01408986747264862,2.6611485481262207,,0.04798128828406334,0.04312555864453316,0.01569359563291073,,,,-1.9048415422439575,-1.9048415422439575,task_potential,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed42,multi,-1.9091051816940308,0.011428724974393845,,4.0,5.0,4.0,22.73625000076369,42,,0.0,4.0,5.0,0.28999999165534973,4.0,17.0,3.0,1.0,0.0,0.10749999433755875,2.4705882352941178,0.49019607843137253,,0.11206896551724138,,22.735499999988825,0.0,,0.0943447840869428,0.0,6.647058823529412,0.23529411764705882
