action_0_ci95_high,action_0_ci95_low,action_0_mean,action_0_std,action_1_ci95_high,action_1_ci95_low,action_1_mean,action_1_std,action_2_ci95_high,action_2_ci95_low,action_2_mean,action_2_std,action_3_ci95_high,action_3_ci95_low,action_3_mean,action_3_std,action_4_ci95_high,action_4_ci95_low,action_4_mean,action_4_std,algo,baseline,blr_lambda,blr_noise_var,boundary_hit_ratio,boundary_hits_ci95_high,boundary_hits_ci95_low,boundary_hits_mean,boundary_hits_std,checkpoint,collision_agent_ratio,collision_agents_ci95_high,collision_agents_ci95_low,collision_agents_mean,collision_agents_std,completed_ci95_high,completed_ci95_low,completed_mean,completed_std,completed_value_ci95_high,completed_value_ci95_low,completed_value_mean,completed_value_std,coverage_overlap_ratio_ci95_high,coverage_overlap_ratio_ci95_low,coverage_overlap_ratio_mean,coverage_overlap_ratio_std,decisions_ci95_high,decisions_ci95_low,decisions_mean,decisions_std,detected_ci95_high,detected_ci95_low,detected_mean,detected_std,detected_to_completed_ratio,detected_value_ci95_high,detected_value_ci95_low,detected_value_mean,detected_value_std,detection_probability,env_steps_ci95_high,env_steps_ci95_low,env_steps_mean,env_steps_std,episode_csv,episode_length_ci95_high,episode_length_ci95_low,episode_length_mean,episode_length_std,episodes,eval_seed_base,execution_posterior_sampling,features_frozen,first_completion_step_ci95_high,first_completion_step_ci95_low,first_completion_step_mean,first_completion_step_std,first_detection_step_ci95_high,first_detection_step_ci95_low,first_detection_step_mean,first_detection_step_std,fixed_scenario,global_state_mode,had_completion_ci95_high,had_completion_ci95_low,had_completion_mean,had_completion_std,had_detection_ci95_high,had_detection_ci95_low,had_detection_mean,had_detection_std,is_baseline,knowledge_overlap_ratio_ci95_high,knowledge_overlap_ratio_ci95_low,knowledge_overlap_ratio_mean,knowledge_overlap_ratio_std,local_new_observed_cells_ci95_high,local_new_observed_cells_ci95_low,local_new_observed_cells_mean,local_new_observed_cells_per_decision,local_new_observed_cells_std,local_sensor_revisit_ratio,local_sensor_revisit_steps_ci95_high,local_sensor_revisit_steps_ci95_low,local_sensor_revisit_steps_mean,local_sensor_revisit_steps_std,mean_local_coverage_ratio_ci95_high,mean_local_coverage_ratio_ci95_low,mean_local_coverage_ratio_mean,mean_local_coverage_ratio_std,n_agents,new_observed_cells_ci95_high,new_observed_cells_ci95_low,new_observed_cells_mean,new_observed_cells_per_step,new_observed_cells_std,policy_mode,position_revisit_steps_ci95_high,position_revisit_steps_ci95_low,position_revisit_steps_mean,position_revisit_steps_std,posterior_kl_per_parameter,posterior_rebuilds,posterior_std_max,posterior_std_mean,posterior_std_min,revisit_ratio,reward_ci95_high,reward_ci95_low,reward_mean,reward_mode,reward_part_boundary_ci95_high,reward_part_boundary_ci95_low,reward_part_boundary_mean,reward_part_boundary_std,reward_part_collision_ci95_high,reward_part_collision_ci95_low,reward_part_collision_mean,reward_part_collision_std,reward_part_complete_ci95_high,reward_part_complete_ci95_low,reward_part_complete_mean,reward_part_complete_std,reward_part_potential_ci95_high,reward_part_potential_ci95_low,reward_part_potential_mean,reward_part_potential_std,reward_part_step_ci95_high,reward_part_step_ci95_low,reward_part_step_mean,reward_part_step_std,reward_std,scenario_seed,schema_version,scope,sensor_coverage_ratio_ci95_high,sensor_coverage_ratio_ci95_low,sensor_coverage_ratio_mean,sensor_coverage_ratio_std,sensor_revisit_ratio,sensor_revisit_steps_ci95_high,sensor_revisit_steps_ci95_low,sensor_revisit_steps_mean,sensor_revisit_steps_std,simultaneous_overlap_sum_ci95_high,simultaneous_overlap_sum_ci95_low,simultaneous_overlap_sum_mean,simultaneous_overlap_sum_std,simultaneous_sensor_overlap_ratio_mean,stay_ratio,summary_path,team_coverage_ratio_ci95_high,team_coverage_ratio_ci95_low,team_coverage_ratio_mean,team_coverage_ratio_std,team_new_observed_cells_ci95_high,team_new_observed_cells_ci95_low,team_new_observed_cells_mean,team_new_observed_cells_per_env_step,team_new_observed_cells_std,tracking_progress_ratio,tracking_progress_steps_ci95_high,tracking_progress_steps_ci95_low,tracking_progress_steps_mean,tracking_progress_steps_std,trained_posterior_sampling,training_seed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bayes_qmix_independent,,,,0.0,0.0,0.0,0.0,0.0,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed42/best.pt,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,5.0,5.0,5.0,0.0,0.1056910569105691,0.1056910569105691,0.1056910569105691,1.3877787807814457e-17,51.0,51.0,51.0,0.0,4.0,4.0,4.0,0.0,1.0,5.0,5.0,5.0,0.0,1.0,17.0,17.0,17.0,0.0,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed42/evaluation/final_test_posterior_mean_episodes.csv,17.0,17.0,17.0,0.0,100,200000,mean,,3.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,True,memory_union,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,133.0,133.0,133.0,2.607843137254902,0.0,0.49019607843137253,25.0,25.0,25.0,0.0,0.1133333221077919,0.1133333221077919,0.1133333221077919,0.0,3,,,,,,posterior_mean,,,,,2.7806098461151123,,0.049102190881967545,0.038750965148210526,0.007883032783865929,,22.724124999810016,22.724124999810016,22.724124999810016,task_potential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,-1.0208750001899887,-1.0208750001899887,-1.0208750001899887,0.0,-0.255,-0.255,-0.255,1.1102230246251565e-16,7.105427357601002e-15,12345,1,multi,,,,,,,,,,1.7411162314388124,1.7411162314388124,1.7411162314388124,2.220446049250313e-16,0.10241860184934178,0.0,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed42/evaluation/final_test_posterior_mean_summary.json,0.3075000047683716,0.3075000047683716,0.3075000047683716,0.0,120.0,120.0,120.0,7.0588235294117645,0.0,0.23529411764705882,12.0,12.0,12.0,0.0,independent,42
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bayes_qmix_independent,,,,0.0,0.0,0.0,0.0,0.0,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed42/best.pt,0.008818342151675485,1.5146666666666664,-0.31466666666666654,0.6,4.643274706497559,4.0096,3.9704,3.99,0.09949874371066199,5.0192000000000005,4.9408,4.98,0.19899748742132398,0.14477487156115776,0.11513529249897025,0.129955082030064,0.07523216532654334,82.68486932236307,53.39513067763694,68.04,74.34418874397647,4.0,4.0,4.0,0.0,0.9975,5.0,5.0,5.0,0.0,1.0,27.561623107454356,17.798376892545644,22.68,24.78139624799216,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed42/evaluation/final_test_posterior_sample_independent_episodes.csv,27.561623107454356,17.798376892545644,22.68,24.78139624799216,100,200000,independent,,3.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,True,memory_union,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,0.007399999999999999,-0.002399999999999999,0.0025,0.024874685927665497,148.28356878339696,125.45643121660305,136.87,2.011610817166373,57.94059975526659,0.5817166372721928,51.15160395094715,28.008396049052845,39.58,58.742859991661966,0.1260696360293279,0.10704702155557774,0.11655832879245281,0.048283832709959056,3,,,,,,posterior_sample_independent,,,,,2.7806098461151123,,0.049102190881967545,0.038750965148210526,0.007883032783865929,,22.64184942879478,21.114285571805137,21.87806750029996,task_potential,0.0,0.0,0.0,0.0,0.0062933333333333435,-0.030293333333333346,-0.012000000000000002,0.09286549412995125,24.115199999999998,23.6448,23.88,1.1939849245279437,-1.1060999577931105,-2.1933650416069725,-1.6497324997000415,2.759732395917012,-0.26697565338818474,-0.41342434661181504,-0.3401999999999999,0.3717209437198814,3.877313385415388,12345,1,multi,,,,,,,,,,2.454071608154352,1.6708988054577039,2.062485206806028,1.9878752545070064,0.09093850118192363,0.0,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed42/evaluation/final_test_posterior_sample_independent_summary.json,0.31962566296642575,0.28762433786803926,0.3036250004172325,0.08122682766239617,124.85026470096544,112.04973529903457,118.45,5.222663139329806,32.49072944702843,0.17592592592592593,12.0288,11.911200000000001,11.97,0.2984962311319859,independent,42
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bayes_qmix_independent,,,,0.0,0.0,0.0,0.0,0.0,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed42/best.pt,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,5.0,5.0,5.0,0.0,0.11373668663197778,0.11118527904635944,0.11246098283916861,0.006476067588338695,51.14273471295214,50.977265287047864,51.06,0.42,4.0,4.0,4.0,0.0,1.0,5.0,5.0,5.0,0.0,1.0,17.04757823765071,16.992421762349288,17.02,0.13999999999999999,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed42/evaluation/final_test_posterior_sample_shared_episodes.csv,17.04757823765071,16.992421762349288,17.02,0.13999999999999999,100,200000,shared,,3.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,True,memory_union,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,127.25161620880303,124.68838379119697,125.97,2.4670975323149236,6.506081770159365,0.5117508813160987,26.416350864810596,25.843649135189402,26.13,1.4536505769957235,0.10854300680495192,0.10640698176883769,0.1074749942868948,0.0054217297864257155,3,,,,,,posterior_sample_shared,,,,,2.7806098461151123,,0.049102190881967545,0.038750965148210526,0.007883032783865929,,22.72834092356368,22.722884076756703,22.725612500160192,task_potential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,-1.016711487211935,-1.0214635124676883,-1.0190874998398116,0.012061748546653452,-0.25488632643523934,-0.2557136735647607,-0.2553,0.002100000000000002,0.013850750048874944,12345,1,multi,,,,,,,,,,1.7729164898026961,1.7254466920291764,1.7491815909159363,0.1204894194557243,0.1027721263757894,0.0,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed42/evaluation/final_test_posterior_sample_shared_summary.json,0.29312904305341914,0.2867209612619571,0.2899250021576881,0.016265206322592946,114.25161620880303,111.68838379119697,112.97,6.637485311398355,6.506081770159365,0.23501762632197415,12.0,12.0,12.0,0.0,independent,42
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bayes_qmix_independent,,,,0.0,0.0,0.0,0.0,0.0,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed43/best.pt,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,5.0,5.0,5.0,0.0,0.0310077519379845,0.0310077519379845,0.0310077519379845,3.469446951953614e-18,45.0,45.0,45.0,0.0,4.0,4.0,4.0,0.0,1.0,5.0,5.0,5.0,0.0,1.0,15.0,15.0,15.0,0.0,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed43/evaluation/final_test_posterior_mean_episodes.csv,15.0,15.0,15.0,0.0,100,200000,mean,,4.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,True,memory_union,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,130.0,130.0,130.0,2.888888888888889,0.0,0.4,18.0,18.0,18.0,0.0,0.11083332449197769,0.11083332449197769,0.11083332449197769,0.0,3,,,,,,posterior_mean,,,,,2.859163284301758,,0.04903818666934967,0.036080796271562576,0.006248122546821833,,22.862875002864744,22.862875002864744,22.862875002864744,task_potential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,-0.9121249971352529,-0.9121249971352529,-0.9121249971352529,1.1102230246251565e-16,-0.22500000000000014,-0.22500000000000014,-0.22500000000000014,5.551115123125783e-17,3.552713678800501e-15,12345,1,multi,,,,,,,,,,0.026315789473684202,0.026315789473684202,0.026315789473684202,6.938893903907228e-18,0.0017543859649122799,0.0,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed43/evaluation/final_test_posterior_mean_summary.json,0.32249999046325684,0.32249999046325684,0.32249999046325684,0.0,126.0,126.0,126.0,8.4,0.0,0.26666666666666666,12.0,12.0,12.0,0.0,independent,43
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bayes_qmix_independent,,,,0.0,0.0,0.0,0.0,0.0,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed43/best.pt,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,5.0,5.0,5.0,0.0,0.047371335822512614,0.03853908515095415,0.04295521048673338,0.022418312396880538,45.52883908515081,42.611160914849194,44.07,7.405747767781453,4.0,4.0,4.0,0.0,1.0,5.0,5.0,5.0,0.0,1.0,15.176279695050267,14.203720304949732,14.69,2.468582589260485,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed43/evaluation/final_test_posterior_sample_independent_episodes.csv,15.176279695050267,14.203720304949732,14.69,2.468582589260485,100,200000,independent,,4.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,True,memory_union,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,128.70334639421736,127.13665360578264,127.92,2.9026548672566372,3.976631740556322,0.4406625822555026,20.805979687638118,18.034020312361886,19.42,7.035879475943288,0.10975278164203876,0.10844720472637899,0.10909999318420888,0.0033138587481068133,3,,,,,,posterior_sample_independent,,,,,2.859163284301758,,0.04903818666934967,0.036080796271562576,0.006248122546821833,,22.959275886644,22.870631616783555,22.914953751713778,task_potential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,-0.827256059511697,-0.9021364370607389,-0.8646962482862179,0.19006386466096242,-0.21305580457424617,-0.2276441954257542,-0.22035000000000018,0.03702873883890732,0.2249998338842747,12345,1,multi,,,,,,,,,,0.241157511657289,0.1272865412859151,0.18422202647160205,0.2890310841088193,0.012540641693097505,0.0,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed43/evaluation/final_test_posterior_sample_independent_summary.json,0.3161723140293325,0.31172768499315134,0.3139499995112419,0.011281505238774312,123.46892629456649,121.69107370543351,122.58,8.344452008168822,4.512604569425511,0.27229407760381213,12.0,12.0,12.0,0.0,independent,43
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bayes_qmix_independent,,,,0.0,0.0,0.0,0.0,0.0,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed43/best.pt,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,5.0,5.0,5.0,0.0,0.04672889233512204,0.03763005033592496,0.0421794713355235,0.02309498337096729,47.10991999473711,43.13008000526288,45.12,10.101762222503556,4.0,4.0,4.0,0.0,1.0,5.0,5.0,5.0,0.0,1.0,15.70330666491237,14.376693335087628,15.04,3.3672540741678527,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed43/evaluation/final_test_posterior_sample_shared_episodes.csv,15.70330666491237,14.376693335087628,15.04,3.3672540741678527,100,200000,shared,,4.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,True,memory_union,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,128.86955260572788,127.17044739427216,128.02,2.837322695035461,4.312725356430664,0.45523049645390073,22.457856330238098,18.6221436697619,20.54,9.73593344266486,0.10989128674037181,0.10847536613576687,0.10918332643806934,0.003593936769189616,3,,,,,,posterior_sample_shared,,,,,2.859163284301758,,0.04903818666934967,0.036080796271562576,0.006248122546821833,,22.931397140383087,22.813860363512365,22.872628751947726,task_potential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,-0.8524005879728498,-0.9511419081316899,-0.9017712480522698,0.25062850275859316,-0.21565040002631458,-0.23554959997368574,-0.22560000000000016,0.05050881111251782,0.2983357560825796,12345,1,multi,,,,,,,,,,0.20838316180611077,0.10505491742144218,0.15671903961377648,0.26227118638017316,0.010420148910490474,0.0,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed43/evaluation/final_test_posterior_sample_shared_summary.json,0.3166189706174372,0.3121810251625539,0.31439999788999556,0.01126454075044218,123.64758951655537,121.87241048344464,122.76,8.162234042553191,4.5058184606128995,0.26595744680851063,12.0,12.0,12.0,0.0,independent,43
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bayes_qmix_independent,,,,0.0,0.0,0.0,0.0,0.0,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed44/best.pt,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,5.0,5.0,5.0,0.0,0.11538461538461538,0.11538461538461538,0.11538461538461538,1.3877787807814457e-17,51.0,51.0,51.0,0.0,4.0,4.0,4.0,0.0,1.0,5.0,5.0,5.0,0.0,1.0,17.0,17.0,17.0,0.0,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed44/evaluation/final_test_posterior_mean_episodes.csv,17.0,17.0,17.0,0.0,100,200000,mean,,3.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,True,memory_union,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,171.0,171.0,171.0,3.3529411764705883,0.0,0.29411764705882354,15.0,15.0,15.0,0.0,0.14499999582767487,0.14499999582767487,0.14499999582767487,0.0,3,,,,,,posterior_mean,,,,,2.7139132022857666,,0.052010633051395416,0.04142526537179947,0.00936137605458498,,22.661375000718987,22.661375000718987,22.661375000718987,task_potential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,-1.0836249992810172,-1.0836249992810172,-1.0836249992810172,2.220446049250313e-16,-0.255,-0.255,-0.255,1.1102230246251565e-16,3.552713678800501e-15,12345,1,multi,,,,,,,,,,0.5199440464146347,0.5199440464146347,0.5199440464146347,0.0,0.03058494390674328,0.0,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed44/evaluation/final_test_posterior_mean_summary.json,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.0,153.0,153.0,153.0,9.0,0.0,0.23529411764705882,12.0,12.0,12.0,0.0,independent,44
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bayes_qmix_independent,,,,0.0,0.0,0.0,0.0,0.0,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed44/best.pt,0.0076481835564053535,1.2779716670497399,-0.31797166704974,0.48,4.0508764483750905,4.007578237650713,3.952421762349287,3.98,0.13999999999999999,5.007578237650713,4.952421762349288,4.98,0.13999999999999999,0.14168781144532983,0.11999220551952539,0.1308400084824276,0.05506850851171263,73.91297148240201,51.60702851759798,62.76,56.61768628264492,4.0,4.0,4.0,0.0,0.995,5.0,5.0,5.0,0.0,1.0,24.637657160800675,17.20234283919933,20.92,18.87256209421497,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed44/evaluation/final_test_posterior_sample_independent_episodes.csv,24.637657160800675,17.20234283919933,20.92,18.87256209421497,100,200000,independent,,4.670554763001797,4.089445236998203,4.38,1.4749915253993837,1.0,1.0,1.0,0.0,True,memory_union,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,171.82033733508524,150.51966266491473,161.17,2.5680369662205225,54.06608086406856,0.46016571064372214,37.13413831253295,20.62586168746705,28.88,41.90185676076897,0.14568361139001476,0.1279330495923556,0.13680833049118518,0.04505506630167235,3,,,,,,posterior_sample_independent,,,,,2.7139132022857666,,0.052010633051395416,0.04142526537179947,0.00936137605458498,,22.717357480273343,21.45611418742419,22.086735833848767,task_potential,0.0,0.0,0.0,0.0,0.006359433340994805,-0.025559433340994808,-0.009600000000000003,0.08101752896750186,24.030312950602852,23.80968704939715,23.92,0.5599999999999999,-1.0475818678705733,-1.9721464644319004,-1.5098641661512369,2.3467606080920174,-0.25803514258799,-0.36956485741200995,-0.31379999999999997,0.28308843141322415,3.2013296722446207,12345,1,multi,,,,,,,,,,0.8491402165571748,0.49317483331360956,0.6711575249353922,0.903523174418854,0.03208209966230365,0.0,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed44/evaluation/final_test_posterior_sample_independent_summary.json,0.3762820738597755,0.34191792606869886,0.3590999999642372,0.08722422280356253,147.51282953848343,133.76717046151654,140.64,6.722753346080306,34.88968902125669,0.1977374123645634,12.537950868095784,12.282049131904216,12.41,0.6495382975621993,independent,44
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bayes_qmix_independent,,,,0.0,0.0,0.0,0.0,0.0,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed44/best.pt,0.020134228187919462,3.076266666666667,-0.5562666666666671,1.26,9.220216917188013,4.007578237650713,3.952421762349287,3.98,0.13999999999999999,5.007578237650713,4.952421762349288,4.98,0.13999999999999999,0.14707429236524924,0.12250675164017792,0.13479052200271358,0.06235814893380414,73.63526560118423,51.52473439881577,62.58,56.12168564824118,4.0,4.0,4.0,0.0,0.995,5.0,5.0,5.0,0.0,1.0,24.545088533728077,17.174911466271922,20.86,18.707228549413724,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed44/evaluation/final_test_posterior_sample_shared_episodes.csv,24.545088533728077,17.174911466271922,20.86,18.707228549413724,100,200000,shared,,4.593682391758705,4.026317608241294,4.31,1.440104162899337,1.0,1.0,1.0,0.0,True,memory_union,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,0.014799999999999997,-0.004799999999999998,0.005,0.049749371855330994,171.02339395371794,155.59660604628206,163.31,2.6096196868008947,39.15678612960978,0.44982422499201025,37.44226913388574,18.85773086611426,28.15,47.17189311443839,0.14501949369017852,0.13216383636887297,0.13859166502952575,0.03263065696542547,3,,,,,,posterior_sample_shared,,,,,2.7139132022857666,,0.052010633051395416,0.04142526537179947,0.00936137605458498,,22.724364985676605,21.451368348707252,22.08786666719193,task_potential,0.0,0.0,0.0,0.0,0.011125333333333345,-0.06152533333333336,-0.02520000000000001,0.18440433834376035,24.030312950602852,23.80968704939715,23.92,0.5599999999999999,-1.0566381799441622,-1.9314284856719754,-1.4940333328080688,2.2204218477087587,-0.25762367199407904,-0.3681763280059211,-0.31290000000000007,0.2806084282412054,3.231162401182346,12345,1,multi,,,,,,,,,,1.0312257367105324,0.4537797745504764,0.7425027556305044,1.4656925458091843,0.03559457121910374,0.0,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed44/evaluation/final_test_posterior_sample_shared_summary.json,0.3754002237005695,0.35159977439208184,0.3634999990463257,0.060411091988362704,147.16008983872442,137.6399101612756,142.4,6.826462128475551,24.16443667872272,0.19814637264301693,12.52766243366667,12.27233756633333,12.4,0.6480740698407861,independent,44
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bayes_qmix_independent,,,,0.0,0.0,0.0,0.0,0.0,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed45/best.pt,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,5.0,5.0,5.0,0.0,0.06976744186046513,0.06976744186046513,0.06976744186046513,1.3877787807814457e-17,69.0,69.0,69.0,0.0,4.0,4.0,4.0,0.0,1.0,5.0,5.0,5.0,0.0,1.0,23.0,23.0,23.0,0.0,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed45/evaluation/final_test_posterior_mean_episodes.csv,23.0,23.0,23.0,0.0,100,200000,mean,,3.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,True,memory_union,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,181.0,181.0,181.0,2.6231884057971016,0.0,0.43478260869565216,30.0,30.0,30.0,0.0,0.15333332121372223,0.15333332121372223,0.15333332121372223,0.0,3,,,,,,posterior_mean,,,,,2.9713985919952393,,0.08812805265188217,0.035064734518527985,0.002697897609323263,,22.166000001598146,22.166000001598146,22.166000001598146,task_potential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,-1.4889999984018534,-1.4889999984018534,-1.4889999984018534,0.0,-0.34500000000000014,-0.34500000000000014,-0.34500000000000014,5.551115123125783e-17,3.552713678800501e-15,12345,1,multi,,,,,,,,,,0.4899159663865546,0.4899159663865546,0.4899159663865546,0.0,0.021300694190719765,0.0,runs/thesis_v2/fixed_scenario12345/pdet_1p00/multi/bayes_qmix_independent/seed45/evaluation/final_test_posterior_mean_summary.json,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.0,169.0,169.0,169.0,7.3478260869565215,0.0,0.17391304347826086,12.0,12.0,12.0,0.0,independent,45
