boundary_hit_ratio_difference_ci95_high,boundary_hit_ratio_difference_ci95_low,boundary_hit_ratio_difference_mean,boundary_hit_ratio_difference_std,collision_agent_ratio_difference_ci95_high,collision_agent_ratio_difference_ci95_low,collision_agent_ratio_difference_mean,collision_agent_ratio_difference_std,comparison,completed_mean_difference_ci95_high,completed_mean_difference_ci95_low,completed_mean_difference_mean,completed_mean_difference_std,completed_value_mean_difference_ci95_high,completed_value_mean_difference_ci95_low,completed_value_mean_difference_mean,completed_value_mean_difference_std,coverage_overlap_ratio_mean_difference_ci95_high,coverage_overlap_ratio_mean_difference_ci95_low,coverage_overlap_ratio_mean_difference_mean,coverage_overlap_ratio_mean_difference_std,detected_mean_difference_ci95_high,detected_mean_difference_ci95_low,detected_mean_difference_mean,detected_mean_difference_std,detected_to_completed_ratio_difference_ci95_high,detected_to_completed_ratio_difference_ci95_low,detected_to_completed_ratio_difference_mean,detected_to_completed_ratio_difference_std,detected_value_mean_difference_ci95_high,detected_value_mean_difference_ci95_low,detected_value_mean_difference_mean,detected_value_mean_difference_std,detection_probability,episode_length_mean_difference_ci95_high,episode_length_mean_difference_ci95_low,episode_length_mean_difference_mean,episode_length_mean_difference_std,first_completion_step_mean_difference_ci95_high,first_completion_step_mean_difference_ci95_low,first_completion_step_mean_difference_mean,first_completion_step_mean_difference_std,first_detection_step_mean_difference_ci95_high,first_detection_step_mean_difference_ci95_low,first_detection_step_mean_difference_mean,first_detection_step_mean_difference_std,had_completion_mean_difference_ci95_high,had_completion_mean_difference_ci95_low,had_completion_mean_difference_mean,had_completion_mean_difference_std,had_detection_mean_difference_ci95_high,had_detection_mean_difference_ci95_low,had_detection_mean_difference_mean,had_detection_mean_difference_std,knowledge_overlap_ratio_mean_difference_ci95_high,knowledge_overlap_ratio_mean_difference_ci95_low,knowledge_overlap_ratio_mean_difference_mean,knowledge_overlap_ratio_mean_difference_std,local_new_observed_cells_per_decision_difference_ci95_high,local_new_observed_cells_per_decision_difference_ci95_low,local_new_observed_cells_per_decision_difference_mean,local_new_observed_cells_per_decision_difference_std,local_sensor_revisit_ratio_difference_ci95_high,local_sensor_revisit_ratio_difference_ci95_low,local_sensor_revisit_ratio_difference_mean,local_sensor_revisit_ratio_difference_std,mean_local_coverage_ratio_mean_difference_ci95_high,mean_local_coverage_ratio_mean_difference_ci95_low,mean_local_coverage_ratio_mean_difference_mean,mean_local_coverage_ratio_mean_difference_std,n_pairs,new_observed_cells_per_step_difference_ci95_high,new_observed_cells_per_step_difference_ci95_low,new_observed_cells_per_step_difference_mean,new_observed_cells_per_step_difference_std,revisit_ratio_difference_ci95_high,revisit_ratio_difference_ci95_low,revisit_ratio_difference_mean,revisit_ratio_difference_std,reward_mean_difference_ci95_high,reward_mean_difference_ci95_low,reward_mean_difference_mean,reward_mean_difference_std,scope,sensor_coverage_ratio_mean_difference_ci95_high,sensor_coverage_ratio_mean_difference_ci95_low,sensor_coverage_ratio_mean_difference_mean,sensor_coverage_ratio_mean_difference_std,sensor_revisit_ratio_difference_ci95_high,sensor_revisit_ratio_difference_ci95_low,sensor_revisit_ratio_difference_mean,sensor_revisit_ratio_difference_std,simultaneous_sensor_overlap_ratio_mean_difference_ci95_high,simultaneous_sensor_overlap_ratio_mean_difference_ci95_low,simultaneous_sensor_overlap_ratio_mean_difference_mean,simultaneous_sensor_overlap_ratio_mean_difference_std,stay_ratio_difference_ci95_high,stay_ratio_difference_ci95_low,stay_ratio_difference_mean,stay_ratio_difference_std,team_coverage_ratio_mean_difference_ci95_high,team_coverage_ratio_mean_difference_ci95_low,team_coverage_ratio_mean_difference_mean,team_coverage_ratio_mean_difference_std,team_new_observed_cells_per_env_step_difference_ci95_high,team_new_observed_cells_per_env_step_difference_ci95_low,team_new_observed_cells_per_env_step_difference_mean,team_new_observed_cells_per_env_step_difference_std,tracking_progress_ratio_difference_ci95_high,tracking_progress_ratio_difference_ci95_low,tracking_progress_ratio_difference_mean,tracking_progress_ratio_difference_std,training_seeds
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bayes_qmix_independent_mean_minus_qmix,1.0799783525966102,-0.2799783525966102,0.4,0.5477225575051662,1.0799783525966102,-0.2799783525966102,0.4,0.5477225575051662,0.01646831396279054,-0.1787665197336613,-0.08114910288543539,0.07863082848003115,0.0,0.0,0.0,0.0,0.26999458814915256,-0.06999458814915255,0.1,0.13693063937629155,0.0,0.0,0.0,0.0,1.0,70.64174647400793,-119.04174647400794,-24.2,76.3950260160961,2.0134523242145663,-4.413452324214566,-1.2,2.588435821108957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4892862336069423,-1.10519723678393,0.19204449841150611,1.0449282071854384,0.2837131868287612,-0.27680926409619394,0.0034519613662836067,0.22575041483843472,0.10456964194782623,-0.14290297150619874,-0.01916666477918625,0.09966959406569324,5,,,,,,,,,20.051049507354012,-10.14796616981858,4.951541668767715,12.16265344159578,multi,,,,,,,,,0.01077038281806586,-0.09426322212046553,-0.04174641965119984,0.04230228396333103,0.0,0.0,0.0,0.0,0.2809022135523043,-0.32190219829351524,-0.020499992370605468,0.2427794744279597,4.280257415371797,-2.7292294961469468,0.775513959612425,2.8230708252073065,0.1621604018202474,-0.129858021620169,0.01615119010003921,0.11761041885718464,"42,43,44,45,46"
0.0,0.0,0.0,0.0,0.0881601458630563,-0.004879926553419581,0.04164010965481836,0.037471888788678534,bayes_qmix_independent_sample_minus_qmix,0.861191918575676,-1.5211919185756757,-0.3299999999999999,0.9595050807577832,1.0072301953415963,-1.9912301953415958,-0.4919999999999997,1.2076299101960006,0.06413813727405286,-0.13590110774775283,-0.035881485236849975,0.08056580512184688,0.15273600000000004,-0.32473600000000014,-0.08600000000000003,0.192301846064982,0.20903560182806363,-0.35476389314459017,-0.07286414565826328,0.2270702443153647,0.1811519999999999,-0.38515199999999983,-0.10199999999999995,0.22807893370497845,1.0,113.68421660179006,-102.83621660179004,5.424000000000001,87.20360359526435,2.185613885236163,-4.1456138852361635,-0.9800000000000001,2.5499019588995964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00539989176298305,-0.0013998917629830508,0.002,0.0027386127875258306,1.0270942498398052,-1.3165931040659244,-0.14474942711305971,0.9439200722874316,0.3149276471856379,-0.1827282027622401,0.06609972221169891,0.2004308915496921,0.10083592798804458,-0.11550925862287698,-0.0073366653174161914,0.08713302303078134,5,,,,,,,,,15.295132984887818,-20.37765729333589,-2.541262154224036,14.367216139985924,multi,,,,,,,,,0.05509858378623056,-0.08105533106756593,-0.012978373640667683,0.05483598865558489,0.0,0.0,0.0,0.0,0.2899699072250191,-0.3162098898299996,-0.01311999130249023,0.24413891080728545,2.7343548694495277,-3.2961278250525265,-0.28088647780149945,2.4287768807713785,0.11366331426821369,-0.1410311887858982,-0.01368393725884226,0.1025782100728606,"42,43,44,45,46"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bayes_qmix_shared_mean_minus_qmix,0.8386840905684461,-1.238684090568446,-0.2,0.8366600265340756,0.8386840905684461,-1.238684090568446,-0.2,0.8366600265340756,0.28159913460241587,-0.23921690066901297,0.02119111696670146,0.2097586560948925,0.0,0.0,0.0,0.0,0.20967102264211152,-0.3096710226421115,-0.05,0.2091650066335189,0.0,0.0,0.0,0.0,1.0,154.46204035269875,-110.46204035269875,22.0,106.69817243045918,0.23993505778983049,-3.8399350577898304,-1.8,1.6431676725154984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26999458814915256,-0.06999458814915255,0.1,0.13693063937629155,1.7353161749430006,-1.6747060264998352,0.030305074221582774,1.3733864278115386,0.36234720563883505,-0.38146994753956553,-0.009561370950365267,0.299572355428184,0.22424932044446502,-0.11491598111093079,0.05466666966676712,0.13659882382692368,5,,,,,,,,,16.495867111384197,-25.122767066120563,-4.313449977368183,16.761904746325055,multi,,,,,,,,,0.0168313860632437,-0.09341974325038549,-0.03829417859357089,0.04440364188425695,0.0,0.0,0.0,0.0,0.3817932902887373,-0.2387932716920881,0.07150000929832459,0.24994123532276877,4.928613347634277,-4.860725475860258,0.033943935887009946,3.942656171489841,0.18722454532205435,-0.18367773834450735,0.0017734034887735117,0.14938089324357745,"42,43,44,45,46"
0.0,0.0,0.0,0.0,0.08108369272520559,-0.0024055732560844534,0.03933905973456057,0.033625301535613335,bayes_qmix_shared_sample_minus_qmix,0.8055937823822659,-1.085593782382266,-0.13999999999999996,0.7616757840446289,0.7989943927059289,-1.0829943927059293,-0.14200000000000018,0.757970975697619,0.26842140139165344,-0.16050969015721916,0.05395585561721715,0.17275199538300878,0.04617599999999995,-0.09817599999999992,-0.025999999999999978,0.05813776741499448,0.20853464194801868,-0.2683899391056414,-0.02992764857881136,0.19208137308656204,0.04617599999999995,-0.09817599999999992,-0.025999999999999978,0.05813776741499448,1.0,138.8852095850811,-101.8252095850811,18.53,96.9461203452722,0.2505310671975616,-3.838531067197561,-1.7939999999999998,1.6468697580561737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18810440025492328,-0.049771066921589946,0.06916666666666667,0.09580434344131909,1.1254271021564535,-1.592972121274131,-0.2337725095588387,1.0948352762199975,0.35086166953124986,-0.2443283217618428,0.05326667388470354,0.23971276658120738,0.13047294876677576,-0.09240961513621392,0.01903166681528092,0.08976595170866819,5,,,,,,,,,15.475050081061514,-22.711211888974045,-3.6180809039562662,15.379516853676975,multi,,,,,,,,,0.07037920635886288,-0.07786703629458974,-0.0037439149678634267,0.05970617362789066,0.0,0.0,0.0,0.0,0.23947932892048374,-0.24663930933678163,-0.003579990208148942,0.19578427958805394,3.0684933793072813,-4.529715461899922,-0.7306110412963207,3.060178580003461,0.11196963355548123,-0.15667353672327894,-0.022351951583898848,0.10819603574105888,"42,43,44,45,46"
0.0,0.0,0.0,0.0,,,,,bdqn_mean_minus_ddqn,0.877848278462742,-0.877848278462742,0.0,0.7071067811865476,0.877848278462742,-0.877848278462742,0.0,0.7071067811865476,,,,,0.15995670519322047,-2.5599567051932204,-1.2,1.0954451150103324,0.6275999999999999,0.07240000000000002,0.35,0.22360679774997896,0.15995670519322047,-2.5599567051932204,-1.2,1.0954451150103324,1.0,0.0,0.0,0.0,0.0,39.857803602797304,-25.857803602797304,7.0,26.466960535732092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5,0.034756675099037126,-0.6187566750990372,-0.29200000000000004,0.26320249914382565,0.0,0.0,0.0,0.0,4.834952593784406,0.8321307269724723,2.833541660378439,1.6121364906365443,single,0.013033759568739284,-0.23203375336985624,-0.10949999690055848,0.09870093984285103,0.15206049750358056,0.013272835829752777,0.08266666666666667,0.05589673017667889,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.03176010988262065,-0.06376010988262065,-0.015999999999999997,0.038470768123342686,"42,43,44,45,46"
0.0,0.0,0.0,0.0,,,,,bdqn_sample_minus_ddqn,0.3290742496975584,-0.8250742496975584,-0.248,0.4648333034540447,0.26054371469398296,-0.9485437146939829,-0.344,0.48695995728601743,,,,,-0.12824560768429505,-2.347754392315705,-1.238,0.8939071540154492,0.5003561800301657,-0.05452463169157476,0.22291577416929545,0.2234782446722035,-0.153489690695781,-2.3385103093042185,-1.2459999999999998,0.8800170452894649,1.0,0.0,0.0,0.0,0.0,28.505821515395937,-19.578235308499387,4.4637931034482765,19.36585369095688,0.0,0.0,0.0,0.0,0.14918399999999993,-0.31718399999999997,-0.084,0.18782971010998234,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5,-0.08379655723927823,-0.4800701094273885,-0.28193333333333337,0.15959917153781072,0.0,0.0,0.0,0.0,3.5100280068896565,-0.9321640255232642,1.2889319906831962,1.7890928230517364,single,-0.0314236983910085,-0.18002629265637382,-0.10572499552369116,0.059849694238144326,0.14538599786969292,0.0018140021303070936,0.0736,0.05782362070219325,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.022745096794632783,-0.06333176346129946,-0.020293333333333337,0.03466745511923892,"42,43,44,45,46"
0.0,0.0,0.0,0.0,0.06546310636673976,-0.06086100652622416,0.002301049920257798,0.05087703595569614,independent_sampling_minus_shared_sampling,1.0912976762017481,-1.471297676201748,-0.18999999999999995,1.0320852677952534,1.2546864835225606,-1.95468648352256,-0.34999999999999953,1.2925749494710164,0.09622191916510764,-0.27589660087324186,-0.08983734085406711,0.14987073243738602,0.10656000000000007,-0.22656000000000018,-0.06000000000000005,0.1341640786499875,0.26909117560733037,-0.3549641697662342,-0.04293649707945193,0.2513382878201368,0.13497599999999996,-0.2869759999999999,-0.07599999999999998,0.16994116628998399,1.0,90.1641455775603,-116.3761455775603,-13.105999999999998,83.18410142569313,3.4001475838969437,-1.7721475838969438,0.8139999999999998,2.0831418578675818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04874403057526658,-0.1830773639085999,-0.06716666666666667,0.09336606568889054,1.3008599745242844,-1.1228138096327265,0.08902308244577892,0.9761346067469794,0.26944946621812,-0.24378336956412924,0.012833048326995366,0.2067045225313573,0.06263938112531836,-0.11537604539071258,-0.026368332132697108,0.07169571230790055,5,,,,,,,,,19.52637824020544,-17.37274074074098,1.0768187497322295,14.86112002003764,multi,,,,,,,,,0.05470118356158772,-0.07317010090719624,-0.009234458672804258,0.05150015930158754,0.0,0.0,0.0,0.0,0.15150901365297242,-0.17058901584165498,-0.009540001094341288,0.12972498007361657,3.399642522315639,-2.5001933953259963,0.44972456349482126,2.3761588919203076,0.09609683647246595,-0.07876080782235276,0.008668014325056591,0.07042391553110464,"42,43,44,45,46"
0.0,0.0,0.0,0.0,0.0015786666666666664,-0.003356444444444444,-0.0008888888888888889,0.0019876159799998134,qmix_minus_shared_ddqn,1.0799783525966102,-0.2799783525966102,0.4,0.5477225575051662,1.7104,-0.5103999999999999,0.6,0.8944271909999159,0.049069744686795785,-0.30623297128159643,-0.1285816132974003,0.14309816741635897,1.0799783525966102,-0.2799783525966102,0.4,0.5477225575051662,0.06293333333333335,-0.02960000000000001,0.016666666666666673,0.03726779962499651,1.0799783525966102,-0.2799783525966102,0.4,0.5477225575051662,1.0,49.34579849745168,-92.94579849745168,-21.8,57.30794011304192,2.1743564943496074,-2.9743564943496072,-0.4,2.0736441353327724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08500505778781514,-0.31833839112114853,-0.1166666666666667,0.16244657241348276,0.8341755250856308,-1.1718603006681045,-0.16884238779123692,0.807930920692593,0.19187840914266086,-0.12336201618637012,0.03425819647814536,0.12696308002371395,0.04907522717275925,-0.17774190226354905,-0.0643333375453949,0.09135059796126692,5,,,,,,,,,15.26268736954985,-5.532620721861287,4.8650333238442816,8.375310249540115,multi,,,,,,,,,0.04848041583701246,-0.02452541035622494,0.011977502740393758,0.02940309620346065,0.0,0.0,0.0,0.0,0.14868106982381757,-0.2926810874667924,-0.07200000882148742,0.17775860706011498,2.52676325905362,-2.89430803482346,-0.18377238788491984,2.1833364416393897,0.10235881504542611,-0.0772950013371111,0.012531906854157499,0.07235557381999616,"42,43,44,45,46"
0.0,0.0,0.0,0.0,0.18273096664492333,-0.019534961651165528,0.0815980024968789,0.08146260180154051,shared_bdqn_mean_minus_shared_ddqn,0.7103999999999996,-1.5103999999999997,-0.4,0.8944271909999157,1.4207999999999992,-3.0207999999999995,-0.8,1.7888543819998315,0.33905880331666977,-0.3327405644182781,0.003159119449195813,0.27056719263269496,0.2799783525966102,-1.0799783525966102,-0.4,0.5477225575051662,0.26376058167293387,-0.26376058167293387,0.0,0.21245914639969937,0.5103999999999999,-1.7104,-0.6,0.8944271909999159,1.0,108.79007686428534,-31.99007686428535,38.4,56.69920634365176,-0.5792000000000002,-5.0207999999999995,-2.8,1.7888543819998317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2204104503439218,-0.3537437836772551,-0.06666666666666668,0.23124061542519347,0.38157265453986255,-1.9374133970899359,-0.7779203712750367,0.9339716228959053,0.39971122014135996,-0.08709807353114443,0.15630657330510775,0.19606244105374246,0.18872063382569212,-0.15905397756997006,0.014833328127861024,0.1400662233302006,5,,,,,,,,,7.998473007114768,-24.983323003949756,-8.492424998417494,13.283418209793172,multi,,,,,,,,,0.17264860966234613,-0.09294115316816032,0.0398537282470929,0.10696627590364904,0.0,0.0,0.0,0.0,0.25471114401544065,-0.19671115164483519,0.028999996185302735,0.1818103277477279,1.1970789599578873,-5.212630824475067,-2.00777593225859,2.581510589704181,0.03631471755483612,-0.14923574018958616,-0.05646051131737502,0.07473044610459845,"42,43,44,45,46"
0.0,0.0,0.0,0.0,0.13839539400734635,0.022998525745744965,0.08069695987654565,0.04647608822469897,shared_bdqn_sample_minus_shared_ddqn,-0.42761148721905173,-2.6843885127809486,-1.556,0.9089169378991682,-0.5882102632567057,-3.963789736743295,-2.2760000000000002,1.3595146192667442,0.15108604208117318,-0.2700107157036383,-0.059462336811232586,0.16959671749128288,0.087529058843266,-1.095529058843266,-0.504,0.4764766521037522,-0.1476945440576913,-0.55711619544184,-0.35240536974976566,0.16489456843573083,-0.25308794506661736,-1.5789120549333826,-0.916,0.5339756548757632,1.0,135.33090483960152,-35.12290483960152,50.104,68.65027115751255,-0.5077501432034874,-4.647805412352069,-2.577777777777778,1.6674072428714728,0.0,0.0,0.0,0.0,0.0027997835259661033,-0.010799783525966111,-0.0040000000000000036,0.005477225575051666,0.0,0.0,0.0,0.0,0.11526405848639487,-0.2932640584863949,-0.08900000000000002,0.16453469745517715,0.29426472900538525,-2.0798613715399386,-0.8927983212672765,0.956179277373171,0.4018165972451305,-0.03887597207030177,0.18147031258741436,0.17748893050582576,0.1447713531154196,-0.14821469413218902,-0.0017216705083847096,0.11800012934160989,5,,,,,,,,,1.9769853043804044,-31.865673137349468,-14.944343916484533,13.630130550254885,multi,,,,,,,,,0.08475431475130088,-0.052913143538016495,0.01592058560664219,0.05544556826810709,0.0,0.0,0.0,0.0,0.2725609577382988,-0.19992095620288314,0.036320000767707826,0.19029208892501595,1.1732762715532128,-5.511723303232198,-2.169223515839493,2.692383551652985,0.035604514216522554,-0.170299753893273,-0.06734761983837523,0.08292794314676605,"42,43,44,45,46"
