boundary_hit_ratio_difference,collision_agent_ratio_difference,comparison,completed_mean_difference,completed_value_mean_difference,coverage_overlap_ratio_mean_difference,detected_mean_difference,detected_to_completed_ratio_difference,detected_value_mean_difference,detection_probability,episode_length_mean_difference,first_completion_step_mean_difference,first_detection_step_mean_difference,had_completion_mean_difference,had_detection_mean_difference,knowledge_overlap_ratio_mean_difference,left_algo,left_policy_mode,local_new_observed_cells_per_decision_difference,local_sensor_revisit_ratio_difference,mean_local_coverage_ratio_mean_difference,new_observed_cells_per_step_difference,revisit_ratio_difference,reward_mean_difference,right_algo,right_policy_mode,scope,sensor_coverage_ratio_mean_difference,sensor_revisit_ratio_difference,simultaneous_sensor_overlap_ratio_mean_difference,stay_ratio_difference,team_coverage_ratio_mean_difference,team_new_observed_cells_per_env_step_difference,tracking_progress_ratio_difference,training_seed
0.0,0.0,shared_bdqn_mean_minus_shared_ddqn,0.0,0.0,0.00023869196801529213,0.0,0.0,0.0,1.0,4.0,-4.0,0.0,0.0,0.0,0.0,shared_bdqn,posterior_mean,-0.09916094584286794,-0.06178489702517159,0.021666646003723145,,,-0.3164999995380775,shared_ddqn,deterministic,multi,,,-0.007687697504631134,0.0,0.06000000238418579,-0.2745995423340961,-0.03661327231121281,45
0.0,0.0,shared_bdqn_mean_minus_shared_ddqn,0.0,0.0,0.1232142857142857,0.0,0.0,0.0,1.0,-3.0,-1.0,0.0,0.0,0.0,0.0,shared_bdqn,posterior_mean,0.5873015873015872,-0.12896825396825395,0.019166670739650726,,,0.13249999985098881,shared_ddqn,deterministic,multi,,,0.03856466277443298,0.0,0.02000001072883606,1.0297619047619042,0.023809523809523808,46
0.0,0.05962983579181742,shared_bdqn_sample_minus_shared_ddqn,-1.2000000000000002,-1.44,0.28480908926485005,-0.029999999999999805,-0.2947103274559194,-0.04999999999999982,1.0,122.72,-1.96,0.0,0.0,0.0,0.028333333333333332,shared_bdqn,posterior_sample_shared,-1.2150831201763572,0.2452785177527732,0.19650000870227813,,,-23.045032079554105,shared_ddqn,deterministic,multi,,,0.044140667734318136,0.0,0.37157498896121977,-4.251775939989132,-0.200930822277886,42
0.0,0.07921274715900435,shared_bdqn_sample_minus_shared_ddqn,-0.8999999999999999,-1.19,0.284085042969255,-0.2200000000000002,-0.17989417989417988,-0.2999999999999998,1.0,81.41,0.0,0.0,0.0,0.0,0.03583333333333333,shared_bdqn,posterior_sample_shared,-0.8031715565304816,0.21915272826981086,0.163133339881897,,,-16.45447250550613,shared_ddqn,deterministic,multi,,,0.04960450687373198,0.0,0.2437249886989593,-3.227972763001554,-0.11452335252719129,43
0.0,0.11274675310059198,shared_bdqn_sample_minus_shared_ddqn,-1.5,-1.62,0.3128942660226851,-0.10000000000000009,-0.3589743589743589,-0.09999999999999964,1.0,119.09,0.0,0.0,0.0,0.0,0.0575,shared_bdqn,posterior_sample_shared,-0.99490834635353,0.23020949515788391,0.18946666523814204,,,-23.430977084190147,shared_ddqn,deterministic,multi,,,0.07334930380499961,0.0,0.3191250076889992,-3.6580318119689563,-0.11940626351015188,44
0.0,0.025143141647996015,shared_bdqn_sample_minus_shared_ddqn,-0.029999999999999805,-0.05999999999999961,0.0429639404898637,0.0,-0.007499999999999951,0.0,1.0,7.780000000000001,-4.0,0.0,0.0,0.0,0.0,shared_bdqn,posterior_sample_shared,-0.49014058671697924,0.049080879944446654,0.020416660010814658,,,-1.2067862499520317,shared_ddqn,deterministic,multi,,,0.015576535257496422,0.0,0.038674992322921764,-1.6241303407884908,-0.062281356864903104,45
0.0,0.11906339739341727,shared_bdqn_sample_minus_shared_ddqn,-0.43999999999999995,-0.45999999999999996,0.21755845376362043,0.0,-0.10999999999999999,0.0,1.0,51.45,-1.0,0.0,0.0,0.0,0.0275,shared_bdqn,posterior_sample_shared,-0.42677269715043087,0.05382703777335984,0.11958333484828473,,,-9.633685418721544,shared_ddqn,deterministic,multi,,,0.08463879624008093,0.0,0.2043249994516373,-2.013767395626243,-0.11926220455047493,46
0.0,0.0,qmix_minus_shared_ddqn,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.0,-1.0,0.0,0.0,0.0,0.0,qmix_ddqn,deterministic,0.5051353874883286,-0.09243697478991597,0.0008333325386047363,,,0.32883333077031907,shared_ddqn,deterministic,multi,,,0.0,0.0,0.002499997615814209,1.515406162464986,0.01307189542483661,42
0.0,0.0,qmix_minus_shared_ddqn,0.0,0.0,-0.0189873417721519,0.0,0.0,0.0,1.0,-12.0,2.0,0.0,0.0,0.0,0.0,qmix_ddqn,deterministic,1.4732142857142856,-0.1964285714285714,0.002500012516975403,,,0.8112499989569173,shared_ddqn,deterministic,multi,,,-0.008928571428571428,0.0,0.014999985694885254,4.526785714285714,0.10714285714285715,43
0.0,0.0,qmix_minus_shared_ddqn,0.0,0.0,0.015936254980079678,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,qmix_ddqn,deterministic,-0.12356321839080464,-0.024185823754789282,0.07416665554046631,,,-2.845499996840953,shared_ddqn,deterministic,multi,,,0.001736111111111109,0.0,0.21250000596046448,-0.45402298850574674,-0.05459770114942529,44
