metric,n_training_seeds,mean,std,ci95_low,ci95_high
reward_mean,6,24.278415833333323,10.655058575450573,13.094798641959649,35.462033024707
detected_mean,6,3.4611666666666667,0.2348611646625868,3.214654895745175,3.7076784375881586
completed_mean,6,2.3930000000000002,1.319280864713803,1.0082744206533196,3.777725579346681
detected_value_mean,6,4.3228333333333335,0.29034973164559097,4.018080409888701,4.627586256777966
completed_value_mean,6,3.0455000000000005,1.6525582289287117,1.3109643812681593,4.780035618731842
team_coverage_ratio_mean,6,0.8238133338193099,0.0609261593707847,0.7598648497712372,0.8877618178673825
mean_local_coverage_ratio_mean,6,0.49858777703717355,0.0755634069071958,0.419275944958358,0.577899609115989
coverage_overlap_ratio_mean,6,0.5961415922509447,0.07881160334850097,0.513420432545753,0.6788627519561363
knowledge_overlap_ratio_mean,6,0.21048611111111112,0.055531082804204414,0.15220033371185987,0.2687718885103624
collision_agent_ratio,6,0.05377270319129807,0.012802063116188391,0.040335576390218904,0.06720982999237723
first_detection_step_mean,6,9.546118182644902,1.1532521024135503,8.335657447285255,10.756578918004548
first_completion_step_mean,6,25.472248770198643,5.741480650576582,19.44595419349217,31.498543346905116
had_detection_mean,6,0.9991666666666666,0.0009831920802501758,0.9981347020112642,1.0001986313220692
had_completion_mean,6,0.8151666666666667,0.39248715477919355,0.4032096548398864,1.227123678493447
detected_to_completed_ratio,6,0.69568551486211,0.3698876999259937,0.3074490344638706,1.0839219952603494
stay_ratio,6,0.0,0.0,0.0,0.0
tracking_progress_ratio,6,0.02008939577005947,0.011940665762978862,0.007556397104901929,0.032622394435217014
