algo,completed_mean,completed_value_mean,detected_mean,detected_to_completed_ratio,detected_value_mean,first_completion_step_mean,first_detection_step_mean,had_completion_mean,had_detection_mean,reward_mean,run_dir,seed,sensor_coverage_ratio_mean,stay_ratio,tracking_progress_ratio
bdqn,2.429,3.069,2.54,0.9562992125984252,3.188,37.34782608695652,30.543679342240495,0.966,0.973,22.770094000000004,run2/refund/test/ego_legacy/p0_7/bdqn/seed42,42,0.6674924991875887,0.0,0.051726669510071946
bdqn,2.526,3.178,2.638,0.9575435936315391,3.301,33.663254861821905,27.928789420142422,0.977,0.983,23.786071000000007,run2/refund/test/ego_legacy/p0_7/bdqn/seed43,43,0.6794974989965558,0.0,0.05451375600629332
bdqn,2.28,2.876,2.363,0.9648751586965721,2.966,38.14421052631579,32.356548856548855,0.95,0.962,20.85713100000001,run2/refund/test/ego_legacy/p0_7/bdqn/seed44,44,0.622527500525117,0.0,0.048511461537390915
bdqn,2.427,3.059,2.587,0.9381522999613452,3.232,35.9440414507772,26.603658536585368,0.965,0.984,22.49299000000001,run2/refund/test/ego_legacy/p0_7/bdqn/seed45,45,0.6579899998307228,0.0,0.05201232347733958
