metric,n_training_seeds,mean,std,ci95_low,ci95_high
reward_mean,4,22.476571500000006,1.2143312972838163,20.544570406021453,24.40857259397856
detected_mean,4,2.532,0.11956309352527365,2.34177511820129,2.7222248817987102
completed_mean,4,2.4154999999999998,0.10146427942877238,2.254070331428823,2.5769296685711764
detected_value_mean,4,3.1717500000000003,0.14483640196212183,2.9413152844782644,3.402184715521736
completed_value_mean,4,3.0454999999999997,0.12519451532182502,2.846315526122976,3.2446844738770233
sensor_coverage_ratio_mean,4,0.656876874634996,0.024532309855849217,0.6178459696543399,0.6959077796156521
first_detection_step_mean,4,29.358169038879286,2.5836776380508217,25.247537916740427,33.468800161018144
first_completion_step_mean,4,36.27483323146785,1.964319213824287,33.14960136227341,39.400065100662296
had_detection_mean,4,0.9755,0.010279429296739525,0.9591454279888875,0.9918545720111126
had_completion_mean,4,0.9644999999999999,0.011090536506409426,0.9468549564183025,0.9821450435816973
detected_to_completed_ratio,4,0.9542175662219704,0.01135888444266249,0.9361455810736944,0.9722895513702464
stay_ratio,4,0.0,0.0,0.0,0.0
tracking_progress_ratio,4,0.05169105263277394,0.0024618378897504653,0.04777426855018095,0.055607836715366926
