boundary_hit_ratio_difference,collision_agent_ratio_difference,comparison,completed_mean_difference,completed_value_mean_difference,coverage_overlap_ratio_mean_difference,detected_mean_difference,detected_to_completed_ratio_difference,detected_value_mean_difference,detection_probability,episode_length_mean_difference,first_completion_step_mean_difference,first_detection_step_mean_difference,had_completion_mean_difference,had_detection_mean_difference,knowledge_overlap_ratio_mean_difference,left_algo,left_policy_mode,local_new_observed_cells_per_decision_difference,local_sensor_revisit_ratio_difference,mean_local_coverage_ratio_mean_difference,new_observed_cells_per_step_difference,revisit_ratio_difference,reward_mean_difference,right_algo,right_policy_mode,scope,sensor_coverage_ratio_mean_difference,sensor_revisit_ratio_difference,simultaneous_sensor_overlap_ratio_mean_difference,stay_ratio_difference,team_coverage_ratio_mean_difference,team_new_observed_cells_per_env_step_difference,tracking_progress_ratio_difference,training_seed
0.0,,bdqn_mean_minus_ddqn,0.043999999999999984,0.05299999999999999,,-0.1379999999999999,0.050026345061764524,-0.16500000000000004,1.0,0.0,-10.524175983737479,10.303975132774582,0.044999999999999984,-0.038999999999999924,,bdqn,posterior_mean,,,,-0.07797333333333334,0.006513333333333371,0.9924379174992208,ddqn,deterministic,single,-0.02924000046215952,0.014579999999999926,,0.0,,,0.0006466666666666669,43
0.0,,bdqn_mean_minus_ddqn,-0.006999999999999992,-0.011999999999999997,,-0.31699999999999995,0.01870402102007114,-0.393,1.0,0.0,-7.480363010483494,33.65306730196545,-0.006000000000000005,-0.15200000000000002,,bdqn,posterior_mean,,,,-0.14794666666666667,0.0007200000000000539,1.5207000827530974,ddqn,deterministic,single,-0.05548000003211204,0.05075333333333332,,0.0,,,-0.0005666666666666667,44
0.0,,bdqn_mean_minus_ddqn,0.018000000000000002,0.03900000000000001,,0.15600000000000003,0.00290075399638047,0.2280000000000001,1.0,0.0,-12.871594159265392,5.0245473022912055,0.018000000000000002,0.08699999999999997,,bdqn,posterior_mean,,,,0.09126666666666661,-0.0006866666666667243,-0.1740794985574592,ddqn,deterministic,single,0.03422499964386225,-0.0394066666666667,,0.0,,,0.0004066666666666665,45
0.0,,bdqn_mean_minus_ddqn,0.017,0.025999999999999995,,0.29600000000000004,0.0015411467617349947,0.3640000000000001,1.0,0.0,-11.566666666666666,11.02134646526321,0.017,0.1529999999999999,,bdqn,posterior_mean,,,,0.14973999999999998,-0.00046000000000001595,-0.4148206657848754,ddqn,deterministic,single,0.05615249971672895,-0.048793333333333244,,0.0,,,0.00036666666666666683,46
0.0,,bdqn_sample_minus_ddqn,-0.013000000000000012,-0.019000000000000003,,-0.267,0.008769021649040212,-0.32899999999999996,1.0,0.0,-12.17513923450646,2.8037721615886895,-0.010000000000000009,-0.1509999999999999,,bdqn,posterior_sample,,,,-0.1410933333333333,0.0022533333333333294,0.7366981250644105,ddqn,deterministic,single,-0.05291000009700658,0.03155333333333332,,0.0,,,-0.00041333333333333326,43
0.0,,bdqn_sample_minus_ddqn,-0.017999999999999988,-0.012999999999999998,,-0.31699999999999995,0.0060457931719698765,-0.41200000000000014,1.0,0.0,-0.09054969879517927,14.093435379222914,-0.019000000000000003,-0.15300000000000002,,bdqn,posterior_sample,,,,-0.2060333333333333,0.0008200000000000429,1.2173647088375992,ddqn,deterministic,single,-0.07726250007189814,0.06506666666666672,,0.0,,,-0.0006866666666666668,44
0.0,,bdqn_sample_minus_ddqn,-0.038,-0.03699999999999999,,0.14600000000000002,-0.057592128806589704,0.19600000000000006,1.0,0.0,-6.577563865235099,17.11753712622918,-0.036,0.07599999999999996,,bdqn,posterior_sample,,,,0.05908666666666662,-0.00015333333333333865,-0.1956929980547355,ddqn,deterministic,single,0.022157499732449654,-0.025966666666666693,,0.0,,,-0.0006933333333333333,45
0.0,,bdqn_sample_minus_ddqn,-0.011000000000000003,-0.003999999999999997,,0.007000000000000006,-0.01422074310059291,0.038000000000000034,1.0,0.0,-8.166666666666664,3.856554739924622,-0.010000000000000002,0.020000000000000018,,bdqn,posterior_sample,,,,0.007926666666666637,0.000160000000000049,0.009537209043431805,ddqn,deterministic,single,0.002972499905154108,-0.015713333333333246,,0.0,,,-0.00021333333333333328,46
0.0,0.06621555555555556,qmix_minus_shared_ddqn,0.19699999999999998,0.24900000000000003,0.21334819004574507,1.384,-0.001793484848283039,1.7449999999999999,1.0,0.0,13.553121470576777,-21.609501903553298,0.155,0.281,-0.23224999999999998,qmix_ddqn,deterministic,0.46882444444444443,-0.13787777777777777,0.1758091669715941,,,-3.4524011667483583,shared_ddqn,deterministic,multi,,,0.033184520264469296,0.0,0.32839250025898226,0.8757133333333332,0.0016177777777777779,43
0.0,0.04578888888888889,qmix_minus_shared_ddqn,0.04300000000000004,0.04300000000000004,0.13243711294591262,0.681,-0.033055926967587274,0.8610000000000002,1.0,0.0,5.855818022747158,-4.279177266823389,0.028999999999999998,0.1489999999999999,-0.11158333333333334,qmix_ddqn,deterministic,0.25198444444444446,-0.08063555555555557,0.09449416795372964,,,-1.8419797091682044,shared_ddqn,deterministic,multi,,,0.028288831942507364,0.0,0.16949500044435267,0.45198666666666665,0.00029777777777777767,44
0.0,-0.002093333333333322,qmix_minus_shared_ddqn,0.09500000000000003,0.10699999999999998,0.026740970765726013,0.28900000000000015,0.02290146930306669,0.3660000000000001,1.0,0.0,4.035673826092982,2.8927128738509325,0.07500000000000001,0.04600000000000004,-0.0355,qmix_ddqn,deterministic,0.07604888888888894,-0.01720222222222223,0.02851833321899172,,,0.3417734188050652,shared_ddqn,deterministic,multi,,,-0.0033554573773402346,0.0,0.04749750092625615,0.12666,0.00066,45
0.0,0.06051111111111111,qmix_minus_shared_ddqn,0.06,0.09600000000000003,0.15261853853119725,0.9019999999999999,-0.04245205985240447,1.141,1.0,0.0,5.9884845554010795,-20.175617739107096,0.05099999999999996,0.16999999999999993,-0.14200000000000002,qmix_ddqn,deterministic,0.3207466666666666,-0.10174222222222229,0.12028000029549002,,,-3.1441397913386977,shared_ddqn,deterministic,multi,,,0.025480594467758744,0.0,0.22292749964818354,0.5944733333333334,0.0005355555555555556,46
0.0,-0.05295999999999999,bayes_qmix_shared_mean_minus_qmix,-0.123,-0.15100000000000002,-0.0651043999707211,-0.5099999999999998,-0.024233486244136043,-0.649,1.0,0.0,-5.6799633662358815,-5.78938922547896,-0.1,-0.05499999999999994,0.041916666666666685,bayes_qmix_shared,posterior_mean,-0.18946666666666667,0.06154000000000004,-0.07104999977350235,,,0.2616308346881073,qmix_ddqn,deterministic,multi,,,-0.014789466619751598,0.0,-0.12445250010490427,-0.33187333333333324,-8.000000000000021e-05,43
0.0,-0.06998666666666667,bayes_qmix_shared_mean_minus_qmix,0.03999999999999998,0.056999999999999995,0.0038350301632008588,-0.0030000000000001137,0.019118974536065786,-0.001000000000000334,1.0,0.0,9.89487642169729,1.0337003457135552,0.033999999999999975,0.007000000000000006,-0.00399999999999999,bayes_qmix_shared,posterior_mean,-0.006700000000000039,0.02162888888888892,-0.002512501183897259,,,0.9194762509579597,qmix_ddqn,deterministic,multi,,,-0.027428806575970494,0.0,-0.005902499914169357,-0.015739999999999865,0.00044888888888888886,44
0.0,-0.0381688888888889,bayes_qmix_shared_mean_minus_qmix,-0.066,-0.08099999999999996,-0.06960662896734762,-0.661,0.019483678370918495,-0.8460000000000001,1.0,0.0,-0.6956159110350697,-4.812416334272658,-0.05399999999999999,-0.09199999999999997,0.08416666666666667,bayes_qmix_shared,posterior_mean,-0.21266444444444443,0.07661111111111119,-0.07974916686117647,,,0.9251769984620797,qmix_ddqn,deterministic,multi,,,-0.0029120667303176306,0.0,-0.14468000070750708,-0.38581333333333334,7.999999999999978e-05,45
0.0,-0.0788911111111111,bayes_qmix_shared_mean_minus_qmix,-0.0050000000000000044,-0.014000000000000012,-0.07136448032901838,-0.3709999999999998,0.022735469797903085,-0.4710000000000001,1.0,0.0,-14.805130784708247,-5.927003064761173,-0.003999999999999948,-0.04799999999999993,0.028499999999999998,bayes_qmix_shared,posterior_mean,-0.15541111111111106,0.06391555555555561,-0.0582791671901941,,,0.9014037074992194,qmix_ddqn,deterministic,multi,,,-0.030972210738602617,0.0,-0.10064249913394446,-0.26838000000000006,0.00018000000000000004,46
0.0,-0.02348222222222221,bayes_qmix_shared_sample_minus_qmix,-0.133,-0.17000000000000004,-0.05890584626990297,-0.5089999999999999,-0.029172299765975962,-0.6520000000000001,1.0,0.0,-0.44680507666348745,-4.881862343758531,-0.10200000000000001,-0.05499999999999994,0.037500000000000006,bayes_qmix_shared,posterior_sample_shared,-0.18995555555555554,0.060966666666666725,-0.0712333330065012,,,0.0013735028469543664,qmix_ddqn,deterministic,multi,,,0.007052410136227247,0.0,-0.1295750007480383,-0.34553333333333325,-0.0002311111111111112,43
0.0,-0.060117777777777784,bayes_qmix_shared_sample_minus_qmix,0.02799999999999997,0.043999999999999984,-0.007668815847506061,-0.05600000000000005,0.017202268431001894,-0.05900000000000016,1.0,0.0,1.8191002779064362,-0.8932147568617381,0.018000000000000016,-0.0129999999999999,0.0005000000000000004,bayes_qmix_shared,posterior_sample_shared,-0.02422666666666662,0.02306000000000008,-0.009085000600665805,,,0.7482906675834844,qmix_ddqn,deterministic,multi,,,-0.023235197496699264,0.0,-0.01571250016242265,-0.04190000000000005,0.0003355555555555555,44
0.0,-0.009891111111111114,bayes_qmix_shared_sample_minus_qmix,-0.07,-0.08499999999999996,-0.07116394049233618,-0.7060000000000002,0.021609232999257322,-0.8809999999999998,1.0,0.0,-6.855530815625066,-8.089054454673114,-0.056999999999999995,-0.10199999999999998,0.08691666666666667,bayes_qmix_shared,posterior_sample_shared,-0.22261111111111115,0.07756000000000007,-0.08347916683554646,,,0.45189804112693643,qmix_ddqn,deterministic,multi,,,0.01307131803822345,0.0,-0.15627500100433822,-0.4167333333333334,7.111111111111077e-05,45
0.0,-0.0397,bayes_qmix_shared_sample_minus_qmix,-0.02400000000000002,-0.031000000000000028,-0.046397748463536725,-0.34399999999999986,0.01111433447098975,-0.44300000000000006,1.0,0.0,-9.900387055155363,-5.051070764130078,-0.021999999999999964,-0.03699999999999992,0.025583333333333333,bayes_qmix_shared,posterior_sample_shared,-0.12988444444444436,0.05423111111111112,-0.048706666514277436,,,0.5382892093305065,qmix_ddqn,deterministic,multi,,,-0.00032470632779105224,0.0,-0.09277500047534704,-0.24740000000000006,-2.0000000000000052e-05,46
0.0,-0.05105777777777778,bayes_qmix_independent_mean_minus_qmix,-0.11199999999999999,-0.134,-0.05554209136875754,-0.2999999999999998,-0.023042431506129224,-0.3969999999999998,0.5,0.0,-4.168540729635183,-16.455748393684992,-0.066,-0.029999999999999916,0.02591666666666667,bayes_qmix_independent,posterior_mean,-0.13209333333333328,0.059051111111111054,-0.04953499923646448,,,-0.9723661654725548,qmix_ddqn,deterministic,multi,,,-0.02353866122071409,0.0,-0.07960500146448612,-0.21228000000000002,-0.00035555555555555557,43
0.0,-0.049068888888888884,bayes_qmix_independent_mean_minus_qmix,-0.129,-0.16400000000000003,0.013009153803041906,-0.10299999999999976,-0.053716609805188636,-0.121,0.5,0.0,-3.2223627167630085,-1.8777571580063643,-0.08999999999999997,-0.02299999999999991,0.03949999999999999,bayes_qmix_independent,posterior_mean,-0.021733333333333382,0.03391999999999995,-0.008149999424815202,,,-0.09104537590589246,qmix_ddqn,deterministic,multi,,,-0.01291937016978785,0.0,-0.03007499861717222,-0.08020000000000005,-0.0007444444444444443,44
