metric,n_training_seeds,mean,std,ci95_low,ci95_high
reward_mean,6,21.56519666666665,2.5621792953262017,18.875916996199887,24.254476337133415
detected_mean,6,2.9820000000000007,0.10038326553763828,2.876637086577867,3.087362913422134
completed_mean,6,2.273,0.2777632085068143,1.9814579712264457,2.5645420287735545
detected_value_mean,6,3.729333333333333,0.12423311421141578,3.5989374671825995,3.8597291994840663
completed_value_mean,6,2.9659999999999997,0.3130789037926381,2.637390393030879,3.2946096069691206
team_coverage_ratio_mean,6,0.7521420833816131,0.016059920571887196,0.7352854886920567,0.7689986780711696
mean_local_coverage_ratio_mean,6,0.41573611050968373,0.014521412056895723,0.4004943441343494,0.43097787688501804
coverage_overlap_ratio_mean,6,0.5143518735938695,0.015335165002032145,0.4982559869560969,0.530447760231642
knowledge_overlap_ratio_mean,6,0.142875,0.01239744037201945,0.12986256780249011,0.1558874321975099
collision_agent_ratio,6,0.06924584620808094,0.006836909432999823,0.06206978262013128,0.0764219097960306
first_detection_step_mean,6,18.19185997044678,2.463215983652853,15.606452820802694,20.77726712009087
first_completion_step_mean,6,46.27862497063737,8.280108442702902,37.58777053088741,54.96947941038732
had_detection_mean,6,0.9946666666666667,0.002065591117977291,0.9924986091028553,0.9968347242304781
had_completion_mean,6,0.9566666666666667,0.017625738755203034,0.9381665792614677,0.9751667540718656
detected_to_completed_ratio,6,0.7607575593770809,0.07129497217270438,0.6859259035205623,0.8355892152335995
stay_ratio,6,0.0,0.0,0.0,0.0
tracking_progress_ratio,6,0.018343251621395443,0.002463780097100375,0.01575725237469202,0.020929250868098867
