action_counts,algo,boundary_hit_ratio,collision_agent_ratio,completed_mean,completed_value_mean,coverage_overlap_ratio_mean,detected_mean,detected_to_completed_ratio,detected_value_mean,episode_length_mean,episodes,eval_seed_base,first_completion_step_mean,first_detection_step_mean,knowledge_overlap_ratio_mean,local_new_observed_cells_per_decision,local_sensor_revisit_ratio,mean_local_coverage_ratio_mean,n_agents,reward_mean,reward_part_all_targets_mean_per_env_step,reward_part_all_targets_mean_per_episode,reward_part_boundary_mean_per_env_step,reward_part_boundary_mean_per_episode,reward_part_collision_mean_per_env_step,reward_part_collision_mean_per_episode,reward_part_complete_mean_per_env_step,reward_part_complete_mean_per_episode,reward_part_detect_mean_per_env_step,reward_part_detect_mean_per_episode,reward_part_idle_stay_mean_per_env_step,reward_part_idle_stay_mean_per_episode,reward_part_new_cell_mean_per_env_step,reward_part_new_cell_mean_per_episode,reward_part_new_observed_mean_per_env_step,reward_part_new_observed_mean_per_episode,reward_part_revisit_mean_per_env_step,reward_part_revisit_mean_per_episode,reward_part_step_mean_per_env_step,reward_part_step_mean_per_episode,reward_part_track_progress_mean_per_env_step,reward_part_track_progress_mean_per_episode,reward_std,reward_version,seed,source_file,stay_ratio,team_coverage_ratio_mean,team_new_observed_cells_per_env_step,tracking_progress_ratio
"{'down': 27803, 'left': 27385, 'stay': 29051, 'right': 24833, 'up': 25646}",qmix_ddqn,0.0,0.10349767662821598,1.12,1.3933333333333333,0.3888530492885768,2.54,0.44094488188976383,3.1966666666666668,149.68666666666667,300,100000,49.29032258064516,19.72758620689655,0.11388888888888889,0.834083047551181,0.7469528941937974,0.3146277775367101,3,8.38483333333333,0.00033403108715984503,0.05,0.0,0.0,-0.006209860597692961,-0.9295333333333338,0.04453747828797933,6.666666666666667,0.014129514986861444,2.115,-0.019352425065692774,-2.896799999999999,3.674341958758295e-05,0.0055,0.025401728054157566,3.8022999999999985,0.0,0.0,-0.014999999999999979,-2.2452999999999967,0.01213868970738877,1.8170000000000004,8.732229325066735,multi_local_v1_from_single_D,42,logs/multi_local/qmix_screen/qmix_ddqn_seed42_train400_eval.json,0.21564304695734793,0.6490083338816961,1.7142698080434686,0.009063376831603794
"{'down': 16811, 'up': 14098, 'stay': 28706, 'right': 36937, 'left': 37932}",qmix_ddqn,0.0,0.09848011659379555,1.28,1.5966666666666667,0.40198978320176004,2.7733333333333334,0.4615384615384615,3.48,149.42666666666668,300,100000,59.16593886462882,23.240677966101696,0.09027777777777776,0.8680066030159722,0.7350985990898545,0.32675833264986676,3,10.073673333333327,0.000446149727848666,0.06666666666666667,0.0,0.0,-0.005908806995627735,-0.8829333333333337,0.05121798875702686,7.653333333333333,0.015392165610778977,2.3,-0.019154546265726765,-2.862199999999998,3.216739537788882e-05,0.0048066666666666666,0.02623628089586864,3.920399999999998,0.0,0.0,-0.014999999999999977,-2.2413999999999965,0.014154100115998929,2.115,9.279863000063923,multi_local_v1_from_single_D,43,logs/multi_local/qmix_screen/qmix_ddqn_seed43_train400_eval.json,0.21345290146039678,0.6680333326260249,1.7681806014098331,0.01052169774843104
"{'right': 27312, 'left': 24014, 'up': 27190, 'down': 31197, 'stay': 24603}",qmix_ddqn,0.0,0.08156139253700229,1.47,1.8,0.40571012008681634,2.9066666666666667,0.5057339449541284,3.6066666666666665,149.24,300,100000,53.944664031620555,21.74074074074074,0.08027777777777777,0.9150361833288663,0.7209416599660502,0.3439000003536542,3,12.067309999999988,0.0006700616456714018,0.1,0.0,0.0,-0.00489368355222014,-0.7303333333333336,0.05708925221120343,8.52,0.015907263468239077,2.374,-0.016427231305280076,-2.4515999999999987,3.948896631823461e-05,0.005893333333333333,0.027787121415170188,4.146949999999999,0.0,0.0,-0.014999999999999975,-2.2385999999999964,0.015686143125167515,2.3409999999999997,9.041162801721534,multi_local_v1_from_single_D,44,logs/multi_local/qmix_screen/qmix_ddqn_seed44_train400_eval.json,0.1831725185383722,0.7048083337148031,1.8689582774948628,0.0119345424223473
