algo,detection_probability,global_state_mode,last_episode,loss_final,metric_rows,posterior_rebuilds_final,posterior_std_mean_final,reward_mode,run_dir,sampled_minus_mean_completed,sampled_minus_mean_coverage,seed,status,validation_collision_final,validation_completed_best,validation_completed_final,validation_overlap_final,validation_reward_best,validation_reward_final,warnings
ddqn,0.7,,400.0,0.0072919512167572975,8,nan,nan,task_potential,runs/thesis_v2/screen/pdet_0p70/single/ddqn/seed42,nan,nan,42,complete,nan,0.14,0.14,nan,-2.461898747267108,-4.7805066625703745,
ddqn,0.7,,400.0,0.039020754396915436,8,nan,nan,task_potential,runs/thesis_v2/screen/pdet_0p70/single/ddqn/seed43,nan,nan,43,complete,nan,0.13,0.11,nan,-3.1020733362640573,-4.925682911916698,
ddqn,0.7,,400.0,0.057345930486917496,8,nan,nan,task_potential,runs/thesis_v2/screen/pdet_0p70/single/ddqn/seed44,nan,nan,44,complete,nan,0.11,0.07,nan,-3.981443745752424,-3.981443745752424,
bayes_qmix_independent,1.0,memory_union,400.0,0.026169605553150177,8,nan,0.038681987673044205,task_potential,runs/thesis_v2/screen/pdet_1p00/multi/bayes_qmix_independent/seed42,-0.016666666666666663,-0.09474999984105437,42,complete,0.07171111111111111,0.39,0.2,0.38759643935948773,-8.243263737246405,-9.972234576835243,
bayes_qmix_independent,1.0,memory_union,400.0,0.018826471641659737,8,nan,0.03989071026444435,task_potential,runs/thesis_v2/screen/pdet_1p00/multi/bayes_qmix_independent/seed43,-0.04999999999999999,-0.07318333332737281,43,complete,0.09495555555555556,0.28,0.18,0.35331061414501247,-7.787480418657021,-9.267794169451552,
bayes_qmix_independent,1.0,memory_union,400.0,0.015629466623067856,8,nan,0.03998655080795288,task_potential,runs/thesis_v2/screen/pdet_1p00/multi/bayes_qmix_independent/seed44,-0.17,-0.06897499978542332,44,complete,0.07935555555555555,0.39,0.24,0.4101001934728174,-8.36269833274832,-9.753105417015659,
bayes_qmix_shared,1.0,memory_union,400.0,0.043993428349494934,8,nan,0.04133065789937973,task_potential,runs/thesis_v2/screen/pdet_1p00/multi/bayes_qmix_shared/seed42,-0.18,-0.06493333414196967,42,complete,0.10491111111111111,0.43,0.38,0.39072766512039314,-8.14457207852354,-8.393952080885823,
bayes_qmix_shared,1.0,memory_union,400.0,0.014931575395166874,8,nan,0.04186483472585678,task_potential,runs/thesis_v2/screen/pdet_1p00/multi/bayes_qmix_shared/seed43,-0.013333333333333364,-0.05422500001887476,43,complete,0.10948888888888889,0.43,0.2,0.3397445207573949,-7.619168327174841,-10.256774578273054,
bayes_qmix_shared,1.0,memory_union,400.0,0.01932808943092823,8,nan,0.040594737976789474,task_potential,runs/thesis_v2/screen/pdet_1p00/multi/bayes_qmix_shared/seed44,-0.03999999999999998,-0.07779166767994561,44,complete,0.09946666666666666,0.37,0.31,0.38037642310543,-8.689576662931847,-8.694921244698774,
qmix_ddqn,1.0,memory_union,400.0,0.0757238119840622,8,nan,nan,task_potential,runs/thesis_v2/screen/pdet_1p00/multi/qmix_ddqn/seed42,nan,nan,42,complete,0.09251111111111111,0.46,0.22,0.32747840953875706,-6.415390001494441,-8.908922502664483,
