episode=2900 train_reward=22.726 val_reward=22.728 val_completed=4.000 coverage=0.262 collision=0.000 loss=0.0144
episode=2950 train_reward=22.727 val_reward=22.725 val_completed=4.000 coverage=0.280 collision=0.000 loss=0.0091
episode=3000 train_reward=22.736 val_reward=22.725 val_completed=4.000 coverage=0.298 collision=0.000 loss=0.0119
episode=3050 train_reward=22.725 val_reward=22.727 val_completed=4.000 coverage=0.280 collision=0.000 loss=0.0076
episode=3100 train_reward=22.726 val_reward=22.726 val_completed=4.000 coverage=0.290 collision=0.000 loss=0.0237
episode=3150 train_reward=22.723 val_reward=22.724 val_completed=4.000 coverage=0.275 collision=0.000 loss=0.0083
episode=3200 train_reward=22.723 val_reward=22.728 val_completed=4.000 coverage=0.278 collision=0.000 loss=0.0121
episode=3250 train_reward=22.722 val_reward=22.724 val_completed=4.000 coverage=0.275 collision=0.000 loss=0.0076
episode=3300 train_reward=22.724 val_reward=22.722 val_completed=4.000 coverage=0.308 collision=0.000 loss=0.0077
episode=3350 train_reward=22.723 val_reward=22.723 val_completed=4.000 coverage=0.282 collision=0.000 loss=0.0130
episode=3400 train_reward=22.725 val_reward=22.724 val_completed=4.000 coverage=0.275 collision=0.000 loss=0.0100
episode=3450 train_reward=22.724 val_reward=22.724 val_completed=4.000 coverage=0.280 collision=0.000 loss=0.0086
episode=3500 train_reward=22.724 val_reward=22.722 val_completed=4.000 coverage=0.308 collision=0.000 loss=0.0057
episode=3550 train_reward=22.722 val_reward=22.723 val_completed=4.000 coverage=0.280 collision=0.000 loss=0.0225
episode=3600 train_reward=22.726 val_reward=22.725 val_completed=4.000 coverage=0.268 collision=0.000 loss=0.0060
episode=3650 train_reward=22.722 val_reward=22.723 val_completed=4.000 coverage=0.282 collision=0.000 loss=0.0119
episode=3700 train_reward=22.733 val_reward=22.724 val_completed=4.000 coverage=0.285 collision=0.000 loss=0.0078
episode=3750 train_reward=22.725 val_reward=22.724 val_completed=4.000 coverage=0.280 collision=0.000 loss=0.0125
episode=3800 train_reward=22.727 val_reward=22.727 val_completed=4.000 coverage=0.270 collision=0.000 loss=0.0106
episode=3850 train_reward=22.727 val_reward=22.724 val_completed=4.000 coverage=0.275 collision=0.000 loss=0.0055
episode=3900 train_reward=22.723 val_reward=22.726 val_completed=4.000 coverage=0.275 collision=0.000 loss=0.0103
episode=3950 train_reward=22.725 val_reward=22.722 val_completed=4.000 coverage=0.298 collision=0.000 loss=0.0094
episode=4000 train_reward=22.734 val_reward=22.726 val_completed=4.000 coverage=0.282 collision=0.000 loss=0.0093
