episode,global_step,train_reward,train_detected,train_completed,train_completed_value,validation_reward,validation_reward_std,validation_detected,validation_completed,validation_completed_value,validation_coverage,validation_local_coverage,validation_overlap,validation_knowledge_overlap,validation_simultaneous_overlap,validation_collision,validation_episode_length,validation_first_detection,validation_first_completion,validation_stay,validation_local_sensor_revisit,validation_local_new_observed,validation_team_new_observed,validation_tracking_progress,best_score,loss,td_loss,kl_loss,q_mean,q_tot_mean,target_mean,epsilon,posterior_rebuilds,predictive_epistemic_std_mean,predictive_selected_std_mean,predictive_max_std_mean,td_residual_variance,posterior_std_mean,posterior_std_min,posterior_std_max,posterior_kl_per_parameter
50,7500,3.846000000000005,1,1,1,-0.05694000000000205,5.874821331444892,1.66,0.41,0.52,0.442549998909235,0.1840166664123535,0.23634177859204608,0.105,0.05754426607519767,0.05357777777777778,150.0,38.41111111111111,63.19444444444444,0.0,0.8704222222222222,0.48404444444444444,1.1601333333333332,0.0030444444444444442,4.831494663947366,0.18704533576965332,,,9.446601867675781,9.446601867675781,9.184043884277344,0.64375,,,,,,,,,
100,15000,1.159000000000001,3,0,0,0.48439999999999883,7.405363672366133,1.67,0.72,0.92,0.4542999994754791,0.19619166798889637,0.2679462616461492,0.11333333333333333,0.060356189476037436,0.04426666666666667,150.0,19.15730337078652,64.78181818181818,0.0,0.8576444444444444,0.5165111111111111,1.1914666666666667,0.005288888888888889,9.146229294364996,0.08842885494232178,,,6.56631326675415,6.56631326675415,6.626810073852539,0.2875000000000001,,,,,,,,,
150,22500,10.858999999999995,4,2,2,2.1767699999999937,8.31102101532055,1.62,0.74,1.0,0.45560000106692317,0.2210416666418314,0.38524666880855674,0.17,0.13103033174292747,0.15,150.0,21.322222222222223,46.857142857142854,0.0,0.8328444444444445,0.5827777777777777,1.1949333333333334,0.005222222222222222,9.384212234878383,0.11116881668567657,,,5.940350532531738,5.940350532531738,5.896335601806641,0.050000000000000044,,,,,,,,,
200,30000,18.280999999999988,2,1,2,1.6187399999999965,7.8267263982076125,1.45,0.78,1.03,0.43469999969005585,0.1875416676700115,0.2764351362455928,0.22333333333333336,0.06551747774802925,0.0546,150.0,30.646341463414632,62.51724137931034,0.0,0.8652888888888889,0.49344444444444446,1.1392,0.005422222222222222,10.144731313405766,0.18434420228004456,,,6.420760631561279,6.420760631561279,6.388683319091797,0.050000000000000044,,,,,,,,,
250,37493,2.8310000000000013,1,1,1,9.860009999999996,9.240802468936334,2.35,1.19,1.54,0.6371500015258789,0.32106666550040247,0.42608279451157466,0.115,0.07886459355674431,0.09287497770643838,149.52,19.541666666666668,67.07692307692308,0.0,0.7454967005528803,0.8522382735865882,1.6844569288389513,0.008270911360799,16.341591248614183,0.2159668207168579,,,6.8099870681762695,6.8099870681762695,6.953336715698242,0.050000000000000044,,,,,,,,,
300,44968,25.806,4,3,4,8.115759999999996,10.27242765671289,2.29,1.26,1.56,0.6174250008165836,0.29994166508316994,0.39403584035926165,0.0825,0.06639553787349092,0.06259759960737073,149.42,25.917525773195877,81.17333333333333,0.0,0.77011109623879,0.7962566367733012,1.6327800829875518,0.008968009637264088,16.921403187942616,0.3373422622680664,,,6.299839019775391,6.299839019775391,6.564639568328857,0.050000000000000044,,,,,,,,,
350,52468,10.886000000000008,3,2,2,8.081949999999996,8.399050875396565,2.14,1.16,1.39,0.6172000008821488,0.29659166678786275,0.3758987511492904,0.10416666666666666,0.0637158829700827,0.0554258134827962,149.87,28.489795918367346,77.58108108108108,0.0,0.7717132626053691,0.7849247125286359,1.6272769733769266,0.008651942794866663,16.921403187942616,0.4423587918281555,,,6.295688152313232,6.295688152313232,6.7237629890441895,0.050000000000000044,,,,,,,,,
400,59968,4.771000000000005,2,1,1,12.282379999999995,10.051584184376106,2.23,1.48,1.91,0.6030249977111817,0.29703333392739295,0.4145309908517528,0.09333333333333332,0.06454768589360957,0.07508715473317243,149.16,21.208333333333332,72.98809523809524,0.0,0.7643246625547511,0.7898453562170377,1.5970099222311611,0.010905515330294092,20.577058599427207,0.18973159790039062,,,5.254591464996338,5.254591464996338,5.4286909103393555,0.050000000000000044,,,,,,,,,
450,67435,-0.880999999999999,1,0,0,10.014319999999994,9.590869180507044,2.08,1.43,1.75,0.5816499996185303,0.2816416668891907,0.38792112742766904,0.13,0.06111592294568048,0.05026666666666667,150.0,21.548387096774192,64.46913580246914,0.0,0.7789777777777778,0.7443777777777778,1.5310666666666666,0.0102,20.577058599427207,0.3239167332649231,,,5.8422956466674805,5.8422956466674805,6.056456565856934,0.050000000000000044,,,,,,,,,
500,74817,12.623999999999974,3,2,2,10.364449999999994,9.399767306029434,2.24,1.35,1.7,0.6096999977529048,0.3033083328604698,0.4050203368243743,0.12583333333333335,0.0744064791556256,0.06968888888888888,150.0,20.645833333333332,66.25301204819277,0.0,0.763,0.8021555555555555,1.6058666666666668,0.01,20.577058599427207,0.2834268808364868,,,7.498764991760254,7.498764991760254,7.261944770812988,0.050000000000000044,,,,,,,,,
550,82204,21.27099999999997,3,2,3,10.513379999999993,10.308833865942345,2.24,1.59,2.0,0.5690249988436699,0.2770166669785976,0.3897700963916771,0.1225,0.07325505405194237,0.07072328095397303,149.55,23.648936170212767,52.566265060240966,0.0,0.7806084921430959,0.7342471860024518,1.5019057171514543,0.01138972472974479,22.002990312595983,0.19358521699905396,,,7.274958610534668,7.274958610534668,7.416682243347168,0.050000000000000044,,,,,,,,,
600,89696,5.107000000000006,2,1,1,13.995549999999987,9.997468578970366,2.56,1.62,2.12,0.6606250023841858,0.3202749991416931,0.3933291392315343,0.10333333333333333,0.06073820791279226,0.06663542433777421,149.37,19.285714285714285,68.22222222222223,0.0,0.7483653567204481,0.8509740911829685,1.7490125192475061,0.011961348775970186,22.951393228685575,0.34226709604263306,,,7.468461513519287,7.468461513519287,7.461414337158203,0.050000000000000044,,,,,,,,,
650,97036,30.180999999999983,4,3,4,15.533459999999991,10.088556148845077,2.61,1.84,2.37,0.6764499980211258,0.3382083331048489,0.41833804022869253,0.11416666666666667,0.06484141502965399,0.05627502292603279,149.03,18.666666666666668,63.30434782608695,0.0,0.7374577825493749,0.901049005793017,1.7954774206535598,0.013688519090116084,26.101251370524775,0.17098994553089142,,,7.146501541137695,7.146501541137695,7.075539588928223,0.050000000000000044,,,,,,,,,
700,104531,24.518999999999995,4,2,3,14.642339999999988,10.564765292442603,2.58,1.67,2.13,0.6835499981045723,0.36701666563749313,0.48398748351542004,0.08083333333333333,0.06875200607312938,0.0651687905209032,149.1,23.97,66.88372093023256,0.0,0.715627095908786,0.977911915940085,1.813682092555332,0.012989045383411581,26.101251370524775,0.34830528497695923,,,7.815113067626953,7.815113067626953,7.857420921325684,0.050000000000000044,,,,,,,,,
750,111997,22.71099999999998,2,2,3,13.951859999999995,10.40541404848456,2.4,1.56,1.99,0.6673750016093254,0.3419750012457371,0.44498372404626446,0.135,0.0746419877148248,0.07204373047746541,149.4,23.663265306122447,66.67073170731707,0.0,0.7322623828647925,0.9089022757697457,1.7667336010709505,0.011535029004908524,26.101251370524775,0.29565566778182983,,,6.740271091461182,6.740271091461182,6.839303016662598,0.050000000000000044,,,,,,,,,
800,119391,26.145999999999983,4,2,3,14.648219999999995,10.92158401110388,2.62,1.87,2.38,0.6925499993562698,0.35259166404604914,0.43599650545882196,0.09,0.06384164348186237,0.06424649859943977,148.75,31.373737373737374,62.83516483516483,0.0,0.7331764705882353,0.9414229691876751,1.8421512605042016,0.014521008403361345,26.304287844288655,0.27071869373321533,,,6.172528266906738,6.172528266906738,6.058795928955078,0.050000000000000044,,,,,,,,,
850,126847,23.79899999999998,3,2,3,14.608289999999995,10.122838560695312,2.45,1.62,2.09,0.6778000023961067,0.3452916668355465,0.4380098745347903,0.11166666666666666,0.07993209512921345,0.104570326515967,148.64,28.848484848484848,74.43820224719101,0.0,0.7317456045927521,0.9224748833871547,1.8038213132400431,0.01264800861141012,26.304287844288655,0.20650532841682434,,,7.182237148284912,7.182237148284912,7.287332534790039,0.050000000000000044,,,,,,,,,
