metric,n_training_seeds,mean,std,ci95_low,ci95_high
reward_mean,6,27.28939016666665,3.076621169516812,24.060149035883153,30.518631297450145
detected_mean,6,3.3408333333333338,0.16005301205121597,3.172840674782283,3.5088259918843847
completed_mean,6,2.8085000000000004,0.33545774696673786,2.456401417022662,3.160598582977339
detected_value_mean,6,4.168666666666667,0.2063711866193212,3.952058157747003,4.38527517558633
completed_value_mean,6,3.6009999999999995,0.3935134051083901,3.187965829306097,4.014034170693902
team_coverage_ratio_mean,6,0.8241274997790655,0.024435897739927413,0.7984794262264201,0.8497755733317109
mean_local_coverage_ratio_mean,6,0.48815680470690137,0.031242229418310986,0.4553647621718665,0.5209488472419362
coverage_overlap_ratio_mean,6,0.5816544752194589,0.03610395342565748,0.5437595362711141,0.6195494141678037
knowledge_overlap_ratio_mean,6,0.17480555555555555,0.031429050020406045,0.1418174249293574,0.2077936861817537
collision_agent_ratio,6,0.05871783436996413,0.014472458905024056,0.04352744953392097,0.07390821920600729
first_detection_step_mean,6,12.688245092119507,0.6679646403493943,11.987145160838715,13.389345023400299
first_completion_step_mean,6,27.927355524073345,3.3831668131123735,24.37636213774103,31.47834891040566
had_detection_mean,6,0.9988333333333332,0.0007527726527090816,0.9980432183733432,0.9996234482933233
had_completion_mean,6,0.9873333333333334,0.011360751148875099,0.9754090167323705,0.9992576499342963
detected_to_completed_ratio,6,0.8386257107193922,0.0704993729627358,0.7646291208495166,0.9126223005892677
stay_ratio,6,0.0,0.0,0.0,0.0
tracking_progress_ratio,6,0.022696204458313187,0.0022350851428963175,0.020350244888849053,0.02504216402777732
