algo,collision_agent_ratio,completed_mean,completed_value_mean,coverage_overlap_ratio_mean,detected_mean,detected_to_completed_ratio,detected_value_mean,first_completion_step_mean,first_detection_step_mean,had_completion_mean,had_detection_mean,knowledge_overlap_ratio_mean,mean_local_coverage_ratio_mean,reward_mean,run_dir,seed,stay_ratio,team_coverage_ratio_mean,tracking_progress_ratio
bayes_qmix_independent,0.07184863913508077,3.053,3.866,0.6003319657484324,3.309,0.9226352372317921,4.131,25.57372116349047,13.06906906906907,0.997,0.999,0.21916666666666665,0.49852083273231984,28.871505999999986,run2/refund/multi_ego_leg/p0_7/qmix_bdqn_indep/seed42,42,0.0,0.8206749984920025,0.025301401722295554
bayes_qmix_independent,0.07186695263044623,2.895,3.708,0.6162122413421409,3.423,0.845749342681858,4.271,29.231621349446122,12.634268537074147,0.993,0.998,0.188,0.5174733316600323,28.017488999999987,run2/refund/multi_ego_leg/p0_7/qmix_bdqn_indep/seed43,43,0.0,0.8448999999165535,0.022367512931450326
bayes_qmix_independent,0.06047021250908329,2.212,2.894,0.512240845143328,3.049,0.7254837651689079,3.794,34.05175983436853,12.618618618618619,0.966,0.999,0.12358333333333332,0.4277666666954756,21.824539999999974,run2/refund/multi_ego_leg/p0_7/qmix_bdqn_indep/seed44,44,0.0,0.7798724998831749,0.02004132184340069
bayes_qmix_independent,0.04062782225740002,3.175,4.034,0.5922809977289739,3.519,0.9022449559533958,4.405,25.117587939698492,13.7,0.995,1.0,0.17866666666666667,0.5022716662138701,31.046530999999987,run2/refund/multi_ego_leg/p0_7/qmix_bdqn_indep/seed45,45,0.0,0.8385375002920628,0.02552081747795468
bayes_qmix_independent,0.06643918892418715,2.749,3.537,0.5881588633412415,3.346,0.8215780035863718,4.173,27.799595141700404,12.40681362725451,0.988,0.998,0.177,0.4866808330267668,26.73067899999998,run2/refund/multi_ego_leg/p0_7/qmix_bdqn_indep/seed46,46,0.0,0.8181924999952316,0.021652057104757424
bayes_qmix_independent,0.0410541907635873,2.767,3.567,0.5807019380126366,3.399,0.8140629596940276,4.238,25.78984771573604,11.7007007007007,0.985,0.999,0.16241666666666668,0.49622749791294335,27.245595999999974,run2/refund/multi_ego_leg/p0_7/qmix_bdqn_indep/seed47,47,0.0,0.8425875000953674,0.02129411567002043
