algo,detection_probability,global_state_mode,last_episode,loss_final,metric_rows,posterior_rebuilds_final,posterior_std_mean_final,reward_mode,run_dir,sampled_minus_mean_completed,sampled_minus_mean_coverage,seed,status,validation_collision_final,validation_completed_best,validation_completed_final,validation_overlap_final,validation_reward_best,validation_reward_final,warnings
qmix_ddqn,1.0,memory_union,6.0,0.5225334763526917,2,nan,nan,task_potential,runs/thesis_v2/smoke/pdet_1p00/multi/qmix_ddqn/seed42,nan,nan,42,complete,0.28888888888888886,0.5,0.0,0.23310104529616724,-1.8203749851696234,-10.920333327346807,"régression tardive: completed final=0.000, max=0.500 | collision finale élevée: 0.289"
shared_ddqn,1.0,memory_union,6.0,0.21642227470874786,2,nan,nan,task_potential,runs/thesis_v2/smoke/pdet_1p00/multi/shared_ddqn/seed42,nan,nan,42,complete,0.14444444444444443,1.0,1.0,0.2537889696882425,-8.051750009972595,-8.051750009972595,
ddqn,1.0,,6.0,0.08958303928375244,2,nan,nan,task_potential,runs/thesis_v2/smoke/pdet_1p00/single/ddqn/seed42,nan,nan,42,complete,nan,0.0,0.0,nan,-2.7278749885410063,-3.624187447037535,
