algo,collision_agent_ratio_ci95_high,collision_agent_ratio_ci95_low,collision_agent_ratio_mean,collision_agent_ratio_std,completed_mean_ci95_high,completed_mean_ci95_low,completed_mean_mean,completed_mean_std,completed_value_mean_ci95_high,completed_value_mean_ci95_low,completed_value_mean_mean,completed_value_mean_std,coverage_overlap_ratio_mean_ci95_high,coverage_overlap_ratio_mean_ci95_low,coverage_overlap_ratio_mean_mean,coverage_overlap_ratio_mean_std,detected_mean_ci95_high,detected_mean_ci95_low,detected_mean_mean,detected_mean_std,detected_to_completed_ratio_ci95_high,detected_to_completed_ratio_ci95_low,detected_to_completed_ratio_mean,detected_to_completed_ratio_std,detected_value_mean_ci95_high,detected_value_mean_ci95_low,detected_value_mean_mean,detected_value_mean_std,knowledge_overlap_ratio_mean_ci95_high,knowledge_overlap_ratio_mean_ci95_low,knowledge_overlap_ratio_mean_mean,knowledge_overlap_ratio_mean_std,local_sensor_revisit_ratio_ci95_high,local_sensor_revisit_ratio_ci95_low,local_sensor_revisit_ratio_mean,local_sensor_revisit_ratio_std,mean_local_coverage_ratio_mean_ci95_high,mean_local_coverage_ratio_mean_ci95_low,mean_local_coverage_ratio_mean_mean,mean_local_coverage_ratio_mean_std,n_seeds,reward_mean_ci95_high,reward_mean_ci95_low,reward_mean_mean,reward_mean_std,seeds,team_coverage_ratio_mean_ci95_high,team_coverage_ratio_mean_ci95_low,team_coverage_ratio_mean_mean,team_coverage_ratio_mean_std,team_new_observed_cells_per_env_step_ci95_high,team_new_observed_cells_per_env_step_ci95_low,team_new_observed_cells_per_env_step_mean,team_new_observed_cells_per_env_step_std,tracking_progress_ratio_ci95_high,tracking_progress_ratio_ci95_low,tracking_progress_ratio_mean,tracking_progress_ratio_std
qmix_ddqn,0.14687141569844767,0.10191319014198968,0.12439230292021868,0.030343950053351092,1.4416562673944908,1.281200875462652,1.3614285714285714,0.10829721009465443,1.7868401681392758,1.5917312604321527,1.6892857142857143,0.1316861347873727,0.46032713047871954,0.4042767486307659,0.4323019395547427,0.03783045185201385,3.077865495131867,2.8309916477252752,2.954428571428571,0.16662418506213034,0.4714721538312245,0.44925790929617276,0.4603650315636986,0.01499320576605168,3.8428097434172144,3.525475970868499,3.6841428571428567,0.2141801644810808,0.10739036327237893,0.08751439863238296,0.09745238095238094,0.01341501517983234,0.7226459670775273,0.6830909975789116,0.7028684823282194,0.026697095002571995,0.3962243168731135,0.34644258815536605,0.37133345251423977,0.033599508679092345,7,12.818422202689057,10.080879225882352,11.449650714285704,1.8476678367301014,"42,43,44,45,46,47,48",0.7650379971723104,0.7056370031844658,0.7353375001783881,0.040091902480071315,2.035277079625121,1.867467256300363,1.951372167962742,0.11326098471198882,0.012015033459326788,0.01063077233372565,0.011322902896526219,0.000934288440794632
shared_bdqn,0.15050251217342353,0.09915906906857586,0.1248307906209997,0.03465356681357677,1.3730507934931158,1.0943777779354553,1.2337142857142855,0.1880866061913273,1.7119231229138627,1.359791162800423,1.5358571428571428,0.2376667334535403,0.44042404359657644,0.3660663357052271,0.4032451896509018,0.05018673549522843,2.805529882373152,2.3916129747697057,2.5985714285714288,0.2793676533070458,0.49838771522779984,0.4486015841366407,0.47349464968222027,0.03360248000185407,3.490531179892422,2.9737545343932923,3.232142857142857,0.348791450856348,0.13544035031765395,0.10015488777758418,0.11779761904761905,0.023815448667579103,0.787494208821274,0.712003326870537,0.7497487678459055,0.05095155609555724,0.35822828635844217,0.2854917143769089,0.32186000036767554,0.04909257160267494,7,9.989084430512076,4.770974426630764,7.38002942857142,3.521893210216386,"42,43,44,45,46,47,48",0.7050983020279209,0.5979374123791314,0.6515178572035262,0.07232680211304408,1.8669946438002731,1.5785131111674482,1.7227538774838607,0.1947067329543926,0.011257319211480288,0.009095595738616234,0.010176457475048261,0.0014590262021656059
shared_ddqn,0.26595553699562297,0.17953490728121704,0.22274522213842002,0.05832844244130536,1.3231933529373983,1.1522352184911737,1.237714285714286,0.11538589498679969,1.6481756445778166,1.4386814982793261,1.5434285714285714,0.14139525822183371,0.46908398349988645,0.4029216206968904,0.43600280209838843,0.04465539748192799,2.908809535231687,2.6823333219111705,2.795571428571429,0.1528570761014541,0.4609072133608086,0.4236815276527279,0.44229437050676823,0.025124976216181847,3.6470367551908307,3.354963244809169,3.501,0.19713109005599974,0.14029280875924185,0.10489766743123428,0.12259523809523808,0.02388947489129911,0.7411767108758931,0.7009935244014307,0.7210851176386619,0.02712110160652081,0.38170943305223076,0.32984366266315573,0.35577654785769325,0.035006104593436296,7,10.271327042236818,8.167370386334602,9.21934871428571,1.4200372655041735,"42,43,44,45,46,47,48",0.726690389857851,0.6672553247137956,0.6969728572858233,0.040114898349003475,1.9257959729285878,1.7649227224076407,1.8453593476681143,0.10857923813291297,0.01106675021728865,0.009661860377342213,0.010364305297315432,0.0009482115142703093
