metric,n_training_seeds,mean,std,ci95_low,ci95_high
reward_mean,3,27.94193500000001,2.379778815714813,22.029759560762137,33.854110439237886
detected_mean,3,3.0576666666666665,0.20848341260957254,2.5397233589191446,3.5756099744141885
completed_mean,3,2.966666666666667,0.20357144527986565,2.46092634703437,3.4724069862989637
detected_value_mean,3,3.8176666666666663,0.2634394301036453,3.1631940248813546,4.472139308451978
completed_value_mean,3,3.711,0.2577343593702634,3.070700683418814,4.351299316581186
sensor_coverage_ratio_mean,3,0.70403750008593,0.038421068267926045,0.6085865721833366,0.7994884279885235
first_detection_step_mean,3,19.619792711467735,1.5758941323102844,15.704738706297338,23.534846716638132
first_completion_step_mean,3,25.512971514228308,1.682654533205096,21.332688565979055,29.69325446247756
had_detection_mean,3,0.9946666666666667,0.004041451884327384,0.9846263333333334,1.004707
had_completion_mean,3,0.9926666666666666,0.0032145502536643214,0.984680636648914,1.0006526966844191
detected_to_completed_ratio,3,0.9702420303737087,0.00760323377175905,0.9513530262077162,0.9891310345397012
stay_ratio,3,0.0,0.0,0.0,0.0
tracking_progress_ratio,3,0.06754124655440281,0.0065699895140058796,0.05121917057647682,0.08386332253232881
