episode,global_step,train_reward,train_detected,train_completed,train_completed_value,validation_reward,validation_reward_std,validation_detected,validation_completed,validation_completed_value,validation_coverage,validation_episode_length,validation_first_detection,validation_first_completion,validation_stay,validation_boundary,validation_revisit,validation_sensor_revisit,validation_new_observed_per_step,validation_tracking_progress,best_score,loss,q_mean,target_mean,epsilon,posterior_rebuilds,predictive_epistemic_std_mean,predictive_selected_std_mean,predictive_max_std_mean,td_residual_variance
50,7500,-4.273000000000006,0,0,0,2.7307200000000034,2.4941327594175906,1.91,0.03,0.04,0.4855999982357025,150.0,23.866666666666667,71.66666666666667,0.0,0.0,0.9959333333333333,0.6918666666666666,1.2882666666666667,0.0006666666666666666,-0.740261333333333,0.004368566907942295,0.32835954427719116,,,3.0,0.13449200987815857,0.09457026422023773,0.16845911741256714,0.05499553307890892
100,15000,-2.7300000000000058,0,0,0,4.092330000000009,4.016539179579861,1.83,0.09,0.14,0.4951249983906746,150.0,19.930232558139537,32.5,0.0,0.0,0.9940666666666667,0.6621333333333334,1.3136666666666668,0.0019333333333333333,1.0792330000000008,0.0029950763564556837,1.2792651653289795,,,7.0,0.140648752450943,0.11821349710226059,0.1644466519355774,0.015680886805057526
150,22500,2.522000000000011,1,0,0,6.036280000000005,4.428560050580783,2.49,0.17,0.23,0.6312249994277954,150.0,20.835051546391753,36.214285714285715,0.0,0.0,0.9974,0.5252,1.6766,0.003533333333333333,2.2693422857142864,0.061738964170217514,1.826880693435669,,,10.0,0.14353911578655243,0.12295807898044586,0.16556382179260254,0.06425757706165314
200,30000,-0.6149999999999972,0,0,0,7.3496999999999995,7.058984871070346,1.87,0.85,1.07,0.46934999942779543,150.0,40.05555555555556,51.815384615384616,0.0,0.0,0.9986666666666667,0.6718666666666666,1.2449333333333332,0.017066666666666667,11.408662307692309,0.13625295460224152,2.4759087562561035,,,14.0,0.14062564074993134,0.1246640533208847,0.16072885692119598,0.05393899232149124
250,37500,28.177000000000007,4,3,4,16.639410000000005,8.520816276736651,2.64,1.57,2.03,0.6842250001430511,149.31,26.333333333333332,40.87640449438202,0.0,0.0,0.9951108432121091,0.4849641685084723,1.8263344719040921,0.03154510749447458,22.63641291011236,0.11142659932374954,2.116166591644287,,,18.0,0.14032022655010223,0.12337251007556915,0.15849973261356354,0.20088154077529907
300,45000,10.926999999999989,2,2,2,11.607219999999998,9.193693779520833,1.99,1.37,1.68,0.49917500153183936,149.26,29.483870967741936,40.975,0.0,0.0,0.9942382419938363,0.6536915449551118,1.3310330966099424,0.027669837866809596,22.63641291011236,0.07926695793867111,2.8255631923675537,,,22.0,0.13900522887706757,0.12643304467201233,0.15612167119979858,0.4019257724285126
350,52425,37.71499999999999,4,4,5,18.038070000000012,9.21906043288036,2.51,1.91,2.39,0.6298999986052514,147.85,21.041666666666668,35.82608695652174,0.0,0.0,0.9945214744673656,0.5533987149137639,1.6973960094690566,0.03902603990530944,27.357285260869563,0.11105756461620331,3.878105640411377,,,25.0,0.13869540393352509,0.1256735920906067,0.15481695532798767,0.4578818678855896
400,59546,1.157,0,0,0,22.892830000000014,9.051349904909227,2.85,2.38,3.03,0.6866000008583069,145.38,22.14,31.275510204081634,0.0,0.0,0.9942220387948824,0.5085293713027926,1.8822396478195076,0.049662952263034806,34.55377279591837,0.07135471701622009,4.0276360511779785,,,29.0,0.13196854293346405,0.12232714891433716,0.1452229619026184,1.2698558568954468
450,66928,1.9799999999999986,0,0,0,22.372220000000006,10.931483994023875,2.73,2.53,3.09,0.6630749982595444,141.78,25.09278350515464,33.1875,0.0,0.0,0.9946395824516857,0.4953449005501481,1.863662011567217,0.0539568345323741,36.143471999999996,0.06921078264713287,4.651864051818848,,,32.0,0.13018883764743805,0.11945955455303192,0.14567318558692932,1.3011068105697632
500,74273,23.232000000000017,2,2,3,26.003379999999996,9.841668203897145,2.94,2.82,3.5,0.69527499884367,141.56,29.262626262626263,37.898989898989896,0.0,0.0,0.9933597061316756,0.4199632664594518,1.9575445040972026,0.060751624752755015,40.5423582020202,0.26614251732826233,4.889500617980957,,,36.0,0.12481947243213654,0.11389786750078201,0.14080195128917694,1.5741609334945679
550,81354,11.211999999999989,2,2,2,23.56781000000001,9.37492172094787,2.76,2.6,3.27,0.6338999988138676,144.38,21.908163265306122,33.642857142857146,0.0,0.0,0.993558664634991,0.50602576534146,1.7492727524587892,0.054508934755506305,40.5423582020202,0.2810565233230591,5.917463302612305,,,40.0,0.12118103355169296,0.10945259034633636,0.1361546516418457,2.4665756225585938
600,88395,29.272000000000073,3,3,4,25.83619000000001,11.024847142427884,2.88,2.81,3.45,0.6828250026702881,139.59,26.66,34.19,0.0,0.0,0.9930510781574612,0.45769754280392577,1.9494949494949494,0.06096425245361416,40.5423582020202,0.5451368093490601,6.520058631896973,,,43.0,0.12091784179210663,0.11023607850074768,0.13552993535995483,2.260592460632324
650,95596,19.937000000000022,3,3,3,25.87683000000002,9.470241837519263,2.82,2.77,3.48,0.7000250011682511,141.23,23.53,28.414141414141415,0.0,0.0,0.9929901578984635,0.44643489343623877,1.9755717623734335,0.05905260921900446,40.5423582020202,0.09679648280143738,7.111174583435059,,,47.0,0.11520616710186005,0.10477495193481445,0.13012291491031647,1.7999922037124634
700,102874,22.421999999999993,3,2,3,29.028200000000012,9.285175445838387,3.07,3.02,3.8,0.7338499999046326,133.16,21.67,26.8,0.0,0.0,0.992490237308501,0.38757885250826074,2.1969059777711024,0.06811354761189546,43.96681999999999,0.1272747963666916,6.98207950592041,,,50.0,0.11618676036596298,0.10282917320728302,0.13222219049930573,2.7365970611572266
750,109940,9.211999999999946,1,1,1,26.350950000000015,9.545467466159007,2.87,2.79,3.5,0.7235500040650368,139.09,21.303030303030305,26.757575757575758,0.0,0.0,0.992810410525559,0.44251923215184413,2.073621396218276,0.06046444748004889,43.96681999999999,0.7031391263008118,6.571433067321777,,,54.0,0.11679483950138092,0.10184051841497421,0.13286101818084717,4.1474223136901855
800,117098,37.24199999999999,4,4,5,21.278700000000008,10.430253070275915,2.57,2.36,2.94,0.6311750014871359,144.45,19.908163265306122,30.6,0.0,0.0,0.9930771893388716,0.5226722049151956,1.7408791969539632,0.049982692973347176,43.96681999999999,0.2610008120536804,6.692344665527344,,,58.0,0.11323201656341553,0.10063833743333817,0.1276250183582306,1.6057361364364624
850,124325,23.292000000000048,2,2,3,27.053650000000008,10.711458655453987,2.99,2.87,3.56,0.6955999982357025,133.11,23.08,29.1,0.0,0.0,0.9924874164225077,0.4433175569078206,2.082788671023965,0.06558485463150777,43.96681999999999,0.23676882684230804,6.4514360427856445,,,61.0,0.11117194592952728,0.09757931530475616,0.12501710653305054,2.489506244659424
900,131361,38.59700000000004,4,4,5,27.773100000000017,9.910454444171572,3.04,3.01,3.72,0.7041249975562096,131.93,18.717171717171716,24.09090909090909,0.0,0.0,0.9924202228454484,0.4340938376411734,2.1272644584249223,0.06859698324869248,43.96681999999999,0.32774847745895386,7.709500312805176,,,65.0,0.11811977624893188,0.10369868576526642,0.13174669444561005,3.7848587036132812
950,138262,38.722000000000065,4,4,5,28.724300000000014,9.977685488629124,3.09,3.05,3.81,0.707074998319149,131.48,17.6,23.27,0.0,0.0,0.9923942804989352,0.445543048372376,2.1435199269850926,0.06974444782476422,44.33703,0.18354079127311707,6.508641719818115,,,68.0,0.114970862865448,0.10213200747966766,0.12730169296264648,2.7901973724365234
1000,145046,19.607000000000063,2,1,2,25.52935000000001,10.385206677168261,2.82,2.73,3.38,0.716450002938509,139.12,20.520408163265305,24.95876288659794,0.0,0.0,0.9928119608970672,0.4480304772857964,2.052760207015526,0.060810810810810814,44.33703,0.09588372707366943,6.560342311859131,,,72.0,0.12496093660593033,0.10558131337165833,0.14229664206504822,4.293816089630127
1050,152053,28.461999999999964,3,3,4,24.07470000000001,10.51923486808809,2.71,2.56,3.23,0.658325001001358,139.97,21.858585858585858,29.083333333333332,0.0,0.0,0.9928556119168394,0.4936772165464028,1.8741873258555404,0.05608344645281132,44.33703,0.24678221344947815,6.7256178855896,,,75.0,0.11321339756250381,0.1000145822763443,0.12884773313999176,2.0381898880004883
1100,159416,12.621999999999943,2,2,2,27.813050000000004,9.53602693198274,3.09,2.96,3.74,0.6870750012993813,138.37,20.11,27.3,0.0,0.0,0.99277299992773,0.46043217460432173,1.9789694297896943,0.06562116065621161,44.33703,0.3041028082370758,7.428271770477295,,,79.0,0.11863342672586441,0.10206371545791626,0.1345956176519394,2.5858960151672363
1150,166712,30.08200000000005,4,3,4,27.0107,10.063637131276156,2.9,2.82,3.59,0.6987250006198883,139.45,17.424242424242426,23.459183673469386,0.0,0.0,0.9928289709573324,0.4717102904266762,1.9970598780925062,0.06145571889566153,44.33703,0.3131343722343445,6.716592788696289,,,82.0,0.11722514778375626,0.10494723916053772,0.1323624551296234,3.571537494659424
1200,173523,28.97200000000002,3,3,4,26.06115000000001,9.382312882626547,2.92,2.77,3.47,0.7250499980151653,139.5,22.79,29.4,0.0,0.0,0.992831541218638,0.4236559139784946,2.0718279569892473,0.06007168458781362,44.33703,0.2154470980167389,7.477552890777588,,,86.0,0.12399973720312119,0.10723286867141724,0.14240632951259613,2.6969563961029053
1250,180479,7.811999999999971,1,1,1,27.454700000000013,9.251870930249737,2.95,2.91,3.67,0.7231250019371509,138.4,23.49,29.03030303030303,0.0,0.0,0.9927745664739884,0.42897398843930634,2.082731213872832,0.0634393063583815,44.33703,0.5837500095367432,7.022366523742676,,,89.0,0.11697163432836533,0.10529115051031113,0.13394758105278015,2.6013054847717285
1300,187350,40.231999999999985,4,4,5,28.618150000000014,9.91093383226324,3.02,2.88,3.7,0.7185749998688697,133.89,20.20408163265306,23.833333333333332,0.0,0.0,0.9925311823138397,0.4039883486444096,2.1392934498468894,0.06602434834565689,44.33703,0.778145432472229,6.192439556121826,,,93.0,0.1162203773856163,0.10300593078136444,0.13320861756801605,2.6592154502868652
1350,194357,38.63699999999998,4,4,5,27.72205,9.655595799716359,3.02,2.94,3.69,0.7324499976634979,137.65,23.05,26.8989898989899,0.0,0.0,0.9927351979658554,0.420050853614239,2.1211768979295313,0.064220849981838,44.33703,0.537344753742218,7.296492576599121,,,96.0,0.12335361540317535,0.10978829860687256,0.14234469830989838,4.011345386505127
1400,201479,7.7670000000000154,1,1,1,22.40435000000001,10.316142507134154,2.42,2.36,3.01,0.6314500012993812,143.7,28.78125,35.583333333333336,0.0,0.0,0.9930410577592206,0.5270702853166319,1.7507306889352818,0.050034794711203895,44.33703,0.36342981457710266,8.324403762817383,,,100.0,0.11445264518260956,0.10403814911842346,0.13154956698417664,3.311711311340332
1450,208589,38.816999999999965,4,4,5,25.480050000000016,9.944626787743225,2.79,2.7,3.4,0.6806499987840653,141.52,20.020408163265305,26.081632653061224,0.0,0.0,0.9929338609383833,0.47328999434708874,1.9167608818541548,0.05787167891464104,44.33703,0.4460642337799072,8.277275085449219,,,103.0,0.11880938708782196,0.10508503019809723,0.13650411367416382,2.697699785232544
1500,215615,19.65199999999999,3,3,3,25.588400000000007,11.00760687161384,2.83,2.72,3.4,0.6725000002980233,138.84,17.93877551020408,23.864583333333332,0.0,0.0,0.992797464707577,0.465139729184673,1.9302794583693461,0.06071737251512532,44.33703,0.6697470545768738,7.271590232849121,,,107.0,0.1221788078546524,0.10590150207281113,0.14948056638240814,2.8107709884643555
