metric,n_training_seeds,mean,std,ci95_low,ci95_high
reward_mean,3,27.80903166666668,3.06933872545184,20.183756196741378,35.43430713659198
detected_mean,3,3.087333333333333,0.2332216399336334,2.5079319022384676,3.6667347644281985
completed_mean,3,2.8996666666666666,0.2788016020996533,2.207029194028843,3.59230413930449
detected_value_mean,3,3.8729999999999998,0.29735332518739394,3.1342737728650754,4.611726227134924
completed_value_mean,3,3.661,0.3462123625753417,2.8008913994603164,4.521108600539684
sensor_coverage_ratio_mean,3,0.7047391664385795,0.03838914187650038,0.6093675544900586,0.8001107783871003
first_detection_step_mean,3,20.604675668546676,2.32769929237812,14.821883379005396,26.387467958087957
first_completion_step_mean,3,27.06745145115894,1.3519098196298047,23.708850232045616,30.426052670272266
had_detection_mean,3,0.9963333333333333,0.0011547005383792527,0.9934646666666667,0.9992019999999999
had_completion_mean,3,0.9896666666666666,0.0061101009266077925,0.9744871094779853,1.004846223855348
detected_to_completed_ratio,3,0.9382760877579663,0.018631697549009948,0.8919886496510436,0.984563525864889
stay_ratio,3,0.0,0.0,0.0,0.0
tracking_progress_ratio,3,0.06618376766913121,0.009874971110364327,0.04165099963356771,0.0907165357046947
