metric,n_training_seeds,mean,std,ci95_low,ci95_high
reward_mean,4,25.62970075000001,1.1787599655480825,23.75429364481301,27.505107855187006
detected_mean,4,2.808,0.09915308030179057,2.650247449239851,2.9657525507601488
completed_mean,4,2.72075,0.09098855239351085,2.575987213141924,2.8655127868580754
detected_value_mean,4,3.5075,0.13573871960498227,3.291539697108473,3.7234603028915267
completed_value_mean,4,3.41025,0.12299966124614604,3.2145575389573815,3.6059424610426185
sensor_coverage_ratio_mean,4,0.7168249998614191,0.015524382736087784,0.6921257069283034,0.7415242927945348
first_detection_step_mean,4,25.81332240565529,0.5333102699533486,24.96482576615951,26.661819045151066
first_completion_step_mean,4,31.869880815738448,1.0115942833184923,30.260434310978727,33.47932732049817
had_detection_mean,4,0.9924999999999999,0.003696845502136476,0.9866183188061008,0.998381681193899
had_completion_mean,4,0.98875,0.002872281323269017,0.984180200414679,0.993319799585321
detected_to_completed_ratio,4,0.9690150157667823,0.009704076856160948,0.9535758294886302,0.9844542020449344
stay_ratio,4,0.0,0.0,0.0,0.0
tracking_progress_ratio,4,0.0594062554331237,0.0025264985030510065,0.055386596314769554,0.06342591455147785
