group,metric,early,late,raw_delta_late_minus_early,improvement_positive_is_better,last_available_seed_count
DDQN ego seed42,validation_completed,0.01888888888888889,0.37999999999999995,0.36111111111111105,0.36111111111111105,1
DDQN ego seed42,validation_completed_value,0.01888888888888889,0.5733333333333334,0.5544444444444445,0.5544444444444445,1
DDQN ego seed42,validation_coverage,0.511316667985585,0.7471555562814077,0.23583888829582278,0.23583888829582278,1
DDQN ego seed42,validation_reward,-8.959611748732433,-10.402749071049884,-1.443137322317451,-1.443137322317451,1
DDQN ego seed42,validation_first_completion,85.0,83.10753309870957,-1.8924669012904332,1.8924669012904332,1
DDQN ego seed42,validation_first_detection,28.208702718676125,16.91111111111111,-11.297591607565014,11.297591607565014,1
DDQN ego seed42,validation_tracking_progress,0.00042962962962962963,0.0076296296296296294,0.0072,0.0072,1
DDQN ego seed42,validation_stay,0.0,0.0,0.0,0.0,1
DDQN ego seed42,loss,0.06273470679298043,0.11593523042069542,0.05320052362771499,-0.05320052362771499,1
DDQN ego seed42,q_mean,0.046224532441960446,-4.06474510828654,-4.1109696407285,-4.1109696407285,1
DDQN ego seed42,target_mean,0.048925952365001045,-4.1263315942552365,-4.175257546620237,-4.175257546620237,1
DDQN ego seed42,epsilon,0.7328863888888889,0.050000000000000044,-0.6828863888888889,-0.6828863888888889,1
