algo,best_score,detection_probability,episode,epsilon,global_state_mode,global_step,kl_loss,loss,posterior_kl_per_parameter,posterior_rebuilds,posterior_std_max,posterior_std_mean,posterior_std_min,predictive_epistemic_std_mean,predictive_max_std_mean,predictive_selected_std_mean,q_mean,q_tot_mean,reward_mode,run_dir,scope,target_mean,td_loss,td_residual_variance,train_completed,train_completed_value,train_detected,train_reward,training_seed,validation_boundary,validation_collision,validation_completed,validation_completed_value,validation_coverage,validation_detected,validation_episode_length,validation_first_completion,validation_first_detection,validation_knowledge_overlap,validation_local_coverage,validation_local_new_observed,validation_local_sensor_revisit,validation_new_observed_per_step,validation_overlap,validation_revisit,validation_reward,validation_reward_std,validation_sensor_revisit,validation_simultaneous_overlap,validation_stay,validation_team_new_observed,validation_tracking_progress
bayes_qmix_independent,1.0758178737113855,0.7,50.0,,memory_union,7500.0,0.0025292597711086273,0.01058010384440422,2.529264211654663,,0.05137593671679497,0.048688944429159164,0.03575273975729942,,,,-2.865993022918701,-2.865993022918701,task_potential,runs/thesis_v2/screen/pdet_0p70/multi/bayes_qmix_independent/seed42,multi,-2.8571391105651855,0.008050844073295593,,0.0,0.0,0.0,-8.071499987747524,42,,0.1819111111111111,0.24,0.28,0.6145749974250794,2.31,150.0,53.56521739130435,16.71578947368421,0.1475,0.2986916650831699,0.7898444444444445,0.7795555555555556,,0.3853899752275919,,-9.265916660121338,2.7026569644131406,,0.17495355309917837,0.0,1.6188666666666667,0.0018
bayes_qmix_independent,1.2923998289809857,0.7,100.0,,memory_union,15000.0,0.0025702305138111115,0.01314536388963461,2.5702366828918457,,0.05159706622362137,0.04696207493543625,0.02558646909892559,,,,-3.1084184646606445,-3.1084184646606445,task_potential,runs/thesis_v2/screen/pdet_0p70/multi/bayes_qmix_independent/seed42,multi,-3.1542539596557617,0.010575133375823498,,0.0,0.0,2.0,-9.666999898310749,42,,0.12695555555555554,0.23,0.26,0.5991749992966652,2.24,150.0,44.3,22.42391304347826,0.15333333333333335,0.27930833384394643,0.7381555555555556,0.8127333333333333,,0.35236350206408723,,-8.581814995208386,2.868000500182342,,0.09960067407220329,0.0,1.5778,0.002088888888888889
bayes_qmix_independent,1.6436811388474681,0.7,150.0,,memory_union,22500.0,0.0026116312947124243,0.011722641997039318,2.6116366386413574,,0.05252416059374809,0.04533044248819351,0.019035274162888527,,,,-3.164228916168213,-3.164228916168213,task_potential,runs/thesis_v2/screen/pdet_0p70/multi/bayes_qmix_independent/seed42,multi,-3.1442956924438477,0.00911101046949625,,0.0,0.0,3.0,-9.972125014942133,42,,0.058888888888888886,0.22,0.26,0.543474999666214,2.01,150.0,41.473684210526315,25.533333333333335,0.12166666666666667,0.2375166666507721,0.6267111111111111,0.8350444444444445,,0.28703467624881795,,-7.143209995491807,2.789274774481454,,0.06675358521929699,0.0,1.4292666666666667,0.0018222222222222223
bayes_qmix_independent,2.120156767632696,0.7,200.0,,memory_union,30000.0,0.0026480774395167828,0.020017530769109726,2.6480846405029297,,0.0523773692548275,0.04395265877246857,0.014993865042924881,,,,-2.884053945541382,-2.884053945541382,task_potential,runs/thesis_v2/screen/pdet_0p70/multi/bayes_qmix_independent/seed42,multi,-2.8300483226776123,0.017369452863931656,,1.0,2.0,3.0,-2.2594999965094287,42,,0.06884444444444444,0.29,0.37,0.6086999961733818,2.49,150.0,78.34615384615384,19.03061224489796,0.06916666666666665,0.2884249994903803,0.7624666666666666,0.8007333333333333,,0.361614637031555,,-7.853190826827043,3.8131082967623473,,0.0686707918918908,0.0,1.6032,0.002577777777777778
bayes_qmix_independent,2.120156767632696,0.7,250.0,,memory_union,37500.0,0.0026814090088009834,0.020637668669223785,2.681410789489746,,0.05222516879439354,0.04270700365304947,0.012169945053756237,,,,-3.437556505203247,-3.437556505203247,task_potential,runs/thesis_v2/screen/pdet_0p70/multi/bayes_qmix_independent/seed42,multi,-3.511578321456909,0.017956260591745377,,1.0,1.0,3.0,-7.177999941464486,42,,0.060422222222222224,0.19,0.22,0.5897499999403953,2.23,150.0,57.05263157894737,24.31578947368421,0.10333333333333332,0.2614000018686056,0.6904,0.8129777777777778,,0.29001246685015425,,-7.666785827213281,2.5228306202592754,,0.06954483986879971,0.0,1.5526666666666666,0.001888888888888889
bayes_qmix_independent,2.3023620984918574,0.7,300.0,,memory_union,45000.0,0.002708363113924861,0.11675781011581421,2.7083680629730225,,0.05249931663274765,0.041728634387254715,0.010369676165282726,,,,-2.9151251316070557,-2.9151251316070557,task_potential,runs/thesis_v2/screen/pdet_0p70/multi/bayes_qmix_independent/seed42,multi,-2.7713308334350586,0.11404944956302643,,0.0,0.0,3.0,-11.183624995928266,42,,0.0806,0.29,0.34,0.6351250025629998,2.31,150.0,51.083333333333336,19.882978723404257,0.08166666666666668,0.294858333915472,0.7796222222222222,0.7890888888888888,,0.33802141047427037,,-8.240867497892681,3.543523715179201,,0.074465295619921,0.0,1.6736666666666666,0.002311111111111111
bayes_qmix_independent,2.3023620984918574,0.7,350.0,,memory_union,52500.0,0.0027289055287837982,0.021963799372315407,2.7289090156555176,,0.052201658487319946,0.041021715849637985,0.009156406857073307,,,,-3.6721153259277344,-3.6721153259277344,task_potential,runs/thesis_v2/screen/pdet_0p70/multi/bayes_qmix_independent/seed42,multi,-3.69718861579895,0.01923489384353161,,0.0,0.0,2.0,-10.332375007327673,42,,0.08015555555555555,0.26,0.31,0.659899999499321,2.52,150.0,66.52,26.40625,0.06833333333333333,0.31504166543483736,0.8334444444444444,0.7746444444444445,,0.380335624298541,,-8.394026663918304,3.1178314059486114,,0.06477194198416683,0.0,1.7397333333333334,0.0024222222222222223
bayes_qmix_independent,2.3023620984918574,0.7,400.0,,memory_union,60000.0,0.002746224170550704,0.03854889050126076,2.7462282180786133,,0.05212755501270294,0.04044824093580246,0.008078757673501968,,,,-3.393254518508911,-3.393254518508911,task_potential,runs/thesis_v2/screen/pdet_0p70/multi/bayes_qmix_independent/seed42,multi,-3.454822540283203,0.03580266609787941,,0.0,0.0,2.0,-7.379249943476176,42,,0.0758,0.23,0.29,0.6574250012636185,2.63,150.0,66.3,17.755102040816325,0.05,0.30122499898076055,0.7966,0.7827555555555555,,0.33265763480469707,,-8.924282502457505,3.5722779793027084,,0.059217051658257656,0.0,1.7331333333333334,0.0020444444444444447
bayes_qmix_independent,1.0439652066241312,0.7,50.0,,memory_union,7500.0,0.0025312381330877542,0.010701317340135574,2.5312421321868896,,0.05150822550058365,0.04861936718225479,0.036140017211437225,,,,-2.9381446838378906,-2.9381446838378906,task_potential,runs/thesis_v2/screen/pdet_0p70/multi/bayes_qmix_independent/seed43,multi,-2.9699087142944336,0.008170079439878464,,0.0,0.0,1.0,-6.491000056546181,43,,0.1478,0.22,0.25,0.5383749988675117,1.94,150.0,56.04761904761905,21.824175824175825,0.11833333333333332,0.23916666731238365,0.6311111111111111,0.8329333333333333,,0.31006705079923913,,-8.203995001687115,3.272825942938948,,0.1269970049545961,0.0,1.4156666666666666,0.0015333333333333334
bayes_qmix_independent,1.9865481136942096,0.7,100.0,,memory_union,15000.0,0.002581590786576271,0.02272631786763668,2.581597328186035,,0.0516241155564785,0.04649016633629799,0.02583899535238743,,,,-3.5029306411743164,-3.5029306411743164,task_potential,runs/thesis_v2/screen/pdet_0p70/multi/bayes_qmix_independent/seed43,multi,-3.560551404953003,0.02014472708106041,,0.0,0.0,4.0,-10.473375063221923,43,,0.06057777777777778,0.27,0.35,0.6337499997019768,2.47,150.0,68.6,19.479166666666668,0.07333333333333332,0.29504999741911886,0.7801333333333333,0.7991777777777778,,0.34815575608908167,,-8.331570404962706,3.2240834433405126,,0.08616424129014348,0.0,1.67,0.002288888888888889
