boundary_hit_ratio_did_ci95_high,boundary_hit_ratio_did_ci95_low,boundary_hit_ratio_did_mean,boundary_hit_ratio_did_std,collision_agent_ratio_did_ci95_high,collision_agent_ratio_did_ci95_low,collision_agent_ratio_did_mean,collision_agent_ratio_did_std,comparison,completed_mean_did_ci95_high,completed_mean_did_ci95_low,completed_mean_did_mean,completed_mean_did_std,completed_value_mean_did_ci95_high,completed_value_mean_did_ci95_low,completed_value_mean_did_mean,completed_value_mean_did_std,coverage_overlap_ratio_mean_did_ci95_high,coverage_overlap_ratio_mean_did_ci95_low,coverage_overlap_ratio_mean_did_mean,coverage_overlap_ratio_mean_did_std,detected_mean_did_ci95_high,detected_mean_did_ci95_low,detected_mean_did_mean,detected_mean_did_std,detected_to_completed_ratio_did_ci95_high,detected_to_completed_ratio_did_ci95_low,detected_to_completed_ratio_did_mean,detected_to_completed_ratio_did_std,detected_value_mean_did_ci95_high,detected_value_mean_did_ci95_low,detected_value_mean_did_mean,detected_value_mean_did_std,episode_length_mean_did_ci95_high,episode_length_mean_did_ci95_low,episode_length_mean_did_mean,episode_length_mean_did_std,first_completion_step_mean_did_ci95_high,first_completion_step_mean_did_ci95_low,first_completion_step_mean_did_mean,first_completion_step_mean_did_std,first_detection_step_mean_did_ci95_high,first_detection_step_mean_did_ci95_low,first_detection_step_mean_did_mean,first_detection_step_mean_did_std,had_completion_mean_did_ci95_high,had_completion_mean_did_ci95_low,had_completion_mean_did_mean,had_completion_mean_did_std,had_detection_mean_did_ci95_high,had_detection_mean_did_ci95_low,had_detection_mean_did_mean,had_detection_mean_did_std,high_probability,knowledge_overlap_ratio_mean_did_ci95_high,knowledge_overlap_ratio_mean_did_ci95_low,knowledge_overlap_ratio_mean_did_mean,knowledge_overlap_ratio_mean_did_std,local_new_observed_cells_per_decision_did_ci95_high,local_new_observed_cells_per_decision_did_ci95_low,local_new_observed_cells_per_decision_did_mean,local_new_observed_cells_per_decision_did_std,local_sensor_revisit_ratio_did_ci95_high,local_sensor_revisit_ratio_did_ci95_low,local_sensor_revisit_ratio_did_mean,local_sensor_revisit_ratio_did_std,low_probability,mean_local_coverage_ratio_mean_did_ci95_high,mean_local_coverage_ratio_mean_did_ci95_low,mean_local_coverage_ratio_mean_did_mean,mean_local_coverage_ratio_mean_did_std,n_pairs,new_observed_cells_per_step_did_ci95_high,new_observed_cells_per_step_did_ci95_low,new_observed_cells_per_step_did_mean,new_observed_cells_per_step_did_std,revisit_ratio_did_ci95_high,revisit_ratio_did_ci95_low,revisit_ratio_did_mean,revisit_ratio_did_std,reward_mean_did_ci95_high,reward_mean_did_ci95_low,reward_mean_did_mean,reward_mean_did_std,sensor_coverage_ratio_mean_did_ci95_high,sensor_coverage_ratio_mean_did_ci95_low,sensor_coverage_ratio_mean_did_mean,sensor_coverage_ratio_mean_did_std,sensor_revisit_ratio_did_ci95_high,sensor_revisit_ratio_did_ci95_low,sensor_revisit_ratio_did_mean,sensor_revisit_ratio_did_std,simultaneous_sensor_overlap_ratio_mean_did_ci95_high,simultaneous_sensor_overlap_ratio_mean_did_ci95_low,simultaneous_sensor_overlap_ratio_mean_did_mean,simultaneous_sensor_overlap_ratio_mean_did_std,stay_ratio_did_ci95_high,stay_ratio_did_ci95_low,stay_ratio_did_mean,stay_ratio_did_std,team_coverage_ratio_mean_did_ci95_high,team_coverage_ratio_mean_did_ci95_low,team_coverage_ratio_mean_did_mean,team_coverage_ratio_mean_did_std,team_new_observed_cells_per_env_step_did_ci95_high,team_new_observed_cells_per_env_step_did_ci95_low,team_new_observed_cells_per_env_step_did_mean,team_new_observed_cells_per_env_step_did_std,tracking_progress_ratio_did_ci95_high,tracking_progress_ratio_did_ci95_low,tracking_progress_ratio_did_mean,tracking_progress_ratio_did_std,training_seeds
0.0,0.0,0.0,0.0,0.10993524839253833,-0.10743154468883463,0.0012518518518518512,0.043747423831658035,bayes_qmix_independent_mean_minus_qmix,0.2538357924309229,-0.5293913479864785,-0.13777777777777778,0.15763295387750667,0.4078447154032081,-0.7456224931809858,-0.16888888888888887,0.23214778179554635,0.30913158249543327,-0.38425467396868107,-0.03756154573662392,0.13955150191329652,1.2257674209253753,-1.2035451987031531,0.011111111111111072,0.48892550367939314,-0.034406590275590884,-0.11000008895659875,-0.07220333961609482,0.015214011205832738,1.7084034313818965,-1.6239589869374518,0.04222222222222231,0.6706740666700214,0.0,0.0,0.0,0.0,33.71922179481625,-27.132287876143334,3.2934669593364583,12.247026082659875,30.895772661622846,-24.75043179849278,3.0726704315650317,11.199401972261924,0.1676337223948587,-0.33207816683930313,-0.08222222222222221,0.10057243566114331,0.15863810704224393,-0.1230825514866883,0.01777777777777782,0.05669933698743586,1.0,0.021948675369343022,-0.06935608277675043,-0.0237037037037037,0.018376072517060443,0.5833091024647532,-0.6787905839462347,-0.047740740740740716,0.254011245768136,0.19444713830039578,-0.17153849632508716,0.01145432098765431,0.07365857704063163,0.7,0.2187409116555457,-0.25454646836345773,-0.017902778353956,0.09525421668302034,3,,,,,,,,,2.913567456531631,-3.795999947567639,-0.441216245518004,1.3503731862314614,,,,,,,,,0.05579554099899119,-0.06586562735320009,-0.005035043177104452,0.024485629199882182,0.0,0.0,0.0,0.0,0.3312622286456089,-0.35969556347303205,-0.014216667413711562,0.13906274713398797,0.8833659466640111,-0.9591881688862334,-0.03791111111111108,0.3708339930081524,0.0014887413697576507,-0.0031924450734613545,-0.000851851851851852,0.0009421395258375503,"42,43,44"
0.0,0.0,0.0,0.0,0.12860832724403928,-0.16341820378724917,-0.01740493827160493,0.058773505566381695,bayes_qmix_independent_sample_minus_qmix,0.15693335464983982,-0.29915557687206207,-0.07111111111111114,0.09179284245476836,0.30924104975054983,-0.4981299386394387,-0.09444444444444444,0.162492165053284,0.2733014002013209,-0.2899738256309201,-0.008336212714799627,0.11336524631492852,1.4435091255234542,-1.3390646810790099,0.052222222222222246,0.5600231476697424,0.029979438384012326,-0.12457859827006121,-0.04729957994302444,0.03110648061851594,1.8802017621324416,-1.7290906510213304,0.07555555555555553,0.7264092306478286,0.0,0.0,0.0,0.0,25.27857380102451,-16.74562532513701,4.2664742379437515,8.457825706937411,30.872953935869816,-25.598992148885287,2.6369808934922663,11.365591427037668,0.22284864122025858,-0.2917375301091474,-0.034444444444444416,0.1035660462020537,0.18973804922045334,-0.19418249366489782,-0.0022222222222222365,0.07726817178094983,1.0,0.14437110282829427,-0.1465933250505165,-0.0011111111111111183,0.05855974579146067,0.549277360913835,-0.5430897065928473,0.0030938271604938525,0.2198507159466181,0.1669116337714786,-0.16254620167271316,0.0021827160493827305,0.06630696141540862,0.7,0.20597900799967123,-0.20365863939514361,0.0011601843022638152,0.08244401789226168,3,,,,,,,,,3.677553146522767,-3.9800936009932473,-0.15127022723524033,1.541184433315396,,,,,,,,,0.04923409560742469,-0.07878676010030437,-0.014776332246439839,0.025765585232887613,0.0,0.0,0.0,0.0,0.32397058089675995,-0.30840947255594026,0.00778055417040983,0.1272733421186613,0.8639215532776209,-0.8224252569813245,0.020748148148148182,0.33939557919477187,0.0005966400157252044,-0.0012830597688116246,-0.00034320987654321006,0.00037830996163072965,"42,43,44"
0.0,0.0,0.0,0.0,0.15968532167247176,-0.1548606303144471,0.002412345679012338,0.06330578319271021,bayes_qmix_shared_mean_minus_qmix,-0.08829105230629647,-0.3383756143603703,-0.21333333333333337,0.05033222956847171,-0.21430239858473155,-0.3834753791930462,-0.29888888888888887,0.03404789654676568,0.19796807427760757,-0.2504741087952809,-0.02625301725883668,0.09025385142218764,0.69993277946186,-0.6421550016840821,0.028888888888888964,0.2701097170767083,0.045823521940159206,-0.2557244914994467,-0.10495048477964375,0.06068980713442483,0.9378143624412524,-0.8933699179968081,0.022222222222222143,0.3685456904183333,0.0,0.0,0.0,0.0,36.18342954583254,-24.982390856959068,5.600519344436736,12.31028452524612,15.943115923793863,-16.013083566031824,-0.03498382111898065,6.431531621332178,0.021192397985671435,-0.316747953541227,-0.14777777777777776,0.06801415974579067,0.17249792429922678,-0.15472014652144894,0.00888888888888891,0.06585618450105525,1.0,0.11269173212073484,-0.12102506545406817,-0.004166666666666666,0.04703803950521141,0.3582385762136165,-0.38165586016423364,-0.011708641975308595,0.14891177736973907,0.14078183189377635,-0.13660405411599852,0.002088888888888918,0.05582691701968848,0.7,0.13433946694772161,-0.14312094838262315,-0.0043907407174507695,0.05584191685351147,3,,,,,,,,,1.7253401351391118,-4.2082221676407805,-1.2414410162508343,1.1941937460248848,,,,,,,,,0.041110041208669734,-0.05310937777748058,-0.00599966828440542,0.01896267961232071,0.0,0.0,0.0,0.0,0.19591763961927153,-0.1891398633713464,0.003388888123962578,0.0774969973292302,0.5224470355767615,-0.5043729615026874,0.00903703703703703,0.20665865735176991,-0.0009740050053964884,-0.001885254253862771,-0.0014296296296296297,0.00018339879115762922,"42,43,44"
0.0,0.0,0.0,0.0,0.1505340927541001,-0.19167483349484085,-0.020570370370370374,0.06887325668914206,bayes_qmix_shared_sample_minus_qmix,0.050785144858670084,-0.3218962559697812,-0.13555555555555557,0.07500617258550075,-0.02363180836281578,-0.3474793027482953,-0.18555555555555556,0.06517781944916654,0.12450810939238634,-0.14826512384162466,-0.011878507224619158,0.054898570637478786,0.6944655746470045,-0.5144655746470046,0.09000000000000001,0.24331050121192885,0.10139892698097226,-0.25281519534989544,-0.07570813418446158,0.07128943256280275,0.9686951569412863,-0.7798062680523972,0.09444444444444455,0.35190486929998166,0.0,0.0,0.0,0.0,4.841381162797431,-2.28757520550403,1.2769029786467005,1.4347797623564764,6.900601658984875,-4.327195184563895,1.2867032372104898,2.2597158482556283,0.06535462366733512,-0.23868795700066836,-0.08666666666666663,0.06119186583561945,0.10153569127689321,-0.09042458016578214,0.005555555555555536,0.03863408589047487,1.0,0.06995639863345889,-0.11069713937419963,-0.020370370370370372,0.03635848319734369,0.27478999110835456,-0.23556036147872492,0.019614814814814825,0.10271354175476555,0.1030753484033143,-0.11416670642800571,-0.005545679012345706,0.043722318906403684,0.7,0.10304624445915724,-0.08833513358580238,0.00735555543667743,0.038517577317733774,3,,,,,,,,,3.0680412936159094,-4.405996750358254,-0.6689777283711722,1.5042311910139392,,,,,,,,,0.008569603718969334,-0.050311723382930496,-0.02087105983198058,0.01185050547961571,0.0,0.0,0.0,0.0,0.17828035652634436,-0.13304146970308758,0.022619443411628398,0.06265689292755115,0.4754142816923936,-0.35477724465535637,0.060318518518518584,0.16708504574104802,0.0008187780324937633,-0.002443469390518455,-0.0008123456790123459,0.0006565626636669535,"42,43,44"
0.0,0.0,0.0,0.0,,,,,bdqn_mean_minus_ddqn,0.16534769929621182,-0.1542365881851007,0.005555555555555554,0.06431980283736133,0.21397817405983058,-0.17842261850427502,0.01777777777777779,0.07897491397296381,,,,,1.113233243262347,-0.9665665765956806,0.07333333333333325,0.4185822632543228,0.09439196791053511,-0.01419757985081984,0.04009719402985764,0.021854823831465725,1.384422524992159,-1.1622003027699366,0.11111111111111123,0.5125354549615008,0.0,0.0,0.0,0.0,-3.217882525784157,-23.998788349812685,-13.608335437798422,4.182382606846549,12.150765090028328,-13.797194505164983,-0.823214707568327,5.222308200281103,0.17243873935113174,-0.1657720726844651,0.0033333333333333223,0.06806859285554047,0.43815377638933717,-0.34926488750044826,0.044444444444444474,0.15847654342146283,1.0,,,,,,,,,,,,,0.7,,,,,3,0.6509687015007788,-0.604390923723001,0.023288888888888876,0.2526547353774356,0.0009289298093645162,-0.001462263142697865,-0.0002666666666666743,0.00048125350728243715,1.1875781009041013,-1.6680683774199982,-0.24024513825794847,0.5747298151188097,0.24411325924026037,-0.2266465939118836,0.00873333266418839,0.09474552449723181,0.10787914047996426,-0.14082728862811236,-0.016474074074074047,0.050054865371161494,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.003907453064033319,-0.0035518975084777643,0.00017777777777777757,0.0015012751781381813,"42,43,44"
0.0,0.0,0.0,0.0,,,,,bdqn_sample_minus_ddqn,0.16025705200735588,-0.11803482978513367,0.021111111111111098,0.05600925849390472,0.19887066923426214,-0.14109289145648432,0.02888888888888891,0.06842135252595845,,,,,0.965075272348473,-0.47840860568180643,0.24333333333333326,0.2905167809266791,0.09931977764853435,-0.019135080899185933,0.04009234837467421,0.023840324588430866,1.231462297710269,-0.5603511865991582,0.33555555555555544,0.3606218908332497,0.0,0.0,0.0,0.0,23.366095732216056,-77.87319845360771,-27.253551360695827,20.37550560681608,1.8318326906108293,-14.76666450751267,-6.467415908450921,3.3406275245688533,0.14886126416366754,-0.11108348638588979,0.018888888888888882,0.052316699408860225,0.33931015973991113,-0.15042127085102214,0.09444444444444448,0.09856376014953376,1.0,,,,,,,,,,,,,0.7,,,,,3,0.40645056635718924,-0.25819871450533727,0.074125925925926,0.1337678740027902,0.00012252287577721823,-0.0014114117646660393,-0.0006444444444444105,0.0003087209775432976,0.695801191125932,-1.751310077584554,-0.527754443229311,0.49250767478281393,0.15241895860555477,-0.09682451616432315,0.027797221220615804,0.05016295163333025,0.022190943894143264,-0.08676872167192104,-0.03228888888888889,0.02192931405253735,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.003145367068551345,-0.0026861078092920852,0.00022962962962962987,0.0011736475449089395,"42,43,44"
0.0,0.0,0.0,0.0,0.04455181267968529,-0.038220948482154404,0.003165432098765441,0.016658915618762517,independent_sampling_minus_shared_sampling,0.4757033830181733,-0.34681449412928445,0.06444444444444444,0.16554064064061036,0.6566783619583152,-0.47445613973609296,0.0911111111111111,0.22765308239935153,0.1628534007387635,-0.15576881171912446,0.0035422945098195304,0.06412617480793252,0.7557570476484274,-0.831312603203983,-0.037777777777777764,0.31941497448605316,0.18188412056301587,-0.12506701208014157,0.02840855424143714,0.06177724345558475,0.9148732498340001,-0.9526510276117782,-0.018888888888889028,0.37585950881994473,0.0,0.0,0.0,0.0,21.68643309822766,-15.707290579633558,2.989571259297051,7.525892318643617,24.25033747923875,-21.549782166675197,1.3502776562817764,9.217770650645647,0.4216694160950325,-0.31722497165058805,0.052222222222222225,0.14871050673982258,0.08820235794356013,-0.10375791349911567,-0.007777777777777772,0.03863408589047496,1.0,0.11180477706011846,-0.07328625854159995,0.019259259259259254,0.037251577700176175,0.2761078631919099,-0.30914983850055183,-0.016520987654320973,0.11778945791916491,0.06493799650649917,-0.049481206383042306,0.0077283950617284365,0.023028105132026206,0.7,0.10354044856731154,-0.11593119083613876,-0.006195371134413615,0.04417104697504201,3,,,,,,,,,0.7374135727130112,0.29800142955885256,0.5177075011359319,0.08843645798346869,,,,,,,,,0.04187407232544763,-0.029684617154366152,0.0060947275855407395,0.014401962108073667,0.0,0.0,0.0,0.0,0.14575690804572422,-0.17543468652816135,-0.014838889241218567,0.0646432908164111,0.38868509492673414,-0.467825835667475,-0.0395703703703704,0.1723821112046561,0.0029350943941271524,-0.00199682278918888,0.000469135802469136,0.0009926018057431277,"42,43,44"
0.0,0.0,0.0,0.0,0.156764163554312,-0.14626045985060826,0.005251851851851855,0.06098699089957554,qmix_minus_shared_ddqn,0.20885986127771128,0.0644734720556221,0.1366666666666667,0.029059326290271185,0.29179576994714695,0.1326486744972975,0.21222222222222223,0.03203007845644352,0.25781548885089134,-0.23823765151940887,0.00978891866574122,0.09983607278357612,0.9101636711902411,-0.9079414489680185,0.0011111111111112848,0.36591336760576626,0.21133926845668555,-0.07034576605762471,0.07049675119953042,0.05669216726825217,1.1776481362571256,-1.1420925807015703,0.017777777777777597,0.4668729702717541,0.0,0.0,0.0,0.0,36.25047071317784,-45.812277644852834,-4.780903465837494,16.516017843928488,39.46705545922871,-47.33685167907222,-3.934898109921752,17.470227452826858,0.22714426828225898,-0.05603315717114789,0.08555555555555554,0.05699252712547628,0.11123604413131671,-0.14012493302020546,-0.014444444444444371,0.05058912194592099,1.0,0.11148947664350067,-0.0961191062731303,0.007685185185185184,0.04178347823599592,0.35039870992567457,-0.40131722844419304,-0.025459259259259254,0.1512909828161661,0.11864030144349803,-0.1015193137891771,0.008560493827160473,0.044309509569812715,0.7,0.1313995170059222,-0.15049396192488587,-0.009547222459481844,0.056734118967058614,3,,,,,,,,,7.220122880478788,-5.727994093707266,0.7460643933857612,2.6059489265204787,,,,,,,,,0.06259569508546761,-0.052085677902002074,0.0052550085917327655,0.023080869706722577,0.0,0.0,0.0,0.0,0.1866770469490759,-0.23176037859692222,-0.02254166582392318,0.08421506865372856,0.49780545313615154,-0.618027675358374,-0.060111111111111226,0.22457351514304552,0.0016409757004057276,5.7789731693037904e-05,0.0008493827160493827,0.00031863334134795833,"42,43,44"
0.0,0.0,0.0,0.0,0.11720727229399533,-0.13014060562732865,-0.006466666666666667,0.04978144221520767,shared_bdqn_mean_minus_shared_ddqn,0.2089814331670639,-0.10453698872261952,0.052222222222222205,0.06309898162000303,0.25145391070706186,-0.08034279959595077,0.08555555555555554,0.06677768533918543,0.2207480553059232,-0.25829960706434385,-0.018775775879210328,0.09641353596007482,1.443176961596977,-1.5365102949303098,-0.04666666666666649,0.599694366601299,0.20724447336855273,-0.14971241703027238,0.028766028169140173,0.07184144437399026,1.8494783059219817,-1.9317005281442043,-0.04111111111111132,0.7610032364753292,0.0,0.0,0.0,0.0,38.51948372625648,-45.41647540965593,-3.4484958416997245,16.89302182261508,40.272991011433895,-35.274235462855565,2.4993777742891683,15.204698422540313,0.1488718828049394,-0.0666496605827172,0.0411111111111111,0.04337604732431808,0.1568026533563476,-0.17458043113412527,-0.008888888888888835,0.06669443865981746,1.0,0.11143946601404955,-0.09477279934738289,0.008333333333333331,0.04150245418892362,0.5347720260942481,-0.6178386927609147,-0.04153333333333331,0.2319754039513861,0.1876696742249501,-0.1556351063237155,0.0160172839506173,0.06909380924838164,0.7,0.2005395111837126,-0.23168951050918674,-0.015574999662737057,0.08699077690888822,3,,,,,,,,,6.983387454179802,-5.662551253690479,0.6604181002446614,2.5451322741614275,,,,,,,,,0.04067560793985938,-0.05109966640188459,-0.005212029231012605,0.018470769002843702,0.0,0.0,0.0,0.0,0.3414539691794934,-0.3822428585412457,-0.020394444680876162,0.1456518330105439,0.9105438999943317,-1.0193142703647022,-0.054385185185185314,0.3884048806023427,0.0012197343012019335,-0.00043948738762168666,0.0003901234567901234,0.0003339363544111954,"42,43,44"
0.0,0.0,0.0,0.0,0.10224558459679499,-0.11648755990543698,-0.0071209876543209955,0.044022416869297094,shared_bdqn_sample_minus_shared_ddqn,0.1379531804349714,-0.062397624879415844,0.03777777777777777,0.04032277180360903,0.21974921815335502,-0.061971440375577266,0.07888888888888888,0.056699336987435865,0.2279170047395719,-0.23513060013791762,-0.0036067976991728625,0.0931933509145817,1.2183486599960858,-1.076126437773863,0.07111111111111142,0.46178799047630936,0.09994015382904545,-0.07461479838447627,0.012662677722284585,0.03513107668447328,1.3954892761669984,-1.2266003872781097,0.08444444444444432,0.5277239738656873,0.0,0.0,0.0,0.0,54.99426108575133,-58.769770934050754,-1.8877549241497107,22.896244891028328,29.058856970243532,-29.177594048815834,-0.05936853928615212,11.720717176098901,0.13855167630165882,-0.0941072318572144,0.022222222222222216,0.04682512779045661,0.14137089272161096,-0.16803755938827752,-0.013333333333333272,0.06227180564089805,1.0,0.0932016035678698,-0.07616456653083278,0.008518518518518509,0.03408677802629626,0.4220034657002141,-0.44752445335453495,-0.012760493827160454,0.1750019212645205,0.14078914797931988,-0.12648297513981374,0.007153086419753059,0.05379141258298208,0.7,0.15825129834830073,-0.1678216696830522,-0.004785185667375735,0.06562572014932437,3,,,,,,,,,5.44611153984445,-4.455492841520959,0.49530934916174524,1.99280523645962,,,,,,,,,0.039352214947629485,-0.055004127572830644,-0.00782595631260058,0.018990236958146473,0.0,0.0,0.0,0.0,0.24483431836855665,-0.2560287629156534,-0.005597222273548382,0.10080412554261588,0.6528914986100347,-0.6827433504618867,-0.014925925925926009,0.2688109945331347,0.0010855532336423812,-0.00046826928302509744,0.00030864197530864186,0.0003127236282608194,"42,43,44"
