boundary_hit_ratio_difference,collision_agent_ratio_difference,comparison,completed_mean_difference,completed_value_mean_difference,coverage_overlap_ratio_mean_difference,detected_mean_difference,detected_to_completed_ratio_difference,detected_value_mean_difference,detection_probability,episode_length_mean_difference,first_completion_step_mean_difference,first_detection_step_mean_difference,had_completion_mean_difference,had_detection_mean_difference,knowledge_overlap_ratio_mean_difference,left_algo,left_policy_mode,local_new_observed_cells_per_decision_difference,local_sensor_revisit_ratio_difference,mean_local_coverage_ratio_mean_difference,new_observed_cells_per_step_difference,revisit_ratio_difference,reward_mean_difference,right_algo,right_policy_mode,scope,sensor_coverage_ratio_mean_difference,sensor_revisit_ratio_difference,simultaneous_sensor_overlap_ratio_mean_difference,stay_ratio_difference,team_coverage_ratio_mean_difference,team_new_observed_cells_per_env_step_difference,tracking_progress_ratio_difference,training_seed
0.0,,bdqn_mean_minus_ddqn,0.12,0.13666666666666666,,-0.5800000000000001,0.1168488160291439,-0.7133333333333334,0.7,0.0,9.740909090909085,-3.462008314678606,0.11666666666666665,-0.09666666666666668,,bdqn,posterior_mean,,,,-0.4270222222222222,0.0,1.7322390249326913,ddqn,deterministic,single,-0.16013333238661287,0.13637777777777782,,0.0,,,0.0024222222222222223,42
0.0,,bdqn_mean_minus_ddqn,0.08666666666666667,0.11333333333333337,,-0.7933333333333334,0.15194940054753137,-0.9766666666666668,0.7,0.0,7.214285714285715,8.382564879578567,0.07666666666666666,-0.19333333333333325,,bdqn,posterior_mean,,,,-0.5643111111111112,0.0,2.266923332592036,ddqn,deterministic,single,-0.21161666679506502,0.16457777777777782,,0.0,,,0.001511111111111111,43
0.0,,bdqn_mean_minus_ddqn,0.18333333333333332,0.24,,-0.1499999999999999,0.14907027466637093,-0.18333333333333335,0.7,0.0,3.95961369622475,13.187752701609938,0.16666666666666666,0.07000000000000006,,bdqn,posterior_mean,,,,-0.16497777777777778,-0.0008222222222222797,1.8596527816332018,ddqn,deterministic,single,-0.06186666926989953,0.05704444444444445,,0.0,,,0.0040888888888888884,44
0.0,,bdqn_mean_minus_ddqn,0.06333333333333332,0.07666666666666666,,-0.6699999999999999,0.05365746635922497,-0.7900000000000003,1.0,0.0,26.375,2.887504475474401,0.06,-0.1333333333333333,,bdqn,posterior_mean,,,,-0.4834222222222222,0.0,1.887413055556192,ddqn,deterministic,single,-0.1812833334505558,0.14942222222222223,,0.0,,,0.0013555555555555556,42
0.0,,bdqn_mean_minus_ddqn,0.15333333333333332,0.18666666666666668,,-0.43999999999999995,0.11458859162039373,-0.5933333333333335,1.0,0.0,16.049999999999997,8.53249299719888,0.15000000000000002,-0.08333333333333337,,bdqn,posterior_mean,,,,-0.3200222222222222,-2.2222222222256782e-05,1.9797158314816938,ddqn,deterministic,single,-0.12000833337505656,0.13280000000000003,,0.0,,,0.003066666666666667,43
0.0,,bdqn_mean_minus_ddqn,0.15666666666666668,0.1733333333333333,,-0.6333333333333333,0.1293308511738546,-0.8233333333333335,1.0,0.0,19.314814814814817,9.1579559165416,0.13999999999999999,-0.1366666666666666,,bdqn,posterior_mean,,,,-0.4227333333333334,0.0,2.7124216668938885,ddqn,deterministic,single,-0.15852499961853023,0.12519999999999998,,0.0,,,0.0030666666666666663,44
0.0,,bdqn_sample_minus_ddqn,0.06666666666666665,0.08333333333333333,,-0.7566666666666668,0.09210152644657438,-0.9233333333333336,0.7,0.0,3.2987804878048763,-1.0764150943396231,0.06999999999999999,-0.17666666666666664,,bdqn,posterior_sample,,,,-0.5239555555555555,0.000200000000000089,2.0155952739081413,ddqn,deterministic,single,-0.19648333240300414,0.1508222222222222,,0.0,,,0.0013333333333333335,42
0.0,,bdqn_sample_minus_ddqn,0.009999999999999981,0.01666666666666669,,-0.8166666666666668,0.07824685787947148,-0.9966666666666668,0.7,0.0,15.52325581395349,5.7912511555634225,0.010000000000000009,-0.2666666666666666,,bdqn,posterior_sample,,,,-0.5702666666666667,0.00011111111111117289,1.980514581177073,ddqn,deterministic,single,-0.21385000011573235,0.15526666666666666,,0.0,,,2.222222222222252e-05,43
0.0,,bdqn_sample_minus_ddqn,0.11666666666666667,0.15000000000000002,,-0.33666666666666667,0.12009389671361503,-0.4033333333333333,0.7,0.0,-7.334933973589436,6.730367883025522,0.10666666666666666,-0.039999999999999925,,bdqn,posterior_sample,,,,-0.3014444444444444,-0.00042222222222221273,1.572317641867094,ddqn,deterministic,single,-0.11304166816174988,0.08635555555555563,,0.0,,,0.0024444444444444444,44
0.0,,bdqn_sample_minus_ddqn,0.03333333333333334,0.036666666666666674,,-0.9799999999999999,0.04339366184076207,-1.1666666666666667,1.0,0.0,39.9375,9.147030011577172,0.03333333333333334,-0.29333333333333333,,bdqn,posterior_sample,,,,-0.5601777777777778,0.0004888888888889831,2.380405689822083,ddqn,deterministic,single,-0.21006666508192817,0.1630666666666667,,0.0,,,0.0008666666666666667,42
0.0,,bdqn_sample_minus_ddqn,0.049999999999999996,0.06333333333333332,,-0.78,0.06510494273915449,-1.0266666666666666,1.0,0.0,19.4,9.619747899159663,0.05,-0.2533333333333333,,bdqn,posterior_sample,,,,-0.5336666666666667,0.0009111111111110848,2.11788222158221,ddqn,deterministic,single,-0.20012500001738465,0.18417777777777777,,0.0,,,0.0010666666666666665,43
0.0,,bdqn_sample_minus_ddqn,0.04666666666666666,0.06333333333333332,,-0.8800000000000001,0.061666631335721714,-1.1366666666666667,1.0,0.0,33.910256410256416,12.080673758865249,0.04666666666666667,-0.21999999999999997,,bdqn,posterior_sample,,,,-0.5242000000000001,0.00042222222222221273,2.653402915235948,ddqn,deterministic,single,-0.19657499924302096,0.14206666666666667,,0.0,,,0.0011777777777777776,44
