Using device: cuda
torch threads: 1
train_every: 4, learning_starts: 1000
reward_version: v2_frontier
reward_config:
  reward_version: v2_frontier
  step_penalty: -0.005
  new_cell_bonus: 0.002
  revisit_penalty: 0.0
  new_observed_cell_bonus: 0.015
  new_observed_cell_bonus_cap: 0.15
  boundary_penalty: -0.2
  idle_stay_penalty: -0.03
  detect_value1_bonus: 0.6
  detect_value2_bonus: 1.5
  track_progress_value1_bonus: 0.15
  track_progress_value2_bonus: 0.45
  complete_value1_bonus: 3.0
  complete_value2_bonus: 10.0
  all_targets_bonus: 5.0

[Eval 500] {'eval_reward': -8.321700000000005, 'eval_detected': 1.3, 'eval_completed': 0.1, 'eval_detected_value': 1.7, 'eval_completed_value': 0.1, 'eval_sensor_coverage': 0.3552500009536743, 'stay_ratio': 0.33266666666666667, 'boundary_hit_ratio': 0.328, 'revisit_ratio': 0.994, 'sensor_revisit_ratio': 0.7666666666666667, 'new_observed_cells_per_step': 0.9406666666666667, 'tracking_progress_ratio': 0.007333333333333333}

[Best] episode=550 score=2.925 metrics={'eval_reward': 0.12450000000000476, 'eval_detected': 1.6, 'eval_completed': 0.6, 'eval_detected_value': 2.0, 'eval_completed_value': 0.8, 'eval_sensor_coverage': 0.36675000190734863, 'stay_ratio': 0.48333333333333334, 'boundary_hit_ratio': 0.13933333333333334, 'revisit_ratio': 0.9933333333333333, 'sensor_revisit_ratio': 0.7593333333333333, 'new_observed_cells_per_step': 0.9713333333333334, 'tracking_progress_ratio': 0.015333333333333332}

[Eval 550] {'eval_reward': 0.12450000000000476, 'eval_detected': 1.6, 'eval_completed': 0.6, 'eval_detected_value': 2.0, 'eval_completed_value': 0.8, 'eval_sensor_coverage': 0.36675000190734863, 'stay_ratio': 0.48333333333333334, 'boundary_hit_ratio': 0.13933333333333334, 'revisit_ratio': 0.9933333333333333, 'sensor_revisit_ratio': 0.7593333333333333, 'new_observed_cells_per_step': 0.9713333333333334, 'tracking_progress_ratio': 0.015333333333333332}

[Eval 600] {'eval_reward': -5.867500000000004, 'eval_detected': 1.8, 'eval_completed': 0.6, 'eval_detected_value': 2.4, 'eval_completed_value': 0.8, 'eval_sensor_coverage': 0.3370000034570694, 'stay_ratio': 0.204, 'boundary_hit_ratio': 0.38666666666666666, 'revisit_ratio': 0.9933333333333333, 'sensor_revisit_ratio': 0.772, 'new_observed_cells_per_step': 0.892, 'tracking_progress_ratio': 0.016666666666666666}

[Eval 650] {'eval_reward': -1.0227000000000177, 'eval_detected': 1.6, 'eval_completed': 0.6, 'eval_detected_value': 2.2, 'eval_completed_value': 0.9, 'eval_sensor_coverage': 0.39325000047683717, 'stay_ratio': 0.2713333333333333, 'boundary_hit_ratio': 0.246, 'revisit_ratio': 0.994, 'sensor_revisit_ratio': 0.7226666666666667, 'new_observed_cells_per_step': 1.042, 'tracking_progress_ratio': 0.014666666666666666}

[Eval 700] {'eval_reward': -2.0630000000000033, 'eval_detected': 2.0, 'eval_completed': 0.6, 'eval_detected_value': 2.2, 'eval_completed_value': 0.6, 'eval_sensor_coverage': 0.44950000047683714, 'stay_ratio': 0.23466666666666666, 'boundary_hit_ratio': 0.21933333333333332, 'revisit_ratio': 0.9933333333333333, 'sensor_revisit_ratio': 0.6886666666666666, 'new_observed_cells_per_step': 1.192, 'tracking_progress_ratio': 0.017333333333333333}

[Eval 750] {'eval_reward': -5.472999999999998, 'eval_detected': 1.5, 'eval_completed': 0.3, 'eval_detected_value': 1.6, 'eval_completed_value': 0.4, 'eval_sensor_coverage': 0.33050000220537185, 'stay_ratio': 0.36466666666666664, 'boundary_hit_ratio': 0.2653333333333333, 'revisit_ratio': 0.9933333333333333, 'sensor_revisit_ratio': 0.784, 'new_observed_cells_per_step': 0.8746666666666667, 'tracking_progress_ratio': 0.011333333333333334}

[Eval 800] {'eval_reward': -0.21500000000000044, 'eval_detected': 1.6, 'eval_completed': 0.3, 'eval_detected_value': 2.1, 'eval_completed_value': 0.4, 'eval_sensor_coverage': 0.40349999666213987, 'stay_ratio': 0.3586666666666667, 'boundary_hit_ratio': 0.12266666666666666, 'revisit_ratio': 0.9933333333333333, 'sensor_revisit_ratio': 0.7226666666666667, 'new_observed_cells_per_step': 1.0693333333333332, 'tracking_progress_ratio': 0.011333333333333334}

[Eval 850] {'eval_reward': -1.9990000000000059, 'eval_detected': 1.0, 'eval_completed': 0.4, 'eval_detected_value': 1.2, 'eval_completed_value': 0.6, 'eval_sensor_coverage': 0.3857499986886978, 'stay_ratio': 0.25533333333333336, 'boundary_hit_ratio': 0.20466666666666666, 'revisit_ratio': 0.9933333333333333, 'sensor_revisit_ratio': 0.7453333333333333, 'new_observed_cells_per_step': 1.022, 'tracking_progress_ratio': 0.008666666666666666}

[Eval 900] {'eval_reward': 0.688999999999996, 'eval_detected': 1.2, 'eval_completed': 0.5, 'eval_detected_value': 1.7, 'eval_completed_value': 0.7, 'eval_sensor_coverage': 0.385249999165535, 'stay_ratio': 0.36533333333333334, 'boundary_hit_ratio': 0.12466666666666666, 'revisit_ratio': 0.9933333333333333, 'sensor_revisit_ratio': 0.756, 'new_observed_cells_per_step': 1.0206666666666666, 'tracking_progress_ratio': 0.011333333333333334}

[Eval 950] {'eval_reward': -0.7759999999999988, 'eval_detected': 1.5, 'eval_completed': 0.5, 'eval_detected_value': 1.7, 'eval_completed_value': 0.5, 'eval_sensor_coverage': 0.38399999886751174, 'stay_ratio': 0.3393333333333333, 'boundary_hit_ratio': 0.12133333333333333, 'revisit_ratio': 0.9933333333333333, 'sensor_revisit_ratio': 0.7413333333333333, 'new_observed_cells_per_step': 1.0173333333333334, 'tracking_progress_ratio': 0.012}

[Eval 1000] {'eval_reward': -3.573200000000015, 'eval_detected': 1.3, 'eval_completed': 0.6, 'eval_detected_value': 1.6, 'eval_completed_value': 0.7, 'eval_sensor_coverage': 0.33250000029802323, 'stay_ratio': 0.282, 'boundary_hit_ratio': 0.25, 'revisit_ratio': 0.994, 'sensor_revisit_ratio': 0.7686666666666667, 'new_observed_cells_per_step': 0.88, 'tracking_progress_ratio': 0.013333333333333334}
Training complete.
Best checkpoint: runs/v2_frontier/dqn_seed42_1000/best.pt at episode 550, score=2.925
