Using device: cuda
torch threads: 1
train_every: 4, learning_starts: 1000
reward_version: v3_frontier_400
reward_config:
  reward_version: v3_frontier_400
  step_penalty: -0.005
  new_cell_bonus: 0.002
  revisit_penalty: 0.0
  new_observed_cell_bonus: 0.015
  new_observed_cell_bonus_cap: 0.15
  boundary_penalty: -0.2
  idle_stay_penalty: -0.03
  detect_value1_bonus: 0.6
  detect_value2_bonus: 1.5
  track_progress_value1_bonus: 0.2
  track_progress_value2_bonus: 0.6
  complete_value1_bonus: 4.0
  complete_value2_bonus: 12.0
  all_targets_bonus: 5.0

[Best] episode=50 score=-21.326 metrics={'eval_reward': -22.72599999999978, 'eval_detected': 1.0, 'eval_completed': 0.2, 'eval_detected_value': 1.0, 'eval_completed_value': 0.2, 'eval_sensor_coverage': 0.16700000017881395, 'stay_ratio': 0.67425, 'boundary_hit_ratio': 0.18975, 'revisit_ratio': 0.9975, 'sensor_revisit_ratio': 0.967, 'new_observed_cells_per_step': 0.1645, 'tracking_progress_ratio': 0.00225}

[Eval 50] {'eval_reward': -22.72599999999978, 'eval_detected': 1.0, 'eval_completed': 0.2, 'eval_detected_value': 1.0, 'eval_completed_value': 0.2, 'eval_sensor_coverage': 0.16700000017881395, 'stay_ratio': 0.67425, 'boundary_hit_ratio': 0.18975, 'revisit_ratio': 0.9975, 'sensor_revisit_ratio': 0.967, 'new_observed_cells_per_step': 0.1645, 'tracking_progress_ratio': 0.00225}

[Best] episode=100 score=-12.308 metrics={'eval_reward': -12.958000000000045, 'eval_detected': 0.4, 'eval_completed': 0.1, 'eval_detected_value': 0.5, 'eval_completed_value': 0.1, 'eval_sensor_coverage': 0.041249999403953554, 'stay_ratio': 0.9975, 'boundary_hit_ratio': 0.0, 'revisit_ratio': 1.0, 'sensor_revisit_ratio': 0.995, 'new_observed_cells_per_step': 0.03875, 'tracking_progress_ratio': 0.00075}

[Eval 100] {'eval_reward': -12.958000000000045, 'eval_detected': 0.4, 'eval_completed': 0.1, 'eval_detected_value': 0.5, 'eval_completed_value': 0.1, 'eval_sensor_coverage': 0.041249999403953554, 'stay_ratio': 0.9975, 'boundary_hit_ratio': 0.0, 'revisit_ratio': 1.0, 'sensor_revisit_ratio': 0.995, 'new_observed_cells_per_step': 0.03875, 'tracking_progress_ratio': 0.00075}

[Best] episode=150 score=0.140 metrics={'eval_reward': -2.9100000000000086, 'eval_detected': 1.6, 'eval_completed': 0.5, 'eval_detected_value': 2.0, 'eval_completed_value': 0.5, 'eval_sensor_coverage': 0.30049999952316286, 'stay_ratio': 0.5435, 'boundary_hit_ratio': 0.0, 'revisit_ratio': 0.9975, 'sensor_revisit_ratio': 0.93325, 'new_observed_cells_per_step': 0.298, 'tracking_progress_ratio': 0.006}

[Eval 150] {'eval_reward': -2.9100000000000086, 'eval_detected': 1.6, 'eval_completed': 0.5, 'eval_detected_value': 2.0, 'eval_completed_value': 0.5, 'eval_sensor_coverage': 0.30049999952316286, 'stay_ratio': 0.5435, 'boundary_hit_ratio': 0.0, 'revisit_ratio': 0.9975, 'sensor_revisit_ratio': 0.93325, 'new_observed_cells_per_step': 0.298, 'tracking_progress_ratio': 0.006}

[Best] episode=200 score=1.285 metrics={'eval_reward': -1.2649999999999169, 'eval_detected': 1.8, 'eval_completed': 0.3, 'eval_detected_value': 2.2, 'eval_completed_value': 0.5, 'eval_sensor_coverage': 0.2780000023543835, 'stay_ratio': 0.043, 'boundary_hit_ratio': 0.06475, 'revisit_ratio': 0.9975, 'sensor_revisit_ratio': 0.9285, 'new_observed_cells_per_step': 0.2755, 'tracking_progress_ratio': 0.004}

[Eval 200] {'eval_reward': -1.2649999999999169, 'eval_detected': 1.8, 'eval_completed': 0.3, 'eval_detected_value': 2.2, 'eval_completed_value': 0.5, 'eval_sensor_coverage': 0.2780000023543835, 'stay_ratio': 0.043, 'boundary_hit_ratio': 0.06475, 'revisit_ratio': 0.9975, 'sensor_revisit_ratio': 0.9285, 'new_observed_cells_per_step': 0.2755, 'tracking_progress_ratio': 0.004}

