Using device: cuda
torch threads: 1
train_every: 4, learning_starts: 1000
reward_version: v3_frontier_400
reward_config:
  reward_version: v3_frontier_400
  step_penalty: -0.005
  new_cell_bonus: 0.002
  revisit_penalty: 0.0
  new_observed_cell_bonus: 0.015
  new_observed_cell_bonus_cap: 0.15
  boundary_penalty: -0.2
  idle_stay_penalty: -0.03
  detect_value1_bonus: 0.6
  detect_value2_bonus: 1.5
  track_progress_value1_bonus: 0.2
  track_progress_value2_bonus: 0.6
  complete_value1_bonus: 4.0
  complete_value2_bonus: 12.0
  all_targets_bonus: 5.0

[Best] episode=50 score=-30.240 metrics={'eval_reward': -35.98999999999981, 'eval_detected': 1.6, 'eval_completed': 1.0, 'eval_detected_value': 2.0, 'eval_completed_value': 1.3, 'eval_sensor_coverage': 0.2785000026226044, 'stay_ratio': 0.152, 'boundary_hit_ratio': 0.532, 'revisit_ratio': 0.9975, 'sensor_revisit_ratio': 0.93375, 'new_observed_cells_per_step': 0.276, 'tracking_progress_ratio': 0.0085}

[Eval 50] {'eval_reward': -35.98999999999981, 'eval_detected': 1.6, 'eval_completed': 1.0, 'eval_detected_value': 2.0, 'eval_completed_value': 1.3, 'eval_sensor_coverage': 0.2785000026226044, 'stay_ratio': 0.152, 'boundary_hit_ratio': 0.532, 'revisit_ratio': 0.9975, 'sensor_revisit_ratio': 0.93375, 'new_observed_cells_per_step': 0.276, 'tracking_progress_ratio': 0.0085}

[Best] episode=100 score=-5.980 metrics={'eval_reward': -9.830499999999985, 'eval_detected': 1.4, 'eval_completed': 0.7, 'eval_detected_value': 1.6, 'eval_completed_value': 0.7, 'eval_sensor_coverage': 0.27724999710917475, 'stay_ratio': 0.33525, 'boundary_hit_ratio': 0.12275, 'revisit_ratio': 0.9975, 'sensor_revisit_ratio': 0.9335, 'new_observed_cells_per_step': 0.27475, 'tracking_progress_ratio': 0.0065}

[Eval 100] {'eval_reward': -9.830499999999985, 'eval_detected': 1.4, 'eval_completed': 0.7, 'eval_detected_value': 1.6, 'eval_completed_value': 0.7, 'eval_sensor_coverage': 0.27724999710917475, 'stay_ratio': 0.33525, 'boundary_hit_ratio': 0.12275, 'revisit_ratio': 0.9975, 'sensor_revisit_ratio': 0.9335, 'new_observed_cells_per_step': 0.27475, 'tracking_progress_ratio': 0.0065}

[Best] episode=150 score=-3.734 metrics={'eval_reward': -5.6335000000000495, 'eval_detected': 0.8, 'eval_completed': 0.3, 'eval_detected_value': 1.0, 'eval_completed_value': 0.4, 'eval_sensor_coverage': 0.15474999956786634, 'stay_ratio': 0.6285, 'boundary_hit_ratio': 0.0, 'revisit_ratio': 0.9975, 'sensor_revisit_ratio': 0.96575, 'new_observed_cells_per_step': 0.15225, 'tracking_progress_ratio': 0.003}

[Eval 150] {'eval_reward': -5.6335000000000495, 'eval_detected': 0.8, 'eval_completed': 0.3, 'eval_detected_value': 1.0, 'eval_completed_value': 0.4, 'eval_sensor_coverage': 0.15474999956786634, 'stay_ratio': 0.6285, 'boundary_hit_ratio': 0.0, 'revisit_ratio': 0.9975, 'sensor_revisit_ratio': 0.96575, 'new_observed_cells_per_step': 0.15225, 'tracking_progress_ratio': 0.003}

[Eval 200] {'eval_reward': -21.612199999999923, 'eval_detected': 1.3, 'eval_completed': 0.1, 'eval_detected_value': 1.6, 'eval_completed_value': 0.1, 'eval_sensor_coverage': 0.20825000032782554, 'stay_ratio': 0.49275, 'boundary_hit_ratio': 0.207, 'revisit_ratio': 0.99775, 'sensor_revisit_ratio': 0.95, 'new_observed_cells_per_step': 0.20575, 'tracking_progress_ratio': 0.002}

[Eval 250] {'eval_reward': -20.994999999999877, 'eval_detected': 1.6, 'eval_completed': 0.2, 'eval_detected_value': 1.9, 'eval_completed_value': 0.2, 'eval_sensor_coverage': 0.22825000137090684, 'stay_ratio': 0.4185, 'boundary_hit_ratio': 0.21925, 'revisit_ratio': 0.9975, 'sensor_revisit_ratio': 0.9465, 'new_observed_cells_per_step': 0.22575, 'tracking_progress_ratio': 0.0025}

[Eval 300] {'eval_reward': -20.8399999999999, 'eval_detected': 1.5, 'eval_completed': 0.5, 'eval_detected_value': 1.9, 'eval_completed_value': 0.6, 'eval_sensor_coverage': 0.3087499961256981, 'stay_ratio': 0.10975, 'boundary_hit_ratio': 0.2985, 'revisit_ratio': 0.9975, 'sensor_revisit_ratio': 0.91575, 'new_observed_cells_per_step': 0.30625, 'tracking_progress_ratio': 0.0045}

