Using device: cuda
torch threads: 1
train_every: 4, learning_starts: 1000
reward_version: v3_frontier_new_bdqn
reward_config:
  reward_version: v3_frontier_new_bdqn
  step_penalty: -0.005
  new_cell_bonus: 0.002
  revisit_penalty: 0.0
  new_observed_cell_bonus: 0.015
  new_observed_cell_bonus_cap: 0.15
  boundary_penalty: -0.2
  idle_stay_penalty: -0.03
  detect_value1_bonus: 0.6
  detect_value2_bonus: 1.5
  track_progress_value1_bonus: 0.2
  track_progress_value2_bonus: 0.6
  complete_value1_bonus: 4.0
  complete_value2_bonus: 12.0
  all_targets_bonus: 5.0

[Best] episode=50 score=9.140 metrics={'eval_reward': 4.639799999999996, 'eval_detected': 1.8, 'eval_completed': 0.7, 'eval_detected_value': 2.6, 'eval_completed_value': 1.0, 'eval_sensor_coverage': 0.38950000107288363, 'stay_ratio': 0.488, 'boundary_hit_ratio': 0.09466666666666666, 'revisit_ratio': 0.994, 'sensor_revisit_ratio': 0.7513333333333333, 'new_observed_cells_per_step': 1.032, 'tracking_progress_ratio': 0.02}
[Eval 600] {'eval_reward': 4.240000000000001, 'eval_detected': 1.8, 'eval_completed': 0.6, 'eval_detected_value': 2.3, 'eval_completed_value': 0.8, 'eval_sensor_coverage': 0.36549999564886093, 'stay_ratio': 0.27666666666666667, 'boundary_hit_ratio': 0.076, 'revisit_ratio': 0.9933333333333333, 'sensor_revisit_ratio': 0.7586666666666667, 'new_observed_cells_per_step': 0.968, 'tracking_progress_ratio': 0.018}

[Eval 650] {'eval_reward': 2.4159999999999973, 'eval_detected': 1.0, 'eval_completed': 0.5, 'eval_detected_value': 1.2, 'eval_completed_value': 0.7, 'eval_sensor_coverage': 0.3052499987185001, 'stay_ratio': 0.4886666666666667, 'boundary_hit_ratio': 0.048, 'revisit_ratio': 0.9933333333333333, 'sensor_revisit_ratio': 0.7946666666666666, 'new_observed_cells_per_step': 0.8073333333333333, 'tracking_progress_ratio': 0.012666666666666666}

[Eval 700] {'eval_reward': -2.2909000000000006, 'eval_detected': 2.0, 'eval_completed': 0.4, 'eval_detected_value': 2.5, 'eval_completed_value': 0.5, 'eval_sensor_coverage': 0.41299999952316285, 'stay_ratio': 0.30466666666666664, 'boundary_hit_ratio': 0.24733333333333332, 'revisit_ratio': 0.9946666666666667, 'sensor_revisit_ratio': 0.732, 'new_observed_cells_per_step': 1.0946666666666667, 'tracking_progress_ratio': 0.016666666666666666}

[Eval 750] {'eval_reward': -1.902400000000004, 'eval_detected': 1.5, 'eval_completed': 0.7, 'eval_detected_value': 2.0, 'eval_completed_value': 0.9, 'eval_sensor_coverage': 0.38375000208616256, 'stay_ratio': 0.29533333333333334, 'boundary_hit_ratio': 0.2866666666666667, 'revisit_ratio': 0.9946666666666667, 'sensor_revisit_ratio': 0.72, 'new_observed_cells_per_step': 1.0166666666666666, 'tracking_progress_ratio': 0.016}

[Eval 800] {'eval_reward': 2.7976000000000045, 'eval_detected': 2.3, 'eval_completed': 0.7, 'eval_detected_value': 2.9, 'eval_completed_value': 0.9, 'eval_sensor_coverage': 0.40150000602006913, 'stay_ratio': 0.29933333333333334, 'boundary_hit_ratio': 0.15933333333333333, 'revisit_ratio': 0.9946666666666667, 'sensor_revisit_ratio': 0.7146666666666667, 'new_observed_cells_per_step': 1.064, 'tracking_progress_ratio': 0.022}

[Eval 850] {'eval_reward': -0.5400999999999987, 'eval_detected': 1.9, 'eval_completed': 0.7, 'eval_detected_value': 2.5, 'eval_completed_value': 1.0, 'eval_sensor_coverage': 0.34199999570846557, 'stay_ratio': 0.25733333333333336, 'boundary_hit_ratio': 0.2866666666666667, 'revisit_ratio': 0.9953333333333333, 'sensor_revisit_ratio': 0.766, 'new_observed_cells_per_step': 0.9053333333333333, 'tracking_progress_ratio': 0.020666666666666667}

[Eval 900] {'eval_reward': -0.8106999999999978, 'eval_detected': 2.4, 'eval_completed': 0.6, 'eval_detected_value': 3.1, 'eval_completed_value': 0.7, 'eval_sensor_coverage': 0.3677499949932098, 'stay_ratio': 0.26666666666666666, 'boundary_hit_ratio': 0.23733333333333334, 'revisit_ratio': 0.994, 'sensor_revisit_ratio': 0.7446666666666667, 'new_observed_cells_per_step': 0.974, 'tracking_progress_ratio': 0.020666666666666667}

[Eval 950] {'eval_reward': 1.4245999999999892, 'eval_detected': 1.6, 'eval_completed': 0.5, 'eval_detected_value': 2.1, 'eval_completed_value': 0.6, 'eval_sensor_coverage': 0.3865000009536743, 'stay_ratio': 0.466, 'boundary_hit_ratio': 0.098, 'revisit_ratio': 0.9946666666666667, 'sensor_revisit_ratio': 0.7526666666666667, 'new_observed_cells_per_step': 1.024, 'tracking_progress_ratio': 0.016}

[Eval 1000] {'eval_reward': 0.9171000000000001, 'eval_detected': 2.1, 'eval_completed': 0.4, 'eval_detected_value': 2.6, 'eval_completed_value': 0.4, 'eval_sensor_coverage': 0.3630000054836273, 'stay_ratio': 0.33066666666666666, 'boundary_hit_ratio': 0.10133333333333333, 'revisit_ratio': 0.9946666666666667, 'sensor_revisit_ratio': 0.7513333333333333, 'new_observed_cells_per_step': 0.9613333333333334, 'tracking_progress_ratio': 0.018}
Training complete.
Best checkpoint: runs/v3_frontier_new_bdqn/bdqn_seed44_1000/best.pt at episode 50, score=9.140
