metric,n_training_seeds,mean,std,ci95_low,ci95_high
reward_mean,6,22.252786166666656,2.8159663849792222,19.297129954138303,25.20844237919501
detected_mean,6,2.996333333333333,0.17433263224843107,2.813352694679403,3.1793139719872627
completed_mean,6,2.481333333333333,0.20064462780415196,2.2707354569371074,2.691931209729559
detected_value_mean,6,3.7424999999999997,0.21914812342340517,3.512480737016114,3.9725192629838855
completed_value_mean,6,3.1639999999999997,0.26339627939665367,2.8875375913191808,3.4404624086808187
team_coverage_ratio_mean,6,0.7266749996592602,0.03196545807677164,0.6931238517283441,0.7602261475901763
mean_local_coverage_ratio_mean,6,0.3938197217856845,0.025957318174772155,0.36657475567632997,0.421064687895039
coverage_overlap_ratio_mean,6,0.49243762043349903,0.030126306372023442,0.46081685781929593,0.5240583830477021
knowledge_overlap_ratio_mean,6,0.14415277777777777,0.023181495054524912,0.11982133325518719,0.16848422230036836
collision_agent_ratio,6,0.06981995772173084,0.005459756566353095,0.06408936253412065,0.07555055290934104
first_detection_step_mean,6,19.095267310359798,3.6818537245727203,15.230770243668315,22.95976437705128
first_completion_step_mean,6,51.888916204623946,13.35049337900344,37.87615351453901,65.90167889470888
had_detection_mean,6,0.9935,0.003449637662132071,0.9898792383881289,0.9971207616118712
had_completion_mean,6,0.9706666666666667,0.012847827313077763,0.957181505473711,0.9841518278596224
detected_to_completed_ratio,6,0.8273941214105017,0.024026002188913414,0.8021762768329977,0.8526119659880057
stay_ratio,6,0.0,0.0,0.0,0.0
tracking_progress_ratio,6,0.01977179114639425,0.0025325545952879086,0.017113605749346207,0.022429976543442295
